Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2013-12-18,19.18,19.79,18.9,18.9,5457200,13.59,,,,,1d
2013-12-19,18.9,19.49,18.81,19.49,1605400,14.02,13.59,0.42,0.03,3.12,1d
2013-12-20,19.65,19.77,19.4,19.68,737100,14.15,14.02,0.14,0.01,0.97,1d
2013-12-23,19.79,19.99,19.5,19.74,698100,14.2,14.15,0.04,0.0,0.3,1d
2013-12-24,19.74,19.82,19.5,19.53,213700,14.05,14.2,-0.15,-0.01,-1.06,1d
2013-12-26,19.55,19.9,19.35,19.78,416500,14.23,14.05,0.18,0.01,1.28,1d
2013-12-27,19.93,20.59,19.53,20.14,758200,14.49,14.23,0.26,0.02,1.82,1d
2013-12-30,20.1,20.14,19.82,19.98,246800,14.37,14.49,-0.12,-0.01,-0.79,1d
2013-12-31,19.96,20.72,19.96,20.55,313900,14.78,14.37,0.41,0.03,2.85,1d
2014-01-02,20.62,20.94,19.96,20.18,425800,14.51,14.78,-0.27,-0.02,-1.8,1d
2014-01-03,20.1,20.28,19.78,20.02,298700,14.4,14.51,-0.12,-0.01,-0.79,1d
2014-01-06,20.05,20.1,19.81,20.01,509700,14.39,14.4,-0.01,-0.0,-0.05,1d
2014-01-07,20.04,20.17,19.93,20.05,856800,14.42,14.39,0.03,0.0,0.2,1d
2014-01-08,20.1,20.1,19.89,19.96,497900,14.36,14.42,-0.06,-0.0,-0.45,1d
2014-01-09,19.96,20.05,19.81,20.03,290200,14.41,14.36,0.05,0.0,0.35,1d
2014-01-10,20.05,20.15,19.99,20.04,660100,14.41,14.41,0.01,0.0,0.05,1d
2014-01-13,19.9,20.01,19.75,19.98,392600,14.37,14.41,-0.04,-0.0,-0.3,1d
2014-01-14,19.86,20.34,19.75,20.12,215800,14.47,14.37,0.1,0.01,0.7,1d
2014-01-15,20.18,20.3,19.81,19.99,311800,14.38,14.47,-0.09,-0.01,-0.65,1d
2014-01-16,19.92,20.49,19.9,20.3,279300,14.6,14.38,0.22,0.02,1.55,1d
2014-01-17,20.18,20.49,20.04,20.24,131400,14.56,14.6,-0.04,-0.0,-0.3,1d
2014-01-21,20.4,21.0,20.32,20.85,620300,15.0,14.56,0.44,0.03,3.01,1d
2014-01-22,20.94,21.49,20.92,21.26,326800,15.29,15.0,0.29,0.02,1.97,1d
2014-01-23,21.27,21.27,20.5,21.27,154300,15.3,15.29,0.01,0.0,0.05,1d
2014-01-24,21.27,21.61,20.8,21.37,409000,15.37,15.3,0.07,0.0,0.47,1d
2014-01-27,21.26,21.47,21.02,21.35,497200,15.36,15.37,-0.01,-0.0,-0.09,1d
2014-01-28,21.97,21.97,21.1,21.91,332600,15.76,15.36,0.4,0.03,2.62,1d
2014-01-29,21.92,21.92,21.35,21.64,77200,15.56,15.76,-0.19,-0.01,-1.23,1d
2014-01-30,21.88,22.0,21.43,21.53,122700,15.48,15.56,-0.08,-0.01,-0.51,1d
