Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,27.42,27.93,26.77,27.78,7923718,27.78,,,,,1hr
2022-01-03 10:30:00,27.79,28.13,27.51,27.59,3938822,27.59,27.78,-0.19,-0.01,-0.68,1hr
2022-01-03 11:30:00,27.55,27.73,27.06,27.26,2891589,27.26,27.59,-0.33,-0.01,-1.21,1hr
2022-01-03 12:30:00,27.25,27.28,26.85,26.98,3048458,26.98,27.26,-0.28,-0.01,-1.02,1hr
2022-01-03 13:30:00,26.97,27.05,26.62,26.94,3242560,26.94,26.98,-0.04,-0.0,-0.14,1hr
2022-01-03 14:30:00,26.94,26.97,26.68,26.79,2587779,26.79,26.94,-0.15,-0.01,-0.56,1hr
2022-01-03 15:30:00,26.78,26.83,26.42,26.53,2624815,26.53,26.79,-0.26,-0.01,-0.97,1hr
2022-01-04 09:30:00,26.67,26.67,25.37,25.74,9863808,25.74,26.53,-0.79,-0.03,-2.97,1hr
2022-01-04 10:30:00,25.75,25.78,24.8,25.06,8432807,25.06,25.74,-0.68,-0.03,-2.64,1hr
2022-01-04 11:30:00,25.06,25.17,24.64,24.83,3830735,24.83,25.06,-0.23,-0.01,-0.92,1hr
2022-01-04 12:30:00,24.82,25.27,24.71,25.18,3573367,25.18,24.83,0.35,0.01,1.41,1hr
2022-01-04 13:30:00,25.19,25.33,24.95,25.07,2286729,25.07,25.18,-0.11,-0.0,-0.44,1hr
2022-01-04 14:30:00,25.08,25.54,25.06,25.44,2734558,25.44,25.07,0.37,0.01,1.48,1hr
2022-01-04 15:30:00,25.44,25.59,25.3,25.49,2125978,25.49,25.44,0.05,0.0,0.2,1hr
2022-01-05 09:30:00,25.17,25.3,24.35,24.52,7141889,24.52,25.49,-0.97,-0.04,-3.81,1hr
2022-01-05 10:30:00,24.52,24.56,23.87,24.12,6133282,24.12,24.52,-0.4,-0.02,-1.61,1hr
