Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",17.38,18.92,17.1,18.68,31744900,18.68,,,,,1mo
"April 20, 2022",18.4,18.66,17.3,17.34,23913500,17.34,18.68,-1.34,-0.07,-7.17,1mo
"April 21, 2022",17.41,18.07,16.66,16.85,26372700,16.85,17.34,-0.49,-0.03,-2.83,1mo
"April 22, 2022",17.12,17.61,16.1,16.52,26431700,16.52,16.85,-0.33,-0.02,-1.96,1mo
"April 25, 2022",16.39,17.03,16.29,16.96,26444200,16.96,16.52,0.44,0.03,2.66,1mo
"April 26, 2022",16.89,17.09,15.49,15.5,24732800,15.5,16.96,-1.46,-0.09,-8.61,1mo
"April 27, 2022",15.39,16.25,15.25,15.85,26605900,15.85,15.5,0.35,0.02,2.26,1mo
"April 28, 2022",15.71,16.13,14.7,15.64,29857700,15.64,15.85,-0.21,-0.01,-1.32,1mo
"April 29, 2022",15.63,16.05,15.22,15.3,21251700,15.3,15.64,-0.34,-0.02,-2.17,1mo
"May 02, 2022",15.1,15.49,14.61,15.26,23883200,15.26,15.3,-0.04,-0.0,-0.26,1mo
"May 03, 2022",15.16,16.11,14.73,15.51,31834300,15.51,15.26,0.25,0.02,1.64,1mo
"May 04, 2022",15.22,15.91,14.68,15.72,26421700,15.72,15.51,0.21,0.01,1.35,1mo
"May 05, 2022",15.68,15.79,14.36,14.69,26987600,14.69,15.72,-1.03,-0.07,-6.55,1mo
"May 06, 2022",14.66,14.84,13.52,13.76,32932600,13.76,14.69,-0.93,-0.06,-6.33,1mo
"May 09, 2022",13.63,13.63,12.43,12.52,40732200,12.52,13.76,-1.24,-0.09,-9.01,1mo
"May 10, 2022",13.15,14.01,11.5,11.84,55693400,11.84,12.52,-0.68,-0.05,-5.43,1mo
"May 11, 2022",11.56,11.65,9.91,10.37,58508700,10.37,11.84,-1.47,-0.12,-12.42,1mo
"May 12, 2022",10.05,13.71,9.7,11.2,104887800,11.2,10.37,0.83,0.08,8.0,1mo
"May 13, 2022",12.11,12.49,11.49,11.81,57933700,11.81,11.2,0.61,0.05,5.45,1mo
"May 16, 2022",11.9,12.66,11.5,11.71,40960000,11.71,11.81,-0.1,-0.01,-0.85,1mo
"May 17, 2022",12.06,12.92,11.84,12.9,38183500,12.9,11.71,1.19,0.1,10.16,1mo
"May 18, 2022",12.73,14.22,12.51,12.76,53571700,12.76,12.9,-0.14,-0.01,-1.09,1mo
