Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2013-12-16,19.18,19.79,18.81,19.68,7799700.0,14.15,,,,,1wk
2013-12-23,19.79,20.59,19.35,20.14,2086500.0,14.49,14.15,0.33,0.02,2.34,1wk
2013-12-30,20.1,20.94,19.78,20.02,1285200.0,14.4,14.49,-0.09,-0.01,-0.6,1wk
2014-01-06,20.05,20.17,19.81,20.04,2814700.0,14.41,14.4,0.01,0.0,0.1,1wk
2014-01-13,19.9,20.49,19.75,20.24,1330900.0,14.56,14.41,0.14,0.01,1.0,1wk
2014-01-20,20.4,21.61,20.32,21.37,1510400.0,15.37,14.56,0.81,0.06,5.58,1wk
2014-01-27,21.26,22.0,21.02,21.37,1260500.0,15.37,15.37,0.0,0.0,0.0,1wk
2014-02-03,21.5,21.5,20.3,21.32,1247200.0,15.33,15.37,-0.04,-0.0,-0.23,1wk
2014-02-10,21.25,22.45,21.07,22.0,778400.0,15.82,15.33,0.49,0.03,3.19,1wk
2014-02-17,22.1,22.64,21.63,22.31,878300.0,16.05,15.82,0.22,0.01,1.41,1wk
2014-02-24,22.4,22.94,21.67,22.89,1746200.0,16.46,16.05,0.42,0.03,2.6,1wk
2014-03-03,22.97,25.81,22.77,25.47,2784500.0,18.32,16.46,1.86,0.11,11.27,1wk
2014-03-10,25.3,26.68,23.02,24.11,3527900.0,17.34,18.32,-0.98,-0.05,-5.34,1wk
2014-03-17,24.17,25.43,22.82,23.06,4059800.0,16.59,17.34,-0.76,-0.04,-4.36,1wk
2014-03-24,23.0,24.21,22.3,23.9,1590000.0,17.19,16.59,0.6,0.04,3.64,1wk
2014-03-31,23.99,25.14,22.59,23.02,3731000.0,16.56,17.19,-0.63,-0.04,-3.68,1wk
2014-04-07,23.01,24.18,21.91,23.6,1742000.0,16.97,16.56,0.42,0.03,2.52,1wk
2014-04-14,23.88,24.01,21.68,22.3,1128000.0,16.04,16.97,-0.94,-0.06,-5.51,1wk
2014-04-21,22.3,23.86,21.95,22.09,1280000.0,15.89,16.04,-0.15,-0.01,-0.94,1wk
2014-04-28,22.17,24.58,21.23,23.74,2017900.0,17.07,15.89,1.19,0.07,7.47,1wk
2014-05-05,23.57,23.68,20.99,21.14,1033100.0,15.2,17.07,-1.87,-0.11,-10.95,1wk
2014-05-12,21.18,21.78,21.0,21.27,918600.0,15.3,15.2,0.09,0.01,0.61,1wk
2014-05-19,21.25,22.76,21.19,22.57,675700.0,16.23,15.3,0.93,0.06,6.11,1wk
2014-05-26,23.11,23.47,22.39,22.67,915600.0,16.3,16.23,0.07,0.0,0.44,1wk
2014-06-02,22.33,24.28,22.02,24.0,1872000.0,17.26,16.3,0.96,0.06,5.87,1wk
2014-06-04,,,,,,,17.26,,,,1wk
2014-06-09,23.88,24.63,23.64,24.22,634500.0,17.58,,,,,1wk
2014-06-16,24.24,24.79,23.68,24.61,955800.0,17.86,17.58,0.28,0.02,1.61,1wk
2014-06-23,24.65,24.72,24.0,24.61,765100.0,17.86,17.86,0.0,0.0,0.0,1wk
2014-06-30,24.56,25.0,24.4,24.63,501400.0,17.87,17.86,0.01,0.0,0.08,1wk
2014-07-07,24.75,24.75,23.02,23.28,637900.0,16.89,17.87,-0.98,-0.05,-5.48,1wk
2014-07-14,23.46,23.62,22.1,22.53,1067900.0,16.35,16.89,-0.54,-0.03,-3.22,1wk
2014-07-21,22.47,23.06,22.21,23.01,579300.0,16.7,16.35,0.35,0.02,2.13,1wk
2014-07-28,22.98,23.28,22.09,23.0,853300.0,16.69,16.7,-0.01,-0.0,-0.04,1wk
2014-08-04,23.11,23.97,22.69,23.36,700600.0,16.95,16.69,0.26,0.02,1.57,1wk
2014-08-11,23.36,23.64,22.38,23.1,449300.0,16.76,16.95,-0.19,-0.01,-1.11,1wk
2014-08-18,23.3,23.93,23.04,23.49,525900.0,17.05,16.76,0.28,0.02,1.69,1wk
2014-08-25,23.66,23.81,23.34,23.67,343000.0,17.18,17.05,0.13,0.01,0.77,1wk
2014-09-01,23.65,24.62,23.49,24.45,580700.0,17.74,17.18,0.57,0.03,3.3,1wk
2014-09-03,,,,,,,17.74,,,,1wk
2014-09-08,24.48,25.03,24.02,24.61,1201100.0,18.01,,,,,1wk
2014-09-15,24.84,25.34,24.28,24.6,674300.0,18.0,18.01,-0.01,-0.0,-0.04,1wk
2014-09-22,24.59,24.9,23.02,23.49,609600.0,17.19,18.0,-0.81,-0.05,-4.51,1wk
2014-09-29,23.33,23.56,22.45,23.41,891000.0,17.13,17.19,-0.06,-0.0,-0.34,1wk
2014-10-06,23.42,23.6,21.62,21.76,492900.0,15.92,17.13,-1.21,-0.07,-7.05,1wk
2014-10-13,21.75,23.3,21.1,22.2,1239600.0,16.25,15.92,0.32,0.02,2.02,1wk
2014-10-20,22.1,23.54,21.7,23.42,693600.0,17.14,16.25,0.89,0.05,5.5,1wk
2014-10-27,23.39,25.65,23.17,25.4,1371100.0,18.59,17.14,1.45,0.08,8.45,1wk
