Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 14, 2022 09:30 AM",18.27,18.58,18.05,18.09,4361481,18.09,,,,,30min
"April 14, 2022 10:00 AM",18.09,18.69,18.09,18.35,3564008,18.35,18.09,0.26,0.01,1.42,30min
"April 14, 2022 10:30 AM",18.35,18.57,17.98,18.14,2809799,18.14,18.35,-0.22,-0.01,-1.17,30min
"April 14, 2022 11:00 AM",18.13,18.38,18.07,18.3,2051692,18.3,18.14,0.16,0.01,0.88,30min
"April 14, 2022 11:30 AM",18.3,18.38,18.19,18.33,1369838,18.33,18.3,0.03,0.0,0.18,30min
"April 14, 2022 12:00 PM",18.33,18.45,18.13,18.13,1121528,18.13,18.33,-0.2,-0.01,-1.08,30min
"April 14, 2022 12:30 PM",18.12,18.22,17.99,18.11,1186435,18.11,18.13,-0.01,-0.0,-0.08,30min
"April 14, 2022 01:00 PM",18.12,18.14,17.9,17.95,1288952,17.95,18.11,-0.16,-0.01,-0.88,30min
"April 14, 2022 01:30 PM",17.96,18.14,17.93,18.14,1100161,18.14,17.95,0.18,0.01,1.03,30min
"April 14, 2022 02:00 PM",18.13,18.28,18.1,18.19,1024671,18.19,18.14,0.05,0.0,0.28,30min
"April 14, 2022 02:30 PM",18.19,18.19,18.03,18.1,1097114,18.1,18.19,-0.09,-0.0,-0.49,30min
"April 14, 2022 03:00 PM",18.1,18.16,18.05,18.09,1060394,18.09,18.1,-0.01,-0.0,-0.05,30min
"April 14, 2022 03:30 PM",18.07,18.18,17.99,18.03,2735875,18.03,18.09,-0.06,-0.0,-0.34,30min
"April 14, 2022 04:00 PM",18.02,18.02,18.02,18.02,0,18.02,18.03,-0.01,-0.0,-0.06,30min
