Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-07,23.61,24.3,22.44,22.99,49481000,22.99,,,,,3mo,0,17.28
2022-01-10,22.42,22.87,21.25,22.78,37784000,22.78,22.99,-0.21,-0.01,-0.91,3mo,1,17.32
2022-01-11,22.4,23.75,22.09,22.79,36063800,22.79,22.78,0.01,0.0,0.04,3mo,2,17.36
2022-01-12,22.86,23.36,22.05,22.72,27472100,22.72,22.79,-0.07,-0.0,-0.31,3mo,3,17.4
2022-01-13,22.65,23.15,20.53,20.66,41005000,20.66,22.72,-2.06,-0.09,-9.07,3mo,4,17.44
2022-01-14,20.33,21.08,19.51,20.57,56996600,20.57,20.66,-0.09,-0.0,-0.44,3mo,5,17.48
2022-01-18,19.79,19.89,17.8,18.84,55679700,18.84,20.57,-1.73,-0.08,-8.41,3mo,6,17.51
2022-01-19,18.53,19.42,18.03,18.32,35096800,18.32,18.84,-0.52,-0.03,-2.76,3mo,7,17.55
2022-01-20,18.59,20.16,17.95,18.07,51078700,18.07,18.32,-0.25,-0.01,-1.36,3mo,8,17.59
2022-01-21,17.77,18.56,16.22,17.97,65185700,17.97,18.07,-0.1,-0.01,-0.55,3mo,9,17.63
2022-01-24,16.24,17.29,14.23,16.64,82424700,16.64,17.97,-1.33,-0.07,-7.4,3mo,10,17.67
2022-01-25,15.89,16.62,15.55,16.02,42434600,16.02,16.64,-0.62,-0.04,-3.73,3mo,11,17.71
2022-01-26,16.21,18.16,15.65,15.94,76722900,15.94,16.02,-0.08,-0.0,-0.5,3mo,12,17.75
2022-01-27,16.11,16.59,14.4,14.52,50530200,14.52,15.94,-1.42,-0.09,-8.91,3mo,13,17.79
2022-01-28,14.6,15.25,13.4,15.06,53951600,15.06,14.52,0.54,0.04,3.72,3mo,14,17.82
2022-01-31,15.14,16.25,15.0,16.06,41447900,16.06,15.06,1.0,0.07,6.64,3mo,15,17.86
2022-02-01,18.15,18.71,16.52,16.86,124427700,16.86,16.06,0.8,0.05,4.98,3mo,16,17.9
2022-02-02,16.55,17.07,15.38,15.42,48626000,15.42,16.86,-1.44,-0.09,-8.54,3mo,17,17.94
