,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-12-18,21.775816684124994,12.508760553814602,28.561892451901144,21.775816684124994,21.775816684124994,-1.226891228272077,-1.226891228272077,-1.226891228272077,0.6190339828334256,0.6190339828334256,0.6190339828334256,-1.8459252111055025,-1.8459252111055025,-1.8459252111055025,0.0,0.0,0.0,20.548925455852917
1,2013-12-19,21.78704195176872,12.294860601606308,29.223536546644027,21.78704195176872,21.78704195176872,-1.2922396779342373,-1.2922396779342373,-1.2922396779342373,0.5622922683087564,0.5622922683087564,0.5622922683087564,-1.8545319462429937,-1.8545319462429937,-1.8545319462429937,0.0,0.0,0.0,20.494802273834484
2,2013-12-20,21.79826721941245,12.20816505115081,29.38389595544141,21.79826721941245,21.79826721941245,-1.2185989995824538,-1.2185989995824538,-1.2185989995824538,0.6427043268653391,0.6427043268653391,0.6427043268653391,-1.861303326447793,-1.861303326447793,-1.861303326447793,0.0,0.0,0.0,20.579668219829994
3,2013-12-23,21.831943022343633,11.095442947827555,29.06346638480238,21.831943022343633,21.831943022343633,-1.3323306253617766,-1.3323306253617766,-1.3323306253617766,0.5494574238222001,0.5494574238222001,0.5494574238222001,-1.8817880491839767,-1.8817880491839767,-1.8817880491839767,0.0,0.0,0.0,20.499612396981856
4,2013-12-24,21.84316828998736,12.09033231012685,28.737104432875416,21.84316828998736,21.84316828998736,-1.273446888777388,-1.273446888777388,-1.273446888777388,0.618725980691633,0.618725980691633,0.618725980691633,-1.892172869469021,-1.892172869469021,-1.892172869469021,0.0,0.0,0.0,20.56972140120997
5,2013-12-26,21.86561882527482,11.928996919216596,28.628750610856475,21.86561882527482,21.86561882527482,-1.3613613611274515,-1.3613613611274515,-1.3613613611274515,0.5622922683093183,0.5622922683093183,0.5622922683093183,-1.9236536294367697,-1.9236536294367697,-1.9236536294367697,0.0,0.0,0.0,20.50425746414737
6,2013-12-27,21.876844092918546,11.556665426348793,29.368744464863,21.876844092918546,21.876844092918546,-1.303403451777767,-1.303403451777767,-1.303403451777767,0.6427043268639219,0.6427043268639219,0.6427043268639219,-1.946107778641689,-1.946107778641689,-1.946107778641689,0.0,0.0,0.0,20.573440641140778
7,2013-12-30,21.91051989584973,11.598080408067135,28.04802896322773,21.91051989584973,21.91051989584973,-1.495743156350351,-1.495743156350351,-1.495743156350351,0.5494574238205684,0.5494574238205684,0.5494574238205684,-2.045200580170919,-2.045200580170919,-2.045200580170919,0.0,0.0,0.0,20.41477673949938
8,2013-12-31,21.921745163493462,11.598443756874081,28.93662773972099,21.921745163493462,21.921745163493462,-1.4704504704192316,-1.4704504704192316,-1.4704504704192316,0.6187259806920671,0.6187259806920671,0.6187259806920671,-2.0891764511112987,-2.0891764511112987,-2.0891764511112987,0.0,0.0,0.0,20.45129469307423
9,2014-01-02,21.944195698780916,11.542450882208346,28.310024949869593,21.944195698780916,21.944195698780916,-1.6301295124478035,-1.6301295124478035,-1.6301295124478035,0.5622922683098804,0.5622922683098804,0.5622922683098804,-2.192421780757684,-2.192421780757684,-2.192421780757684,0.0,0.0,0.0,20.314066186333115
