Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"September 19, 2014",92.7,99.7,89.95,93.89,271879400,93.89,,,,,1d
"September 22, 2014",92.7,92.95,89.5,89.89,66657800,89.89,93.89,-4.0,-0.04,-4.26,1d
"September 23, 2014",88.94,90.48,86.62,87.17,39009800,87.17,89.89,-2.72,-0.03,-3.03,1d
"September 24, 2014",88.47,90.57,87.22,90.57,32088000,90.57,87.17,3.4,0.04,3.9,1d
"September 25, 2014",91.09,91.5,88.5,88.92,28598000,88.92,90.57,-1.65,-0.02,-1.82,1d
"September 26, 2014",89.73,90.46,88.66,90.46,18340000,90.46,88.92,1.54,0.02,1.73,1d
"September 29, 2014",89.62,89.7,88.02,88.75,25302000,88.75,90.46,-1.71,-0.02,-1.89,1d
"September 30, 2014",89.0,90.88,88.46,88.85,24419400,88.85,88.75,0.1,0.0,0.11,1d
"October 01, 2014",88.7,88.94,86.04,86.1,24029600,86.1,88.85,-2.75,-0.03,-3.1,1d
"October 02, 2014",86.27,88.2,85.61,87.06,21469700,87.06,86.1,0.96,0.01,1.11,1d
"October 03, 2014",88.1,89.94,87.65,88.1,18485700,88.1,87.06,1.04,0.01,1.19,1d
"October 06, 2014",89.15,89.65,88.06,88.31,9268400,88.31,88.1,0.21,0.0,0.24,1d
"October 07, 2014",87.95,89.7,87.06,87.67,12791700,87.67,88.31,-0.64,-0.01,-0.72,1d
"October 08, 2014",88.0,88.5,87.06,88.3,10252600,88.3,87.67,0.63,0.01,0.72,1d
"October 09, 2014",88.51,90.35,88.0,88.79,21507000,88.79,88.3,0.49,0.01,0.55,1d
"October 10, 2014",88.25,88.74,85.24,85.88,15431400,85.88,88.79,-2.91,-0.03,-3.28,1d
"October 13, 2014",86.85,86.89,84.92,85.12,14845000,85.12,85.88,-0.76,-0.01,-0.88,1d
"October 14, 2014",85.81,85.88,83.22,84.95,15559200,84.95,85.12,-0.17,-0.0,-0.2,1d
"October 15, 2014",84.04,86.49,82.81,85.6,16824300,85.6,84.95,0.65,0.01,0.77,1d
