Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30 AM,119.38,119.85,115.82,118.4,5229172,118.4,,,,,1hr
2022-01-03 10:30 AM,118.39,121.3,118.31,120.49,2995298,120.49,118.4,2.09,0.02,1.77,1hr
2022-01-03 11:30 AM,120.52,121.45,120.26,120.89,1923642,120.89,120.49,0.4,0.0,0.33,1hr
2022-01-03 12:30 PM,120.88,121.78,120.86,121.41,1222094,121.41,120.89,0.52,0.0,0.43,1hr
2022-01-03 01:30 PM,121.41,121.95,121.03,121.45,1009668,121.45,121.41,0.04,0.0,0.03,1hr
2022-01-03 02:30 PM,121.43,121.49,120.79,120.88,1120701,120.88,121.45,-0.57,-0.0,-0.47,1hr
2022-01-03 03:30 PM,120.88,121.13,120.38,120.4,1488289,120.4,120.88,-0.48,-0.0,-0.4,1hr
2022-01-04 09:30 AM,119.53,119.64,117.02,117.33,4238709,117.33,120.4,-3.07,-0.03,-2.55,1hr
2022-01-04 10:30 AM,117.31,117.4,115.77,116.61,2903287,116.61,117.33,-0.72,-0.01,-0.61,1hr
2022-01-04 11:30 AM,116.61,117.76,116.54,117.31,1537962,117.31,116.61,0.69,0.01,0.6,1hr
2022-01-04 12:30 PM,117.28,117.63,117.17,117.36,1020730,117.36,117.31,0.06,0.0,0.05,1hr
2022-01-04 01:30 PM,117.35,117.94,117.13,117.47,1094951,117.47,117.36,0.11,0.0,0.09,1hr
2022-01-04 02:30 PM,117.46,120.8,117.46,120.15,5870772,120.15,117.47,2.68,0.02,2.28,1hr
2022-01-04 03:30 PM,120.13,120.87,119.22,119.63,2911044,119.63,120.15,-0.52,-0.0,-0.44,1hr
2022-01-05 09:30 AM,118.0,126.62,117.7,125.35,13952390,125.35,119.63,5.72,0.05,4.78,1hr
2022-01-05 10:30 AM,125.33,126.0,124.65,125.01,4173260,125.01,125.35,-0.34,-0.0,-0.27,1hr
2022-01-05 11:30 AM,125.04,126.21,124.58,125.63,2913627,125.63,125.01,0.62,0.0,0.5,1hr
2022-01-05 12:30 PM,125.6,125.63,122.78,123.56,3314918,123.56,125.63,-2.07,-0.02,-1.65,1hr
2022-01-05 01:30 PM,123.54,124.64,122.23,122.76,2692754,122.76,123.56,-0.79,-0.01,-0.64,1hr
2022-01-05 02:30 PM,122.81,123.03,120.74,121.76,3441318,121.76,122.76,-1.0,-0.01,-0.82,1hr
2022-01-05 03:30 PM,121.79,121.99,120.98,121.2,2260155,121.2,121.76,-0.56,-0.0,-0.46,1hr
2022-01-06 09:30 AM,124.26,128.23,123.46,125.12,11650914,125.12,121.2,3.92,0.03,3.23,1hr
2022-01-06 10:30 AM,125.23,128.4,125.1,127.26,6146415,127.26,125.12,2.14,0.02,1.71,1hr
2022-01-06 11:30 AM,127.26,127.47,126.34,127.38,3637807,127.38,127.26,0.12,0.0,0.09,1hr
2022-01-06 12:30 PM,127.38,128.18,126.79,126.84,2770194,126.84,127.38,-0.54,-0.0,-0.42,1hr
2022-01-06 01:30 PM,126.85,127.67,126.61,126.76,1669344,126.76,126.84,-0.08,-0.0,-0.06,1hr
2022-01-06 02:30 PM,126.76,127.23,125.87,127.19,2280331,127.19,126.76,0.43,0.0,0.34,1hr
2022-01-06 03:30 PM,127.21,127.65,126.31,126.58,2488717,126.58,127.19,-0.61,-0.0,-0.48,1hr
2022-01-07 09:30 AM,130.24,133.88,129.37,132.83,15534371,132.83,126.58,6.25,0.05,4.94,1hr
2022-01-07 10:30 AM,132.77,132.99,129.86,131.71,5726200,131.71,132.83,-1.12,-0.01,-0.84,1hr
2022-01-07 11:30 AM,131.71,132.19,130.26,130.72,2796008,130.72,131.71,-0.99,-0.01,-0.75,1hr
2022-01-07 12:30 PM,130.75,131.01,128.7,129.07,2374410,129.07,130.72,-1.65,-0.01,-1.26,1hr
2022-01-07 01:30 PM,129.12,129.69,128.18,129.2,2355682,129.2,129.07,0.13,0.0,0.1,1hr
2022-01-07 02:30 PM,129.23,130.0,128.94,129.6,2204355,129.6,129.2,0.4,0.0,0.31,1hr
2022-01-07 03:30 PM,129.59,130.22,129.5,129.75,3067859,129.75,129.6,0.15,0.0,0.12,1hr
2022-01-10 09:30 AM,131.99,132.6,127.03,127.54,7028469,127.54,129.75,-2.21,-0.02,-1.7,1hr
2022-01-10 10:30 AM,127.51,127.79,126.23,127.56,3281565,127.56,127.54,0.02,0.0,0.02,1hr
2022-01-10 11:30 AM,127.57,128.28,126.88,126.98,2051116,126.98,127.56,-0.58,-0.0,-0.45,1hr
