Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-13 09:30 AM,98.95,99.24,98.85,98.95,365875,98.95,,,,,1min,0,100.45
2022-04-13 09:31 AM,98.94,99.02,98.26,98.79,680973,98.79,98.95,-0.16,-0.0,-0.16,1min,1,100.45
2022-04-13 09:32 AM,98.81,99.29,98.5,99.07,109072,99.07,98.79,0.28,0.0,0.28,1min,2,100.45
2022-04-13 09:33 AM,99.05,99.06,98.28,98.4,118179,98.4,99.07,-0.67,-0.01,-0.68,1min,3,100.45
2022-04-13 09:34 AM,98.41,98.82,98.21,98.66,95823,98.66,98.4,0.26,0.0,0.26,1min,4,100.45
2022-04-13 09:35 AM,98.67,99.42,98.66,99.24,92927,99.24,98.66,0.58,0.01,0.59,1min,5,100.45
2022-04-13 09:36 AM,99.38,99.79,99.36,99.51,155311,99.51,99.24,0.27,0.0,0.27,1min,6,100.44
2022-04-13 09:37 AM,99.56,99.82,99.5,99.58,84973,99.58,99.51,0.07,0.0,0.07,1min,7,100.44
2022-04-13 09:38 AM,99.53,99.89,99.45,99.86,102240,99.86,99.58,0.28,0.0,0.28,1min,8,100.44
2022-04-13 09:39 AM,99.83,99.93,99.49,99.82,123049,99.82,99.86,-0.04,-0.0,-0.04,1min,9,100.44
2022-04-13 09:40 AM,99.76,100.34,99.64,100.31,167029,100.31,99.82,0.49,0.0,0.49,1min,10,100.44
2022-04-13 09:41 AM,100.31,100.89,100.3,100.82,189954,100.82,100.31,0.5,0.01,0.5,1min,11,100.44
2022-04-13 09:42 AM,100.85,100.92,100.45,100.52,184820,100.52,100.82,-0.3,-0.0,-0.29,1min,12,100.44
2022-04-13 09:43 AM,100.51,100.51,100.08,100.42,186363,100.42,100.52,-0.1,-0.0,-0.1,1min,13,100.44
2022-04-13 09:44 AM,100.4,100.42,100.06,100.16,80441,100.16,100.42,-0.26,-0.0,-0.26,1min,14,100.44
2022-04-13 09:45 AM,100.11,100.44,99.96,100.29,110736,100.29,100.16,0.13,0.0,0.13,1min,15,100.44
2022-04-13 09:46 AM,100.28,100.59,100.19,100.19,113802,100.19,100.29,-0.1,-0.0,-0.1,1min,16,100.44
2022-04-13 09:47 AM,100.19,100.4,100.07,100.38,117550,100.38,100.19,0.19,0.0,0.19,1min,17,100.43
2022-04-13 09:48 AM,100.41,100.48,100.01,100.14,86908,100.14,100.38,-0.24,-0.0,-0.24,1min,18,100.43
2022-04-13 09:49 AM,100.16,100.23,100.05,100.13,85299,100.13,100.14,-0.01,-0.0,-0.01,1min,19,100.43
2022-04-13 09:50 AM,100.17,100.55,100.11,100.49,81531,100.49,100.13,0.36,0.0,0.36,1min,20,100.43
2022-04-13 09:51 AM,100.49,100.53,100.14,100.16,90228,100.16,100.49,-0.33,-0.0,-0.33,1min,21,100.43
2022-04-13 09:52 AM,100.16,100.22,99.91,100.22,90707,100.22,100.16,0.06,0.0,0.06,1min,22,100.43
2022-04-13 09:53 AM,100.21,100.83,100.19,100.75,129323,100.75,100.22,0.53,0.01,0.53,1min,23,100.43
2022-04-13 09:54 AM,100.75,101.18,100.75,101.01,171866,101.01,100.75,0.26,0.0,0.26,1min,24,100.43
2022-04-13 09:55 AM,101.03,101.13,100.8,100.84,82329,100.84,101.01,-0.17,-0.0,-0.17,1min,25,100.43
2022-04-13 09:56 AM,100.82,100.84,100.44,100.47,77722,100.47,100.84,-0.37,-0.0,-0.37,1min,26,100.43
2022-04-13 09:57 AM,100.48,100.87,100.46,100.8,54330,100.8,100.47,0.33,0.0,0.33,1min,27,100.42
2022-04-13 09:58 AM,100.84,101.35,100.84,101.11,155486,101.11,100.8,0.3,0.0,0.3,1min,28,100.42
2022-04-13 09:59 AM,101.08,101.19,100.9,101.12,104048,101.12,101.11,0.01,0.0,0.01,1min,29,100.42
2022-04-13 10:00 AM,101.07,101.11,100.74,100.91,71537,100.91,101.12,-0.21,-0.0,-0.2,1min,30,100.42
2022-04-13 10:01 AM,100.89,101.04,100.85,101.0,81054,101.0,100.91,0.09,0.0,0.09,1min,31,100.42
2022-04-13 10:02 AM,101.03,101.08,100.64,100.71,67274,100.71,101.0,-0.29,-0.0,-0.29,1min,32,100.42
2022-04-13 10:03 AM,100.71,100.8,100.5,100.51,68133,100.51,100.71,-0.2,-0.0,-0.2,1min,33,100.42
2022-04-13 10:04 AM,100.55,100.83,100.55,100.78,78989,100.78,100.51,0.27,0.0,0.27,1min,34,100.42
2022-04-13 10:05 AM,100.78,101.14,100.75,101.06,93821,101.06,100.78,0.28,0.0,0.28,1min,35,100.42
2022-04-13 10:06 AM,101.02,101.02,100.66,100.72,62567,100.72,101.06,-0.34,-0.0,-0.34,1min,36,100.42
2022-04-13 10:07 AM,100.73,100.83,100.65,100.81,29056,100.81,100.72,0.09,0.0,0.09,1min,37,100.42
