Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",92.29,93.95,90.95,93.5,23870000,93.5,,,,,1mo
"April 20, 2022",93.48,93.7,89.27,89.41,20949700,89.41,93.5,-4.09,-0.04,-4.37,1mo
"April 21, 2022",89.55,90.01,85.4,85.99,25639000,85.99,89.41,-3.42,-0.04,-3.83,1mo
"April 22, 2022",86.5,90.68,86.31,86.49,25130300,86.49,85.99,0.5,0.01,0.58,1mo
"April 25, 2022",82.7,86.17,81.8,85.84,24674000,85.84,86.49,-0.65,-0.01,-0.75,1mo
"April 26, 2022",85.87,86.24,83.28,83.99,21194600,83.99,85.84,-1.85,-0.02,-2.16,1mo
"April 27, 2022",85.32,89.41,84.78,88.32,29351600,88.32,83.99,4.33,0.05,5.16,1mo
"April 28, 2022",88.62,90.98,86.94,90.91,17707500,90.91,88.32,2.59,0.03,2.93,1mo
"April 29, 2022",101.53,103.52,96.66,97.09,44901200,97.09,90.91,6.18,0.07,6.8,1mo
"May 02, 2022",96.41,101.32,95.15,101.21,25479500,101.21,97.09,4.12,0.04,4.24,1mo
"May 03, 2022",100.13,102.69,99.43,100.38,15216100,100.38,101.21,-0.83,-0.01,-0.82,1mo
"May 04, 2022",97.72,101.57,96.61,101.41,17740600,101.41,100.38,1.03,0.01,1.03,1mo
"May 05, 2022",97.94,98.47,94.05,94.64,18673100,94.64,101.41,-6.77,-0.07,-6.68,1mo
"May 06, 2022",93.36,93.86,88.71,90.05,18553200,90.05,94.64,-4.59,-0.05,-4.85,1mo
"May 09, 2022",86.96,88.6,84.43,84.84,23338600,84.84,90.05,-5.21,-0.06,-5.79,1mo
"May 10, 2022",88.64,88.64,83.51,84.57,23400900,84.57,84.84,-0.27,-0.0,-0.32,1mo
"May 11, 2022",85.51,87.52,81.47,81.73,24962400,81.73,84.57,-2.84,-0.03,-3.36,1mo
"May 12, 2022",80.68,83.12,78.01,81.09,23833100,81.09,81.73,-0.64,-0.01,-0.78,1mo
"May 13, 2022",82.12,88.36,82.0,87.99,20055500,87.99,81.09,6.9,0.09,8.51,1mo
"May 16, 2022",87.7,89.08,86.34,86.48,19644800,86.48,87.99,-1.51,-0.02,-1.72,1mo
"May 17, 2022",92.75,94.48,89.54,91.99,27330300,91.99,86.48,5.51,0.06,6.37,1mo
"May 18, 2022",90.0,91.64,87.0,87.31,18960500,87.31,91.99,-4.68,-0.05,-5.09,1mo
