Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2014-09-15,92.7,99.7,89.95,93.89,271879400,93.89,,,,,1wk
2014-09-22,92.7,92.95,86.62,90.46,184693600,90.46,93.89,-3.43,-0.04,-3.65,1wk
2014-09-29,89.62,90.88,85.61,88.1,113706400,88.1,90.46,-2.36,-0.03,-2.61,1wk
2014-10-06,89.15,90.35,85.24,85.88,69251100,85.88,88.1,-2.22,-0.03,-2.52,1wk
2014-10-13,86.85,90.9,82.81,87.91,79821200,87.91,85.88,2.03,0.02,2.36,1wk
2014-10-20,88.0,98.0,87.86,95.76,106273300,95.76,87.91,7.85,0.09,8.93,1wk
2014-10-27,97.0,100.67,96.3,98.6,122698300,98.6,95.76,2.84,0.03,2.97,1wk
2014-11-03,99.67,114.77,99.05,114.56,242107700,114.56,98.6,15.96,0.16,16.19,1wk
2014-11-10,117.27,120.0,113.35,115.1,292874600,115.1,114.56,0.54,0.0,0.47,1wk
2014-11-17,115.44,115.63,107.22,110.73,174433000,110.73,115.1,-4.37,-0.04,-3.8,1wk
2014-11-24,112.0,115.17,111.11,111.64,64003500,111.64,110.73,0.91,0.01,0.82,1wk
2014-12-01,110.02,111.68,103.9,107.9,96397700,107.9,111.64,-3.74,-0.03,-3.35,1wk
2014-12-08,105.97,107.95,101.2,105.11,92772700,105.11,107.9,-2.79,-0.03,-2.59,1wk
2014-12-15,106.39,111.2,103.7,110.65,93179400,110.65,105.11,5.54,0.05,5.27,1wk
2014-12-22,110.63,110.98,103.88,105.95,44537000,105.95,110.65,-4.7,-0.04,-4.25,1wk
2014-12-29,105.95,107.66,102.52,103.6,40799300,103.6,105.95,-2.35,-0.02,-2.22,1wk
2015-01-05,102.76,105.34,99.9,103.02,68273900,103.02,103.6,-0.58,-0.01,-0.56,1wk
2015-01-12,103.2,103.36,95.52,96.89,68687600,96.89,103.02,-6.13,-0.06,-5.95,1wk
2015-01-19,98.3,105.2,97.59,103.11,48599300,103.11,96.89,6.22,0.06,6.42,1wk
2015-01-26,104.4,105.13,87.36,89.08,181837800,89.08,103.11,-14.03,-0.14,-13.61,1wk
2015-02-02,91.13,91.88,85.42,85.68,93579500,85.68,89.08,-3.4,-0.04,-3.82,1wk
2015-02-09,85.83,89.3,85.47,89.05,66387700,89.05,85.68,3.37,0.04,3.93,1wk
2015-02-16,88.78,88.99,86.38,86.64,38039800,86.64,89.05,-2.41,-0.03,-2.71,1wk
2015-02-23,86.51,87.16,83.88,85.12,56000500,85.12,86.64,-1.52,-0.02,-1.75,1wk
2015-03-02,85.0,86.27,80.03,84.4,116255200,84.4,85.12,-0.72,-0.01,-0.85,1wk
2015-03-09,84.35,84.35,80.65,81.86,68097500,81.86,84.4,-2.54,-0.03,-3.01,1wk
2015-03-16,82.01,87.04,81.94,85.2,121843900,85.2,81.86,3.34,0.04,4.08,1wk
2015-03-23,85.25,85.53,82.39,84.58,61148100,84.58,85.2,-0.62,-0.01,-0.73,1wk
2015-03-30,85.03,85.15,81.25,82.28,56598000,82.28,84.58,-2.3,-0.03,-2.72,1wk
2015-04-06,82.05,87.69,81.61,84.58,94515700,84.58,82.28,2.3,0.03,2.8,1wk
2015-04-13,85.16,85.71,81.61,81.9,74682300,81.9,84.58,-2.68,-0.03,-3.17,1wk
2015-04-20,82.25,84.99,81.52,84.57,69385600,84.57,81.9,2.67,0.03,3.26,1wk
2015-04-27,85.53,86.27,80.11,81.17,81762900,81.17,84.57,-3.4,-0.04,-4.02,1wk
2015-05-04,81.17,89.29,77.77,87.06,178756300,87.06,81.17,5.89,0.07,7.26,1wk
2015-05-11,86.7,88.96,86.06,88.46,80383100,88.46,87.06,1.4,0.02,1.61,1wk
2015-05-18,87.61,95.06,86.47,93.27,126942900,93.27,88.46,4.81,0.05,5.44,1wk
2015-05-25,93.65,93.92,89.32,89.32,53300400,89.32,93.27,-3.95,-0.04,-4.24,1wk
2015-06-01,90.09,91.6,89.49,90.71,49242100,90.71,89.32,1.39,0.02,1.56,1wk
2015-06-08,90.65,91.6,86.12,86.63,67929400,86.63,90.71,-4.08,-0.04,-4.5,1wk
2015-06-15,86.3,87.8,85.17,85.74,53500300,85.74,86.63,-0.89,-0.01,-1.03,1wk
2015-06-22,86.07,86.4,82.82,83.28,49618200,83.28,85.74,-2.46,-0.03,-2.87,1wk
2015-06-29,83.28,83.69,80.8,82.07,40461400,82.07,83.28,-1.21,-0.01,-1.45,1wk
2015-07-06,80.56,81.5,76.21,80.3,99804000,80.3,82.07,-1.77,-0.02,-2.16,1wk
