Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",90.0,91.07,89.32,90.67,4775153,90.67,,,,,30min
"May 18, 2022 10:00 AM",90.68,91.64,90.47,91.34,1839602,91.34,90.67,0.67,0.01,0.74,30min
"May 18, 2022 10:30 AM",91.3,91.55,90.5,91.55,1200053,91.55,91.34,0.21,0.0,0.23,30min
"May 18, 2022 11:00 AM",91.54,91.54,89.21,89.37,1045845,89.37,91.55,-2.18,-0.02,-2.38,30min
"May 18, 2022 11:30 AM",89.37,89.77,88.99,89.07,1018035,89.07,89.37,-0.3,-0.0,-0.34,30min
"May 18, 2022 12:00 PM",89.07,89.1,88.44,88.44,971443,88.44,89.07,-0.63,-0.01,-0.71,30min
"May 18, 2022 12:30 PM",88.43,88.95,88.27,88.92,636046,88.92,88.44,0.48,0.01,0.54,30min
"May 18, 2022 01:00 PM",88.92,88.94,87.6,87.89,744025,87.89,88.92,-1.03,-0.01,-1.16,30min
"May 18, 2022 01:30 PM",87.86,88.25,87.44,87.57,658531,87.57,87.89,-0.32,-0.0,-0.36,30min
"May 18, 2022 02:00 PM",87.6,87.92,87.44,87.81,576414,87.81,87.57,0.24,0.0,0.28,30min
"May 18, 2022 02:30 PM",87.83,87.92,87.33,87.39,704271,87.39,87.81,-0.42,-0.0,-0.48,30min
"May 18, 2022 03:00 PM",87.37,87.7,87.0,87.17,1261968,87.17,87.39,-0.22,-0.0,-0.25,30min
"May 18, 2022 03:30 PM",87.17,87.8,87.15,87.34,2375431,87.34,87.17,0.17,0.0,0.2,30min
"May 18, 2022 04:00 PM",87.31,87.31,87.31,87.31,0,87.31,87.34,-0.03,-0.0,-0.03,30min
