ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-09-19,102.983658410345,89.6558747392788,116.83532112427682,102.983658410345,102.983658410345,0.022485744852174607,0.022485744852174607,0.022485744852174607,1.9466284610574909,1.9466284610574909,1.9466284610574909,-1.9241427162053164,-1.9241427162053164,-1.9241427162053164,0.0,0.0,0.0,103.00614415519718
2014-09-22,102.72129705489097,88.25873375742324,116.04934558260358,102.72129705489097,102.72129705489097,-1.2390239341470901,-1.2390239341470901,-1.2390239341470901,1.6751576171245777,1.6751576171245777,1.6751576171245777,-2.914181551271668,-2.914181551271668,-2.914181551271668,0.0,0.0,0.0,101.48227312074388
2014-09-23,102.63384326973963,87.29935296490667,115.69777957405232,102.63384326973963,102.63384326973963,-1.0201526610542337,-1.0201526610542337,-1.0201526610542337,2.160591326932119,2.160591326932119,2.160591326932119,-3.1807439879863524,-3.1807439879863524,-3.1807439879863524,0.0,0.0,0.0,101.61369060868539
2014-09-24,102.54638948458827,87.03907935869218,114.90017707968707,102.54638948458827,102.54638948458827,-1.1343677357984996,-1.1343677357984996,-1.1343677357984996,2.27691156975421,2.27691156975421,2.27691156975421,-3.4112793055527093,-3.4112793055527093,-3.4112793055527093,0.0,0.0,0.0,101.41202174878977
2014-09-25,102.45893569943694,86.90405150724469,114.99478355320294,102.45893569943694,102.45893569943694,-1.833539884180194,-1.833539884180194,-1.833539884180194,1.7704160225368057,1.7704160225368057,1.7704160225368057,-3.6039559067169997,-3.6039559067169997,-3.6039559067169997,0.0,0.0,0.0,100.62539581525674
2014-09-26,102.3714819142856,86.91760298849056,113.66067172344188,102.3714819142856,102.3714819142856,-1.8108009467203912,-1.8108009467203912,-1.8108009467203912,1.9466284610625444,1.9466284610625444,1.9466284610625444,-3.7574294077829355,-3.7574294077829355,-3.7574294077829355,0.0,0.0,0.0,100.5606809675652
2014-09-29,102.10912055883158,85.52001598123653,114.1521857156497,102.10912055883158,102.10912055883158,-2.300920621628255,-2.300920621628255,-2.300920621628255,1.675157617124034,1.675157617124034,1.675157617124034,-3.9760782387522893,-3.9760782387522893,-3.9760782387522893,0.0,0.0,0.0,99.80819993720333
2014-09-30,102.02166677368022,86.2703636481346,114.16141418377693,102.02166677368022,102.02166677368022,-1.80771250616563,-1.80771250616563,-1.80771250616563,2.160591326926702,2.160591326926702,2.160591326926702,-3.968303833092332,-3.968303833092332,-3.968303833092332,0.0,0.0,0.0,100.2139542675146
2014-10-01,101.93421298852888,86.49107956129392,115.04084005032126,101.93421298852888,101.93421298852888,-1.644213327508065,-1.644213327508065,-1.644213327508065,2.27691156975394,2.27691156975394,2.27691156975394,-3.921124897262005,-3.921124897262005,-3.921124897262005,0.0,0.0,0.0,100.28999966102081
2014-10-02,101.84675920337754,86.12148015114184,113.7069027306159,101.84675920337754,101.84675920337754,-2.0651914410676935,-2.0651914410676935,-2.0651914410676935,1.7704160225353818,1.7704160225353818,1.7704160225353818,-3.835607463603075,-3.835607463603075,-3.835607463603075,0.0,0.0,0.0,99.78156776230985
2014-10-03,101.7593054182262,86.0238634038843,112.53530920961842,101.7593054182262,101.7593054182262,-1.7664893491043894,-1.7664893491043894,-1.7664893491043894,1.9466284610579914,1.9466284610579914,1.9466284610579914,-3.7131178101623807,-3.7131178101623807,-3.7131178101623807,0.0,0.0,0.0,99.99281606912182
2014-10-06,101.49694406277217,85.85965234927606,114.59289665007873,101.49694406277217,101.49694406277217,-1.4662803496575545,-1.4662803496575545,-1.4662803496575545,1.6751576171186051,1.6751576171186051,1.6751576171186051,-3.1414379667761594,-3.1414379667761594,-3.1414379667761594,0.0,0.0,0.0,100.03066371311462
2014-10-07,101.40949027762082,85.70405291937006,116.1903761166515,101.40949027762082,101.40949027762082,-0.7292541344230624,-0.7292541344230624,-0.7292541344230624,2.1605913269312547,2.1605913269312547,2.1605913269312547,-2.8898454613543167,-2.8898454613543167,-2.8898454613543167,0.0,0.0,0.0,100.68023614319776
2014-10-08,101.32203649246948,86.90330176759977,115.2962833740216,101.32203649246948,101.32203649246948,-0.3348608291230956,-0.3348608291230956,-0.3348608291230956,2.276911569753925,2.276911569753925,2.276911569753925,-2.611772398877021,-2.611772398877021,-2.611772398877021,0.0,0.0,0.0,100.98717566334638
2014-10-09,101.23458270731814,87.29907839617042,114.17736259224225,101.23458270731814,101.23458270731814,-0.5395026178500449,-0.5395026178500449,-0.5395026178500449,1.7704160225339574,1.7704160225339574,1.7704160225339574,-2.3099186403840024,-2.3099186403840024,-2.3099186403840024,0.0,0.0,0.0,100.69508008946809
2014-10-10,101.14712892216679,86.55462351462499,115.19612035466668,101.14712892216679,101.14712892216679,-0.040523881111401476,-0.040523881111401476,-0.040523881111401476,1.9466284610581135,1.9466284610581135,1.9466284610581135,-1.9871523421695152,-1.9871523421695152,-1.9871523421695152,0.0,0.0,0.0,101.10660504105539
2014-10-13,100.88476756671275,87.06948158053582,116.28964436743678,100.88476756671275,100.88476756671275,0.7507997519950514,0.7507997519950514,0.7507997519950514,1.675157617123725,1.675157617123725,1.675157617123725,-0.9243578651286737,-0.9243578651286737,-0.9243578651286737,0.0,0.0,0.0,101.6355673187078
2014-10-14,100.79731378156141,87.56339781094681,117.58401515752126,100.79731378156141,100.79731378156141,1.6109831347791121,1.6109831347791121,1.6109831347791121,2.16059132692942,2.16059132692942,2.16059132692942,-0.5496081921503082,-0.5496081921503082,-0.5496081921503082,0.0,0.0,0.0,102.40829691634053
2014-10-15,100.70985999641007,88.29727906070046,116.15199587928217,100.70985999641007,100.70985999641007,2.1064916758449237,2.1064916758449237,2.1064916758449237,2.2769115697539095,2.2769115697539095,2.2769115697539095,-0.17041989390898607,-0.17041989390898607,-0.17041989390898607,0.0,0.0,0.0,102.816351672255
2014-10-16,100.62240621125875,89.63103965780316,116.69251912170859,100.62240621125875,100.62240621125875,1.9799979698072483,1.9799979698072483,1.9799979698072483,1.7704160225333851,1.7704160225333851,1.7704160225333851,0.2095819472738633,0.2095819472738633,0.2095819472738633,0.0,0.0,0.0,102.60240418106599
2014-10-17,100.5349524261074,89.78289942334736,117.42908062166363,100.5349524261074,100.5349524261074,2.533335836181069,2.533335836181069,2.533335836181069,1.9466284610584925,1.9466284610584925,1.9466284610584925,0.586707375122576,0.586707375122576,0.586707375122576,0.0,0.0,0.0,103.06828826228846
