Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-02,1.6,1.62,1.59,1.6,163200,0.5,,,,,1d
1962-01-03,1.6,1.62,1.59,1.62,156000,0.5,0.5,0.0,0.01,0.97,1d
1962-01-04,1.66,1.71,1.66,1.66,355200,0.51,0.5,0.01,0.03,2.57,1d
1962-01-05,1.66,1.7,1.66,1.68,163200,0.52,0.51,0.0,0.01,0.94,1d
1962-01-08,1.68,1.7,1.67,1.69,204000,0.52,0.52,0.0,0.01,0.62,1d
1962-01-09,1.69,1.72,1.67,1.7,290400,0.53,0.52,0.0,0.01,0.93,1d
1962-01-10,1.7,1.71,1.68,1.68,182400,0.52,0.53,-0.01,-0.01,-1.22,1d
1962-01-11,1.68,1.71,1.67,1.71,384000,0.53,0.52,0.01,0.02,1.55,1d
1962-01-12,1.71,1.74,1.69,1.72,352800,0.53,0.53,0.0,0.01,0.61,1d
1962-01-15,1.72,1.73,1.69,1.71,280800,0.53,0.53,-0.0,-0.0,-0.3,1d
1962-01-16,1.7,1.7,1.68,1.69,163200,0.52,0.53,-0.0,-0.01,-0.92,1d
1962-01-17,1.69,1.71,1.68,1.68,160800,0.52,0.52,-0.0,-0.0,-0.31,1d
1962-01-18,1.68,1.72,1.68,1.72,261600,0.53,0.52,0.01,0.02,2.17,1d
1962-01-19,1.72,1.75,1.69,1.75,357600,0.54,0.53,0.01,0.02,1.82,1d
1962-01-22,1.75,1.77,1.74,1.74,261600,0.54,0.54,-0.0,-0.0,-0.3,1d
1962-01-23,1.74,1.76,1.71,1.71,223200,0.53,0.54,-0.01,-0.02,-2.09,1d
1962-01-24,1.71,1.71,1.67,1.7,120000,0.53,0.53,-0.0,-0.01,-0.61,1d
1962-01-25,1.7,1.72,1.69,1.71,151200,0.53,0.53,0.0,0.01,0.61,1d
1962-01-26,1.71,1.72,1.69,1.71,108000,0.53,0.53,0.0,0.0,0.0,1d
1962-01-29,1.71,1.72,1.7,1.72,122400,0.54,0.53,0.0,0.01,0.91,1d
1962-01-30,1.72,1.72,1.69,1.7,120000,0.53,0.54,-0.01,-0.02,-1.51,1d
