Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",213.84,215.27,213.66,214.35,113883,214.35,,,,,1min,0,215.46
"May 18, 2022 09:31 AM",214.36,214.98,214.02,214.56,27189,214.56,214.35,0.21,0.0,0.1,1min,1,215.44
"May 18, 2022 09:32 AM",214.59,214.86,214.01,214.17,11733,214.17,214.56,-0.39,-0.0,-0.18,1min,2,215.42
"May 18, 2022 09:33 AM",214.45,214.66,213.79,214.36,13765,214.36,214.17,0.19,0.0,0.09,1min,3,215.39
"May 18, 2022 09:34 AM",214.5,214.57,213.17,213.67,13191,213.67,214.36,-0.69,-0.0,-0.32,1min,4,215.37
"May 18, 2022 09:35 AM",213.68,214.89,213.68,214.75,13563,214.75,213.67,1.08,0.01,0.51,1min,5,215.35
"May 18, 2022 09:36 AM",214.77,215.7,214.7,215.7,24834,215.7,214.75,0.95,0.0,0.44,1min,6,215.32
"May 18, 2022 09:37 AM",215.72,215.91,214.49,214.65,23801,214.65,215.7,-1.05,-0.0,-0.49,1min,7,215.3
"May 18, 2022 09:38 AM",214.81,215.49,214.47,215.29,55994,215.29,214.65,0.64,0.0,0.3,1min,8,215.28
"May 18, 2022 09:39 AM",215.34,215.34,213.6,214.0,39141,214.0,215.29,-1.29,-0.01,-0.6,1min,9,215.25
"May 18, 2022 09:40 AM",213.92,214.63,213.7,214.37,35324,214.37,214.0,0.37,0.0,0.17,1min,10,215.23
"May 18, 2022 09:41 AM",214.35,215.87,214.31,215.73,38930,215.73,214.37,1.36,0.01,0.63,1min,11,215.21
"May 18, 2022 09:42 AM",215.69,216.42,215.41,216.18,45022,216.18,215.73,0.45,0.0,0.21,1min,12,215.18
"May 18, 2022 09:43 AM",216.42,217.5,216.23,217.11,47674,217.11,216.18,0.93,0.0,0.43,1min,13,215.16
"May 18, 2022 09:44 AM",216.98,217.15,216.69,216.99,15462,216.99,217.11,-0.12,-0.0,-0.06,1min,14,215.14
"May 18, 2022 09:45 AM",217.06,217.9,216.85,217.33,48237,217.33,216.99,0.34,0.0,0.16,1min,15,215.11
"May 18, 2022 09:46 AM",217.18,217.18,216.32,216.56,21414,216.56,217.33,-0.77,-0.0,-0.36,1min,16,215.09
"May 18, 2022 09:47 AM",216.39,216.66,216.06,216.34,13994,216.34,216.56,-0.22,-0.0,-0.1,1min,17,215.07
"May 18, 2022 09:48 AM",216.19,216.46,215.8,215.93,16328,215.93,216.34,-0.41,-0.0,-0.19,1min,18,215.04
"May 18, 2022 09:49 AM",216.14,216.67,215.96,216.48,10293,216.48,215.93,0.55,0.0,0.25,1min,19,215.02
"May 18, 2022 09:50 AM",216.59,216.59,215.73,215.73,9581,215.73,216.48,-0.75,-0.0,-0.35,1min,20,215.0
"May 18, 2022 09:51 AM",215.71,216.45,215.51,216.35,20060,216.35,215.73,0.62,0.0,0.29,1min,21,214.97
"May 18, 2022 09:52 AM",216.41,216.64,215.86,216.09,36160,216.09,216.35,-0.26,-0.0,-0.12,1min,22,214.95
"May 18, 2022 09:53 AM",216.2,216.59,216.14,216.49,15315,216.49,216.09,0.4,0.0,0.19,1min,23,214.93
"May 18, 2022 09:54 AM",216.45,217.1,216.31,216.84,26165,216.84,216.49,0.35,0.0,0.16,1min,24,214.9
"May 18, 2022 09:55 AM",216.83,216.98,216.41,216.87,26807,216.87,216.84,0.03,0.0,0.01,1min,25,214.88
"May 18, 2022 09:56 AM",216.96,217.34,216.95,217.24,10723,217.24,216.87,0.37,0.0,0.17,1min,26,214.86
"May 18, 2022 09:57 AM",217.15,217.19,216.52,216.6,26847,216.6,217.24,-0.64,-0.0,-0.29,1min,27,214.83
"May 18, 2022 09:58 AM",216.57,217.13,216.57,217.08,6598,217.08,216.6,0.48,0.0,0.22,1min,28,214.81
"May 18, 2022 09:59 AM",217.07,217.09,216.25,216.75,13318,216.75,217.08,-0.33,-0.0,-0.15,1min,29,214.79
"May 18, 2022 10:00 AM",216.66,217.28,216.52,217.13,10974,217.13,216.75,0.38,0.0,0.18,1min,30,214.76
"May 18, 2022 10:01 AM",217.08,217.23,216.96,217.2,18384,217.2,217.13,0.07,0.0,0.03,1min,31,214.74
"May 18, 2022 10:02 AM",217.3,217.55,216.93,217.09,32568,217.09,217.2,-0.11,-0.0,-0.05,1min,32,214.72
"May 18, 2022 10:03 AM",217.11,217.42,217.1,217.18,13022,217.18,217.09,0.09,0.0,0.04,1min,33,214.69
"May 18, 2022 10:04 AM",217.15,217.44,216.84,217.42,16674,217.42,217.18,0.24,0.0,0.11,1min,34,214.67
"May 18, 2022 10:05 AM",217.41,217.6,217.28,217.52,10974,217.52,217.42,0.1,0.0,0.05,1min,35,214.65
"May 18, 2022 10:06 AM",217.52,217.52,217.27,217.46,8454,217.46,217.52,-0.07,-0.0,-0.03,1min,36,214.62
"May 18, 2022 10:07 AM",217.41,217.41,216.95,217.34,20467,217.34,217.46,-0.12,-0.0,-0.05,1min,37,214.6
"May 18, 2022 10:08 AM",217.3,217.32,216.98,217.07,5139,217.07,217.34,-0.27,-0.0,-0.12,1min,38,214.58
"May 18, 2022 10:09 AM",217.04,217.07,216.76,216.85,22668,216.85,217.07,-0.22,-0.0,-0.1,1min,39,214.56
"May 18, 2022 10:10 AM",216.79,216.91,216.7,216.8,14278,216.8,216.85,-0.05,-0.0,-0.03,1min,40,214.53
"May 18, 2022 10:11 AM",216.88,217.01,216.79,217.01,15671,217.01,216.8,0.21,0.0,0.1,1min,41,214.51
"May 18, 2022 10:12 AM",217.08,217.13,216.93,216.98,7206,216.98,217.01,-0.03,-0.0,-0.01,1min,42,214.49
"May 18, 2022 10:13 AM",216.96,217.0,216.71,216.9,7310,216.9,216.98,-0.08,-0.0,-0.04,1min,43,214.46
"May 18, 2022 10:14 AM",216.78,217.04,216.75,216.9,15707,216.9,216.9,0.0,0.0,0.0,1min,44,214.44
"May 18, 2022 10:15 AM",216.96,217.17,216.78,217.09,6028,217.09,216.9,0.19,0.0,0.09,1min,45,214.42
"May 18, 2022 10:16 AM",217.22,217.27,216.8,216.87,8801,216.87,217.09,-0.22,-0.0,-0.1,1min,46,214.39
"May 18, 2022 10:17 AM",216.85,217.05,216.75,216.81,10945,216.81,216.87,-0.06,-0.0,-0.03,1min,47,214.37
"May 18, 2022 10:18 AM",216.82,217.0,216.75,216.77,11849,216.77,216.81,-0.04,-0.0,-0.02,1min,48,214.35
"May 18, 2022 10:19 AM",216.72,216.88,216.7,216.79,12558,216.79,216.77,0.02,0.0,0.01,1min,49,214.32
"May 18, 2022 10:20 AM",216.6,216.85,216.5,216.82,6632,216.82,216.79,0.03,0.0,0.01,1min,50,214.3
"May 18, 2022 10:21 AM",216.81,216.84,216.63,216.84,14242,216.84,216.82,0.02,0.0,0.01,1min,51,214.28
"May 18, 2022 10:22 AM",216.85,216.94,216.7,216.7,7959,216.7,216.84,-0.14,-0.0,-0.06,1min,52,214.25
