Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",230.25,232.94,227.57,232.16,2689400,231.05,,,,,1mo
"April 20, 2022",233.55,236.37,232.58,235.08,2907700,233.96,231.05,2.91,0.01,1.26,1mo
"April 21, 2022",237.24,237.9,231.65,232.57,3571400,231.46,233.96,-2.5,-0.01,-1.07,1mo
"April 22, 2022",228.4,229.79,215.6,216.3,5053700,216.3,231.46,-15.16,-0.07,-6.55,1mo
"April 25, 2022",215.31,217.0,209.57,216.7,4145500,216.7,216.3,0.4,0.0,0.18,1mo
"April 26, 2022",216.13,218.2,209.35,210.3,4176700,210.3,216.7,-6.4,-0.03,-2.95,1mo
"April 27, 2022",211.11,215.55,207.3,213.96,3358300,213.96,210.3,3.66,0.02,1.74,1mo
"April 28, 2022",207.43,212.96,202.0,212.44,6092800,212.44,213.96,-1.52,-0.01,-0.71,1mo
"April 29, 2022",212.7,217.21,210.16,210.54,3403300,210.54,212.44,-1.9,-0.01,-0.89,1mo
"May 02, 2022",210.0,212.77,207.66,212.07,2639500,212.07,210.54,1.53,0.01,0.73,1mo
"May 03, 2022",211.9,215.36,210.79,213.62,2121100,213.62,212.07,1.55,0.01,0.73,1mo
"May 04, 2022",214.95,223.29,213.83,222.59,3023700,222.59,213.62,8.97,0.04,4.2,1mo
"May 05, 2022",222.4,223.15,213.77,215.93,3005600,215.93,222.59,-6.66,-0.03,-2.99,1mo
"May 06, 2022",217.01,217.01,210.35,214.65,2267200,214.65,215.93,-1.28,-0.01,-0.59,1mo
"May 09, 2022",212.03,212.05,205.44,206.29,2929900,206.29,214.65,-8.36,-0.04,-3.89,1mo
"May 10, 2022",208.24,209.52,201.39,202.99,3040400,202.99,206.29,-3.3,-0.02,-1.6,1mo
"May 11, 2022",205.56,209.71,203.59,205.21,2552400,205.21,202.99,2.22,0.01,1.09,1mo
"May 12, 2022",203.61,205.34,199.3,203.03,3282000,203.03,205.21,-2.18,-0.01,-1.06,1mo
"May 13, 2022",205.15,206.46,202.92,204.33,2323500,204.33,203.03,1.3,0.01,0.64,1mo
"May 16, 2022",205.02,209.21,203.68,207.19,2540800,207.19,204.33,2.86,0.01,1.4,1mo
"May 17, 2022",212.8,213.77,209.14,213.09,2275900,213.09,207.19,5.9,0.03,2.85,1mo
"May 18, 2022",213.84,217.9,207.52,207.94,4722600,207.94,213.09,-5.15,-0.02,-2.42,1mo
