Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-01,1.6,1.71,1.59,1.68,837600.0,0.52,,,,,1wk
1962-01-08,1.68,1.74,1.67,1.72,1413600.0,0.53,0.52,0.01,0.02,2.48,1wk
1962-01-15,1.72,1.75,1.68,1.75,1224000.0,0.54,0.53,0.01,0.02,1.82,1wk
1962-01-16,,,,,,,0.54,,,,1wk
1962-01-22,1.75,1.77,1.67,1.71,864000.0,0.53,,,,,1wk
1962-01-29,1.71,1.75,1.69,1.73,744000.0,0.54,0.53,0.01,0.01,1.22,1wk
1962-02-05,1.73,1.74,1.69,1.69,580800.0,0.53,0.54,-0.01,-0.02,-2.11,1wk
1962-02-12,1.69,1.7,1.64,1.68,511200.0,0.52,0.53,-0.0,-0.01,-0.92,1wk
1962-02-19,1.68,1.69,1.62,1.64,432000.0,0.51,0.52,-0.01,-0.02,-2.48,1wk
1962-02-26,1.67,1.71,1.67,1.69,595200.0,0.52,0.51,0.02,0.03,3.18,1wk
1962-03-05,1.69,1.7,1.64,1.64,535200.0,0.51,0.52,-0.02,-0.03,-3.09,1wk
1962-03-12,1.64,1.66,1.59,1.66,573600.0,0.52,0.51,0.01,0.02,1.59,1wk
1962-03-19,1.66,1.7,1.65,1.68,974400.0,0.52,0.52,0.01,0.01,1.25,1wk
1962-03-26,1.68,1.7,1.66,1.7,561600.0,0.53,0.52,0.01,0.01,1.24,1wk
1962-04-02,1.7,1.7,1.66,1.68,854400.0,0.52,0.53,-0.01,-0.01,-1.22,1wk
1962-04-09,1.68,1.69,1.61,1.61,624000.0,0.5,0.52,-0.02,-0.04,-4.02,1wk
1962-04-16,1.61,1.62,1.55,1.6,516000.0,0.5,0.5,-0.0,-0.01,-0.65,1wk
1962-04-23,1.6,1.6,1.52,1.54,705600.0,0.48,0.5,-0.02,-0.03,-3.27,1wk
1962-04-30,1.54,1.58,1.43,1.55,710400.0,0.49,0.48,0.0,0.01,0.68,1wk
1962-05-07,1.55,1.57,1.45,1.47,566400.0,0.46,0.49,-0.02,-0.05,-5.03,1wk
1962-05-14,1.47,1.55,1.45,1.54,748800.0,0.48,0.46,0.02,0.04,4.24,1wk
1962-05-21,1.54,1.54,1.43,1.44,998400.0,0.45,0.48,-0.03,-0.06,-6.1,1wk
1962-05-28,1.44,1.45,1.29,1.45,945600.0,0.45,0.45,0.0,0.01,0.72,1wk
1962-06-04,1.43,1.49,1.38,1.45,763200.0,0.45,0.45,0.0,0.0,0.0,1wk
1962-06-11,1.45,1.45,1.34,1.37,1430400.0,0.43,0.45,-0.03,-0.06,-5.73,1wk
1962-06-18,1.38,1.4,1.29,1.29,1092000.0,0.4,0.43,-0.03,-0.06,-6.08,1wk
1962-06-25,1.28,1.35,1.23,1.33,960000.0,0.42,0.4,0.01,0.03,3.24,1wk
1962-07-02,1.33,1.4,1.31,1.38,448800.0,0.43,0.42,0.01,0.04,3.53,1wk
1962-07-09,1.37,1.43,1.33,1.34,832800.0,0.42,0.43,-0.01,-0.03,-2.65,1wk
1962-07-16,1.34,1.37,1.3,1.33,933600.0,0.42,0.42,-0.0,-0.01,-0.78,1wk
1962-07-17,,,,,,,0.42,,,,1wk
1962-07-23,1.33,1.34,1.23,1.29,844800.0,0.41,,,,,1wk
1962-07-30,1.29,1.33,1.29,1.33,590400.0,0.42,0.41,0.01,0.03,3.23,1wk
1962-08-06,1.33,1.35,1.3,1.31,662400.0,0.41,0.42,-0.01,-0.02,-1.56,1wk
1962-08-13,1.31,1.42,1.29,1.41,1039200.0,0.44,0.41,0.03,0.07,7.14,1wk
1962-08-20,1.41,1.48,1.39,1.46,861600.0,0.46,0.44,0.02,0.04,3.7,1wk
1962-08-27,1.46,1.49,1.44,1.46,900000.0,0.46,0.46,0.0,0.0,0.36,1wk
1962-09-03,1.46,1.49,1.39,1.43,1087200.0,0.45,0.46,-0.01,-0.02,-2.14,1wk
1962-09-10,1.43,1.46,1.39,1.41,636000.0,0.44,0.45,-0.01,-0.02,-1.82,1wk
1962-09-17,1.41,1.43,1.39,1.41,962400.0,0.44,0.44,0.0,0.0,0.0,1wk
1962-09-24,1.39,1.39,1.31,1.31,900000.0,0.41,0.44,-0.03,-0.07,-6.67,1wk
1962-10-01,1.3,1.37,1.3,1.34,513600.0,0.42,0.41,0.01,0.02,2.38,1wk
