Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-09,231.3,232.2,227.54,230.75,2482900,226.13,,,,,1yr,0,224.63
2021-04-12,230.3,231.3,228.93,230.93,1688200,226.31,226.13,0.18,0.0,0.08,1yr,1,224.53
2021-04-13,233.41,233.5,228.05,229.35,2286400,224.76,226.31,-1.55,-0.01,-0.68,1yr,2,224.44
2021-04-14,229.6,234.22,229.55,232.58,2491000,227.93,224.76,3.17,0.01,1.41,1yr,3,224.34
2021-04-15,233.15,233.44,230.74,232.52,1860200,227.87,227.93,-0.06,-0.0,-0.03,1yr,4,224.24
2021-04-16,234.62,235.94,232.27,233.36,2128400,228.69,227.87,0.82,0.0,0.36,1yr,5,224.14
2021-04-19,232.9,233.1,229.91,232.39,1712600,227.74,228.69,-0.95,-0.0,-0.42,1yr,6,224.05
2021-04-20,230.9,231.3,225.6,227.63,2815800,223.08,227.74,-4.66,-0.02,-2.05,1yr,7,223.95
2021-04-21,227.32,232.61,226.02,232.46,1977700,227.81,223.08,4.73,0.02,2.12,1yr,8,223.85
2021-04-22,233.25,233.43,228.77,228.89,2410700,224.31,227.81,-3.5,-0.02,-1.54,1yr,9,223.75
2021-04-23,229.36,231.65,227.88,230.11,3458300,226.53,224.31,2.21,0.01,0.99,1yr,10,223.65
2021-04-26,230.57,232.85,229.96,230.56,1864800,226.97,226.53,0.44,0.0,0.2,1yr,11,223.56
2021-04-27,230.29,230.86,228.08,230.34,1959300,226.75,226.97,-0.22,-0.0,-0.1,1yr,12,223.46
2021-04-28,230.05,233.72,229.38,232.3,2965300,228.68,226.75,1.93,0.01,0.85,1yr,13,223.36
2021-04-29,235.0,235.2,223.2,227.47,5442400,223.93,228.68,-4.75,-0.02,-2.08,1yr,14,223.26
2021-04-30,225.52,228.39,224.88,228.11,3953500,224.56,223.93,0.63,0.0,0.28,1yr,15,223.17
2021-05-03,230.0,230.93,227.21,228.17,3182900,224.62,224.56,0.06,0.0,0.03,1yr,16,223.07
2021-05-04,227.0,234.0,225.35,233.41,4040700,229.77,224.62,5.16,0.02,2.3,1yr,17,222.97
2021-05-05,234.62,239.33,231.85,237.88,3690600,234.17,229.77,4.4,0.02,1.92,1yr,18,222.87
2021-05-06,238.0,240.98,236.0,237.07,4527000,233.38,234.17,-0.8,-0.0,-0.34,1yr,19,222.77
2021-05-07,235.64,241.89,233.16,240.99,3327900,237.24,233.38,3.86,0.02,1.65,1yr,20,222.68
2021-05-10,243.5,245.78,242.59,242.61,3752900,238.83,237.24,1.59,0.01,0.67,1yr,21,222.58
