Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-08 09:30:00,215.79,216.16,214.03,215.06,174904,215.06,,,,,30min
2022-04-08 10:00:00,214.9,216.11,214.13,214.79,143088,214.79,215.06,-0.27,-0.0,-0.13,30min
2022-04-08 10:30:00,214.8,217.36,214.72,217.36,179538,217.36,214.79,2.57,0.01,1.2,30min
2022-04-08 11:00:00,217.36,217.88,217.21,217.67,184178,217.67,217.36,0.31,0.0,0.14,30min
2022-04-08 11:30:00,217.64,217.87,216.99,217.08,106067,217.08,217.67,-0.59,-0.0,-0.27,30min
2022-04-08 12:00:00,217.11,217.18,216.18,217.16,72204,217.16,217.08,0.08,0.0,0.04,30min
2022-04-08 12:30:00,217.12,217.36,216.99,217.35,89334,217.35,217.16,0.19,0.0,0.09,30min
2022-04-08 13:00:00,217.35,217.36,217.07,217.25,63130,217.25,217.35,-0.1,-0.0,-0.05,30min
2022-04-08 13:30:00,217.3,217.35,216.72,217.19,90015,217.19,217.25,-0.06,-0.0,-0.03,30min
2022-04-08 14:00:00,217.12,217.3,216.73,216.87,144695,216.87,217.19,-0.32,-0.0,-0.15,30min
2022-04-08 14:30:00,216.81,217.37,216.81,217.29,88777,217.29,216.87,0.42,0.0,0.19,30min
2022-04-08 15:00:00,217.26,217.65,217.19,217.59,126924,217.59,217.29,0.3,0.0,0.14,30min
2022-04-08 15:30:00,217.62,217.72,216.68,217.18,476081,217.18,217.59,-0.41,-0.0,-0.19,30min
2022-04-08 16:00:00,217.03,217.03,217.03,217.03,0,217.03,217.18,-0.15,-0.0,-0.07,30min
