Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-10,224.95,225.75,220.61,221.64,3734900,220.57,,,,,3mo,0,206.95
2022-01-11,222.0,222.09,216.59,219.95,2944300,218.89,220.57,-1.68,-0.01,-0.76,3mo,1,207.04
2022-01-12,222.12,223.69,220.07,222.4,2506900,221.33,218.89,2.44,0.01,1.11,3mo,2,207.13
2022-01-13,222.89,227.88,222.64,227.0,5002300,225.9,221.33,4.58,0.02,2.07,3mo,3,207.22
2022-01-14,224.72,229.64,223.58,228.94,3970600,227.83,225.9,1.93,0.01,0.85,3mo,4,207.31
2022-01-18,227.71,230.43,226.86,229.87,5411900,228.76,227.83,0.93,0.0,0.41,3mo,5,207.41
2022-01-19,229.66,229.81,220.93,221.66,4991700,221.66,228.76,-7.1,-0.03,-3.1,3mo,6,207.5
2022-01-20,221.08,221.87,216.04,216.63,3545600,216.63,221.66,-5.03,-0.02,-2.27,3mo,7,207.59
2022-01-21,217.51,217.51,212.42,214.09,3754700,214.09,216.63,-2.54,-0.01,-1.17,3mo,8,207.68
2022-01-24,211.16,214.97,206.66,214.33,5107300,214.33,214.09,0.24,0.0,0.11,3mo,9,207.78
2022-01-25,212.08,216.83,207.1,214.31,4554300,214.31,214.33,-0.02,-0.0,-0.01,3mo,10,207.87
2022-01-26,215.0,218.88,212.24,214.29,3558500,214.29,214.31,-0.02,-0.0,-0.01,3mo,11,207.96
2022-01-27,215.21,217.9,210.15,212.17,3678100,212.17,214.29,-2.12,-0.01,-0.99,3mo,12,208.05
2022-01-28,205.59,208.0,196.8,201.16,10747300,201.16,212.17,-11.01,-0.05,-5.19,3mo,13,208.14
2022-01-31,199.45,201.6,194.68,201.56,6179000,201.56,201.16,0.4,0.0,0.2,3mo,14,208.24
2022-02-01,200.8,205.79,200.54,205.35,4026400,205.35,201.56,3.79,0.02,1.88,3mo,15,208.33
2022-02-02,203.2,205.8,201.4,204.94,3492300,204.94,205.35,-0.41,-0.0,-0.2,3mo,16,208.42
2022-02-03,205.0,205.87,200.09,200.59,2748200,200.59,204.94,-4.35,-0.02,-2.12,3mo,17,208.51
2022-02-04,200.21,201.01,196.49,198.41,3930800,198.41,200.59,-2.18,-0.01,-1.09,3mo,18,208.61
2022-02-07,198.84,201.53,198.03,199.82,2402000,199.82,198.41,1.41,0.01,0.71,3mo,19,208.7
2022-02-08,200.26,202.31,199.23,201.5,2407100,201.5,199.82,1.68,0.01,0.84,3mo,20,208.79
2022-02-09,202.64,204.1,202.09,203.6,2743700,203.6,201.5,2.1,0.01,1.04,3mo,21,208.88
2022-02-10,202.57,206.75,201.56,203.07,3538500,203.07,203.6,-0.53,-0.0,-0.26,3mo,22,208.97
2022-02-11,203.42,204.65,200.13,201.24,3826700,201.24,203.07,-1.83,-0.01,-0.9,3mo,23,209.07
2022-02-14,200.95,201.7,198.11,199.89,2730500,199.89,201.24,-1.35,-0.01,-0.67,3mo,24,209.16
2022-02-15,200.7,204.45,200.01,203.41,2752600,203.41,199.89,3.52,0.02,1.76,3mo,25,209.25
2022-02-16,203.11,205.42,203.0,203.64,2253900,203.64,203.41,0.23,0.0,0.11,3mo,26,209.34
2022-02-17,201.0,201.76,194.44,194.74,4699600,194.74,203.64,-8.9,-0.04,-4.37,3mo,27,209.44
2022-02-18,193.36,195.62,191.18,191.95,4385200,191.95,194.74,-2.79,-0.01,-1.43,3mo,28,209.53
2022-02-22,191.95,194.9,190.55,191.21,3488000,191.21,191.95,-0.74,-0.0,-0.39,3mo,29,209.62
2022-02-23,191.72,192.32,186.37,186.67,3550400,186.67,191.21,-4.54,-0.02,-2.37,3mo,30,209.71
2022-02-24,182.03,185.27,179.67,184.69,5919500,184.69,186.67,-1.98,-0.01,-1.06,3mo,31,209.8
2022-02-25,184.94,187.93,184.12,187.06,3594600,187.06,184.69,2.37,0.01,1.28,3mo,32,209.9
2022-02-28,184.34,188.77,183.67,187.58,5168500,187.58,187.06,0.52,0.0,0.28,3mo,33,209.99
2022-03-01,187.77,188.22,180.64,182.83,5110600,182.83,187.58,-4.75,-0.03,-2.53,3mo,34,210.08
2022-03-02,185.2,193.56,185.0,192.61,5849900,192.61,182.83,9.78,0.05,5.35,3mo,35,210.17
2022-03-03,193.32,196.58,192.34,194.85,4429700,194.85,192.61,2.24,0.01,1.16,3mo,36,210.27
2022-03-04,191.1,196.01,190.31,195.66,4334700,195.66,194.85,0.81,0.0,0.42,3mo,37,210.36
2022-03-07,194.79,203.5,193.62,196.7,6912300,196.7,195.66,1.04,0.01,0.53,3mo,38,210.45
2022-03-08,203.87,214.89,203.0,210.0,9318600,210.0,196.7,13.3,0.07,6.76,3mo,39,210.54
2022-03-09,212.57,213.6,207.45,209.78,4798300,209.78,210.0,-0.22,-0.0,-0.1,3mo,40,210.63
2022-03-10,209.39,217.52,208.18,211.79,4886300,211.79,209.78,2.01,0.01,0.96,3mo,41,210.73
2022-03-11,212.3,217.77,212.3,214.83,4045500,214.83,211.79,3.04,0.01,1.44,3mo,42,210.82
2022-03-14,216.3,218.48,212.93,215.44,3530700,215.44,214.83,0.61,0.0,0.28,3mo,43,210.91
2022-03-15,216.12,217.38,210.51,216.46,4364200,216.46,215.44,1.02,0.0,0.47,3mo,44,211.0
2022-03-16,217.5,219.49,212.32,216.08,4378700,216.08,216.46,-0.38,-0.0,-0.18,3mo,45,211.1
2022-03-17,215.32,221.78,214.34,221.7,3600400,221.7,216.08,5.62,0.03,2.6,3mo,46,211.19
2022-03-18,219.48,221.7,218.0,220.91,4105100,220.91,221.7,-0.79,-0.0,-0.36,3mo,47,211.28
2022-03-21,221.0,227.05,220.99,223.71,2902200,223.71,220.91,2.8,0.01,1.27,3mo,48,211.37
2022-03-22,224.46,225.85,221.34,222.71,2461500,222.71,223.71,-1.0,-0.0,-0.45,3mo,49,211.46
2022-03-23,221.69,224.78,221.69,222.17,2001700,222.17,222.71,-0.54,-0.0,-0.24,3mo,50,211.56
2022-03-24,222.54,225.0,221.51,222.21,2110900,222.21,222.17,0.04,0.0,0.02,3mo,51,211.65
2022-03-25,222.09,223.8,221.14,223.36,1581100,223.36,222.21,1.15,0.01,0.52,3mo,52,211.74
2022-03-28,222.34,222.68,219.04,221.85,3072500,221.85,223.36,-1.51,-0.01,-0.68,3mo,53,211.83
2022-03-29,220.8,221.43,216.54,221.04,3667800,221.04,221.85,-0.81,-0.0,-0.37,3mo,54,211.93
2022-03-30,222.0,225.88,220.7,223.08,2507400,223.08,221.04,2.04,0.01,0.92,3mo,55,212.02
2022-03-31,223.21,225.19,222.43,222.82,3152100,222.82,223.08,-0.26,-0.0,-0.12,3mo,56,212.11
2022-04-01,224.35,225.52,218.17,219.77,2617800,219.77,222.82,-3.05,-0.01,-1.37,3mo,57,212.2
2022-04-04,219.16,221.35,216.6,220.81,2181300,220.81,219.77,1.04,0.0,0.47,3mo,58,212.29
2022-04-05,220.0,222.37,215.14,216.02,3582100,216.02,220.81,-4.79,-0.02,-2.17,3mo,59,212.39
2022-04-06,215.12,217.13,213.55,216.21,2783300,216.21,216.02,0.19,0.0,0.09,3mo,60,212.48
2022-04-07,215.46,216.31,213.56,215.9,2253600,215.9,216.21,-0.31,-0.0,-0.14,3mo,61,212.57
2022-04-08,215.79,217.88,214.03,217.03,2450200,217.03,215.9,1.13,0.01,0.52,3mo,62,212.66
