Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-02,0.09,0.1,0.09,0.09,841958,0.06,,,,,1d
1962-01-03,0.09,0.09,0.09,0.09,801865,0.06,0.06,0.0,0.01,1.34,1d
1962-01-04,0.09,0.09,0.09,0.09,962238,0.06,0.06,0.0,0.0,0.0,1d
1962-01-05,0.09,0.09,0.09,0.09,962238,0.06,0.06,0.0,0.0,0.33,1d
1962-01-08,0.09,0.1,0.09,0.09,1282984,0.06,0.06,-0.0,-0.0,-0.33,1d
1962-01-09,0.09,0.1,0.09,0.1,641492,0.06,0.06,0.0,0.02,1.99,1d
1962-01-10,0.1,0.1,0.1,0.1,681585,0.06,0.06,0.0,0.01,0.97,1d
1962-01-11,0.1,0.1,0.1,0.1,2004663,0.06,0.06,0.0,0.03,2.89,1d
1962-01-12,0.1,0.1,0.1,0.1,2004663,0.06,0.06,-0.0,-0.03,-3.12,1d
1962-01-15,0.1,0.1,0.1,0.1,641492,0.06,0.06,0.0,0.0,0.0,1d
1962-01-16,0.1,0.1,0.09,0.09,360839,0.06,0.06,-0.0,-0.03,-2.58,1d
1962-01-17,0.09,0.09,0.09,0.09,400933,0.06,0.06,-0.0,-0.03,-3.31,1d
1962-01-18,0.09,0.09,0.09,0.09,320746,0.06,0.06,0.0,0.02,2.05,1d
1962-01-19,0.09,0.09,0.09,0.09,441026,0.06,0.06,0.0,0.02,2.01,1d
1962-01-22,0.1,0.1,0.1,0.1,360839,0.06,0.06,0.0,0.02,1.64,1d
1962-01-23,0.1,0.1,0.1,0.1,1202798,0.06,0.06,-0.0,-0.0,-0.32,1d
1962-01-24,0.1,0.1,0.09,0.09,360839,0.06,0.06,-0.0,-0.01,-1.3,1d
1962-01-25,0.09,0.1,0.09,0.09,160373,0.06,0.06,-0.0,-0.01,-1.32,1d
1962-01-26,0.09,0.09,0.09,0.09,360839,0.06,0.06,-0.0,-0.01,-0.67,1d
1962-01-29,0.09,0.09,0.09,0.09,240560,0.06,0.06,0.0,0.0,0.0,1d
1962-01-30,0.09,0.09,0.09,0.09,681585,0.06,0.06,0.0,0.01,0.67,1d
1962-01-31,0.09,0.09,0.09,0.09,320746,0.06,0.06,0.0,0.0,0.0,1d
1962-02-01,0.09,0.1,0.09,0.09,1282984,0.06,0.06,0.0,0.01,1.33,1d
1962-02-02,0.09,0.1,0.09,0.09,641492,0.06,0.06,0.0,0.0,0.0,1d
1962-02-05,0.09,0.1,0.09,0.09,400933,0.06,0.06,0.0,0.0,0.0,1d
1962-02-06,0.09,0.1,0.09,0.09,240560,0.06,0.06,-0.0,-0.01,-0.66,1d
1962-02-07,0.09,0.1,0.09,0.1,1403264,0.06,0.06,0.0,0.01,1.33,1d
1962-02-08,0.1,0.1,0.1,0.1,2084849,0.06,0.06,0.0,0.03,2.61,1d
1962-02-09,0.1,0.1,0.1,0.1,1042425,0.06,0.06,0.0,0.01,0.64,1d
1962-02-12,0.1,0.1,0.1,0.1,641492,0.06,0.06,0.0,0.0,0.0,1d
1962-02-13,0.1,0.1,0.1,0.1,641492,0.06,0.06,0.0,0.0,0.0,1d
1962-02-14,0.1,0.1,0.1,0.1,200466,0.06,0.06,-0.0,-0.01,-1.27,1d
1962-02-15,0.1,0.1,0.1,0.1,481119,0.06,0.06,0.0,0.01,0.64,1d
1962-02-16,0.1,0.1,0.1,0.1,3728673,0.06,0.06,0.0,0.02,1.91,1d
1962-02-19,0.1,0.1,0.1,0.1,841958,0.06,0.06,-0.0,-0.02,-1.56,1d
1962-02-20,0.1,0.1,0.1,0.1,240560,0.06,0.06,0.0,0.01,0.95,1d
1962-02-21,0.1,0.1,0.1,0.1,120280,0.06,0.06,-0.0,-0.01,-1.26,1d
1962-02-23,0.1,0.1,0.1,0.1,441026,0.06,0.06,-0.0,-0.01,-0.64,1d
1962-02-26,0.1,0.1,0.09,0.09,761772,0.06,0.06,-0.0,-0.03,-2.56,1d
1962-02-27,0.09,0.1,0.09,0.09,481119,0.06,0.06,-0.0,-0.01,-0.66,1d
1962-02-28,0.09,0.09,0.09,0.09,280653,0.06,0.06,-0.0,-0.01,-0.99,1d
1962-03-01,0.09,0.1,0.09,0.1,441026,0.06,0.06,0.0,0.03,2.68,1d
1962-03-02,0.1,0.1,0.1,0.1,280653,0.06,0.06,-0.0,-0.01,-0.65,1d
1962-03-05,0.1,0.1,0.1,0.1,441026,0.06,0.06,0.0,0.0,0.33,1d
1962-03-06,0.1,0.1,0.09,0.09,160373,0.06,0.06,-0.0,-0.01,-1.31,1d
1962-03-07,0.09,0.09,0.09,0.09,120280,0.06,0.06,-0.0,-0.01,-0.66,1d
1962-03-08,0.09,0.1,0.09,0.1,360839,0.06,0.06,0.0,0.02,1.67,1d
1962-03-09,0.1,0.1,0.09,0.09,521212,0.06,0.06,-0.0,-0.0,-0.33,1d
1962-03-12,0.1,0.1,0.1,0.1,400933,0.06,0.06,0.0,0.02,1.97,1d
1962-03-13,0.1,0.1,0.1,0.1,360839,0.06,0.06,0.0,0.02,1.88,1d
1962-03-14,0.1,0.1,0.1,0.1,601399,0.06,0.06,-0.0,-0.01,-0.95,1d
1962-03-15,0.1,0.1,0.1,0.1,280653,0.06,0.06,0.0,0.01,0.64,1d
1962-03-16,0.1,0.1,0.1,0.1,120280,0.06,0.06,0.0,0.0,0.0,1d
1962-03-19,0.1,0.1,0.1,0.1,561306,0.06,0.06,0.0,0.0,0.0,1d
1962-03-20,0.1,0.1,0.1,0.1,240560,0.06,0.06,-0.0,-0.01,-1.27,1d
1962-03-21,0.1,0.1,0.1,0.1,320746,0.06,0.06,-0.0,-0.02,-1.61,1d
1962-03-22,0.09,0.09,0.09,0.09,120280,0.06,0.06,-0.0,-0.01,-0.98,1d
1962-03-23,0.09,0.1,0.09,0.09,441026,0.06,0.06,0.0,0.0,0.0,1d
1962-03-26,0.09,0.09,0.09,0.09,200466,0.06,0.06,-0.0,-0.01,-0.66,1d
1962-03-27,0.09,0.09,0.09,0.09,240560,0.06,0.06,-0.0,-0.01,-1.33,1d
1962-03-28,0.09,0.09,0.09,0.09,240560,0.06,0.06,-0.0,-0.01,-0.68,1d
1962-03-29,0.09,0.09,0.09,0.09,320746,0.06,0.06,0.0,0.02,1.7,1d
1962-03-30,0.09,0.09,0.09,0.09,441026,0.06,0.06,0.0,0.0,0.0,1d
1962-04-02,0.09,0.09,0.09,0.09,280653,0.06,0.06,-0.0,-0.01,-1.0,1d
1962-04-03,0.09,0.09,0.09,0.09,320746,0.06,0.06,-0.0,-0.01,-0.68,1d
