Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",107.38,107.66,106.5,106.77,746435,106.77,,,,,15min
"May 18, 2022 09:45 AM",106.78,107.16,106.24,106.59,408266,106.59,106.77,-0.18,-0.0,-0.17,15min
"May 18, 2022 10:00 AM",106.62,107.22,106.51,107.12,375614,107.12,106.59,0.53,0.0,0.5,15min
"May 18, 2022 10:15 AM",107.12,107.2,106.64,106.64,301016,106.64,107.12,-0.48,-0.0,-0.45,15min
"May 18, 2022 10:30 AM",106.59,106.85,106.35,106.68,707458,106.68,106.64,0.04,0.0,0.03,15min
"May 18, 2022 10:45 AM",106.66,107.09,106.51,106.66,408161,106.66,106.68,-0.01,-0.0,-0.01,15min
"May 18, 2022 11:00 AM",106.66,106.66,105.9,105.97,416089,105.97,106.66,-0.69,-0.01,-0.65,15min
"May 18, 2022 11:15 AM",105.96,105.96,105.47,105.57,233470,105.57,105.97,-0.4,-0.0,-0.38,15min
"May 18, 2022 11:30 AM",105.59,105.95,105.36,105.94,238578,105.94,105.57,0.38,0.0,0.36,15min
"May 18, 2022 11:45 AM",105.91,105.95,105.44,105.49,171636,105.49,105.94,-0.46,-0.0,-0.43,15min
"May 18, 2022 12:00 PM",105.49,105.58,105.07,105.24,317945,105.24,105.49,-0.25,-0.0,-0.24,15min
"May 18, 2022 12:15 PM",105.21,105.45,105.01,105.16,280248,105.16,105.24,-0.08,-0.0,-0.08,15min
"May 18, 2022 12:30 PM",105.18,105.65,105.06,105.53,262954,105.53,105.16,0.37,0.0,0.35,15min
"May 18, 2022 12:45 PM",105.53,106.09,105.4,106.08,338791,106.08,105.53,0.55,0.01,0.52,15min
"May 18, 2022 01:00 PM",106.05,106.05,105.15,105.15,302408,105.15,106.08,-0.93,-0.01,-0.88,15min
"May 18, 2022 01:15 PM",105.14,105.25,104.92,105.18,252389,105.18,105.15,0.03,0.0,0.03,15min
"May 18, 2022 01:30 PM",105.16,105.33,104.92,104.93,269339,104.93,105.18,-0.25,-0.0,-0.23,15min
"May 18, 2022 01:45 PM",104.96,104.97,104.55,104.82,384755,104.82,104.93,-0.11,-0.0,-0.11,15min
"May 18, 2022 02:00 PM",104.84,105.03,104.65,104.74,492268,104.74,104.82,-0.08,-0.0,-0.08,15min
"May 18, 2022 02:15 PM",104.75,105.15,104.69,105.11,255212,105.11,104.74,0.38,0.0,0.36,15min
"May 18, 2022 02:30 PM",105.11,105.12,104.41,104.7,416477,104.7,105.11,-0.42,-0.0,-0.39,15min
"May 18, 2022 02:45 PM",104.7,104.87,104.44,104.51,262261,104.51,104.7,-0.19,-0.0,-0.18,15min
"May 18, 2022 03:00 PM",104.5,104.95,104.49,104.58,267725,104.58,104.51,0.07,0.0,0.07,15min
"May 18, 2022 03:15 PM",104.57,104.73,104.11,104.23,493861,104.23,104.58,-0.35,-0.0,-0.33,15min
"May 18, 2022 03:30 PM",104.24,104.67,104.17,104.35,456882,104.35,104.23,0.12,0.0,0.12,15min
"May 18, 2022 03:45 PM",104.35,104.42,103.88,104.35,1059675,104.35,104.35,0.0,0.0,0.0,15min
"May 18, 2022 04:00 PM",104.3,104.3,104.3,104.3,0,104.3,104.35,-0.05,-0.0,-0.05,15min
