Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",155.83,157.45,155.36,157.33,2421572,157.33,,,,,1hr
"January 03, 2022 10:30 AM",157.35,157.56,156.17,156.19,1371086,156.19,157.33,-1.14,-0.01,-0.72,1hr
"January 03, 2022 11:30 AM",156.19,156.47,155.37,155.71,985482,155.71,156.19,-0.48,-0.0,-0.3,1hr
"January 03, 2022 12:30 PM",155.72,156.15,155.43,156.12,638169,156.12,155.71,0.4,0.0,0.26,1hr
"January 03, 2022 01:30 PM",156.13,156.71,155.99,156.66,1430182,156.66,156.12,0.54,0.0,0.35,1hr
"January 03, 2022 02:30 PM",156.65,157.12,156.47,157.1,980464,157.1,156.66,0.44,0.0,0.28,1hr
"January 03, 2022 03:30 PM",157.09,157.12,156.47,156.75,867720,156.75,157.1,-0.34,-0.0,-0.22,1hr
"January 04, 2022 09:30 AM",158.59,160.32,157.71,158.15,4187559,158.15,156.75,1.4,0.01,0.9,1hr
"January 04, 2022 10:30 AM",158.18,158.41,156.76,157.25,1759860,157.25,158.15,-0.9,-0.01,-0.57,1hr
"January 04, 2022 11:30 AM",157.23,157.8,156.94,157.69,1240025,157.69,157.25,0.44,0.0,0.28,1hr
"January 04, 2022 12:30 PM",157.67,157.75,156.98,157.01,1676671,157.01,157.69,-0.68,-0.0,-0.43,1hr
"January 04, 2022 01:30 PM",157.01,157.33,156.3,156.33,1675200,156.33,157.01,-0.68,-0.0,-0.43,1hr
"January 04, 2022 02:30 PM",156.34,156.7,156.21,156.58,1435166,156.58,156.33,0.25,0.0,0.16,1hr
"January 04, 2022 03:30 PM",156.59,156.61,155.55,155.73,1907320,155.73,156.58,-0.85,-0.01,-0.54,1hr
"January 05, 2022 09:30 AM",156.52,159.23,156.09,158.87,2978959,158.87,155.73,3.14,0.02,2.01,1hr
"January 05, 2022 10:30 AM",158.85,159.38,157.93,158.23,1703709,158.23,158.87,-0.64,-0.0,-0.4,1hr
"January 05, 2022 11:30 AM",158.21,158.73,157.64,158.15,1016418,158.15,158.23,-0.08,-0.0,-0.05,1hr
"January 05, 2022 12:30 PM",158.14,158.48,157.42,158.02,901016,158.02,158.15,-0.12,-0.0,-0.08,1hr
"January 05, 2022 01:30 PM",158.02,158.23,156.89,157.07,948168,157.07,158.02,-0.95,-0.01,-0.6,1hr
"January 05, 2022 02:30 PM",157.04,157.18,155.76,155.77,1393164,155.77,157.07,-1.3,-0.01,-0.83,1hr
"January 05, 2022 03:30 PM",155.79,156.1,155.1,155.21,1676521,155.21,155.77,-0.56,-0.0,-0.36,1hr
