Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",128.09,133.19,127.79,131.9,12767200,131.9,,,,,1mo
"April 20, 2022",126.05,127.35,124.11,124.57,36465700,124.57,131.9,-7.33,-0.06,-5.56,1mo
"April 21, 2022",125.54,126.45,121.28,121.66,18688600,121.66,124.57,-2.91,-0.02,-2.34,1mo
"April 22, 2022",120.01,121.89,118.15,118.27,19472800,118.27,121.66,-3.39,-0.03,-2.79,1mo
"April 25, 2022",117.66,120.33,116.75,119.95,16491000,119.95,118.27,1.68,0.01,1.42,1mo
"April 26, 2022",119.15,119.15,115.64,115.77,16116000,115.77,119.95,-4.18,-0.03,-3.48,1mo
"April 27, 2022",115.43,116.9,113.39,115.21,15553000,115.21,115.77,-0.56,-0.0,-0.48,1mo
"April 28, 2022",115.22,116.0,112.69,115.29,23192100,115.29,115.21,0.08,0.0,0.07,1mo
"April 29, 2022",115.2,115.99,111.36,111.63,16884300,111.63,115.29,-3.66,-0.03,-3.17,1mo
"May 02, 2022",111.71,113.66,111.01,113.5,14300700,113.5,111.63,1.87,0.02,1.68,1mo
"May 03, 2022",114.05,114.83,112.69,113.55,11149500,113.55,113.5,0.05,0.0,0.04,1mo
"May 04, 2022",113.37,116.44,111.83,116.19,11488300,116.19,113.55,2.64,0.02,2.32,1mo
"May 05, 2022",114.74,115.27,111.48,112.61,12720200,112.61,116.19,-3.58,-0.03,-3.08,1mo
"May 06, 2022",111.77,112.09,108.3,110.29,12515100,110.29,112.61,-2.32,-0.02,-2.06,1mo
"May 09, 2022",108.11,110.74,106.48,106.98,17941600,106.98,110.29,-3.31,-0.03,-3.0,1mo
"May 10, 2022",109.84,110.7,106.14,107.68,15657700,107.68,106.98,0.7,0.01,0.65,1mo
"May 11, 2022",107.9,110.07,104.79,105.21,26933300,105.21,107.68,-2.47,-0.02,-2.29,1mo
"May 12, 2022",102.9,105.0,99.47,104.31,36298800,104.31,105.21,-0.9,-0.01,-0.86,1mo
"May 13, 2022",105.36,107.69,105.31,107.33,16765400,107.33,104.31,3.02,0.03,2.9,1mo
"May 16, 2022",107.46,107.62,104.85,105.18,11993600,105.18,107.33,-2.15,-0.02,-2.0,1mo
"May 17, 2022",107.73,108.79,106.3,108.64,11847600,108.64,105.18,3.46,0.03,3.29,1mo
"May 18, 2022",107.38,107.66,103.88,104.3,11776800,104.3,108.64,-4.34,-0.04,-3.99,1mo
