Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-01,0.09,0.1,0.09,0.09,3568299.0,0.06,,,,,1wk
1962-01-08,0.09,0.1,0.09,0.1,6615387.0,0.06,0.06,0.0,0.02,2.31,1wk
1962-01-15,0.1,0.1,0.09,0.09,2165036.0,0.06,0.06,-0.0,-0.02,-1.94,1wk
1962-01-22,0.1,0.1,0.09,0.09,2445688.0,0.06,0.06,-0.0,-0.02,-1.97,1wk
1962-01-29,0.09,0.1,0.09,0.09,3167367.0,0.06,0.06,0.0,0.02,2.01,1wk
1962-02-05,0.09,0.1,0.09,0.1,5172031.0,0.06,0.06,0.0,0.04,3.95,1wk
1962-02-12,0.1,0.1,0.1,0.1,5693242.0,0.06,0.06,0.0,0.01,1.27,1wk
1962-02-19,0.1,0.1,0.1,0.1,1643824.0,0.06,0.06,-0.0,-0.02,-2.5,1wk
1962-02-26,0.1,0.1,0.09,0.1,2245223.0,0.06,0.06,-0.0,-0.02,-2.24,1wk
1962-03-05,0.1,0.1,0.09,0.09,1603730.0,0.06,0.06,-0.0,-0.0,-0.33,1wk
1962-03-12,0.1,0.1,0.1,0.1,1764104.0,0.06,0.06,0.0,0.03,3.29,1wk
1962-03-13,,,,,,,0.06,,,,1wk
1962-03-19,0.1,0.1,0.09,0.09,1683918.0,0.06,,,,,1wk
1962-03-26,0.09,0.09,0.09,0.09,1443358.0,0.06,0.06,-0.0,-0.01,-0.99,1wk
1962-04-02,0.09,0.09,0.09,0.09,1483451.0,0.06,0.06,-0.0,-0.01,-0.67,1wk
1962-04-09,0.09,0.09,0.08,0.09,3006995.0,0.05,0.06,-0.0,-0.06,-6.4,1wk
1962-04-16,0.09,0.09,0.09,0.09,2325409.0,0.06,0.05,0.0,0.05,5.04,1wk
1962-04-23,0.09,0.09,0.09,0.09,2806528.0,0.06,0.06,-0.0,-0.02,-2.06,1wk
1962-04-30,0.09,0.09,0.09,0.09,1844290.0,0.05,0.06,-0.0,-0.03,-2.8,1wk
1962-05-07,0.09,0.09,0.08,0.08,3047087.0,0.05,0.05,-0.01,-0.1,-10.07,1wk
1962-05-14,0.08,0.08,0.08,0.08,2004663.0,0.05,0.05,0.0,0.02,2.4,1wk
1962-05-21,0.08,0.08,0.08,0.08,3367834.0,0.05,0.05,-0.0,-0.02,-2.34,1wk
1962-05-28,0.08,0.08,0.07,0.08,11907698.0,0.05,0.05,0.0,0.02,2.4,1wk
1962-06-04,0.08,0.08,0.07,0.08,4530538.0,0.05,0.05,-0.0,-0.02,-1.56,1wk
1962-06-11,0.08,0.08,0.06,0.07,4289980.0,0.04,0.05,-0.0,-0.09,-9.13,1wk
1962-06-12,,,,,,,0.04,,,,1wk
1962-06-18,0.07,0.07,0.07,0.07,2806528.0,0.04,,,,,1wk
1962-06-25,0.07,0.07,0.07,0.07,2686248.0,0.04,0.04,-0.0,-0.02,-1.84,1wk
1962-07-02,0.07,0.07,0.07,0.07,1844290.0,0.04,0.04,0.0,0.02,1.87,1wk
1962-07-09,0.07,0.07,0.07,0.07,3889045.0,0.05,0.04,0.0,0.08,7.8,1wk
1962-07-16,0.07,0.07,0.07,0.07,1242891.0,0.05,0.05,-0.0,-0.02,-2.13,1wk
1962-07-23,0.07,0.07,0.07,0.07,2365501.0,0.04,0.05,-0.0,-0.06,-6.09,1wk
1962-07-30,0.07,0.07,0.07,0.07,2205129.0,0.04,0.04,0.0,0.03,2.78,1wk
1962-08-06,0.07,0.07,0.07,0.07,2565969.0,0.04,0.04,0.0,0.03,2.7,1wk
1962-08-13,0.07,0.07,0.07,0.07,3488114.0,0.05,0.04,0.0,0.05,5.26,1wk
1962-08-20,0.08,0.08,0.08,0.08,3488114.0,0.05,0.05,0.0,0.08,7.92,1wk
1962-08-27,0.08,0.08,0.07,0.08,1764104.0,0.05,0.05,-0.0,-0.03,-3.47,1wk
1962-09-03,0.08,0.08,0.07,0.07,721679.0,0.05,0.05,-0.0,-0.05,-5.2,1wk
1962-09-10,0.07,0.07,0.07,0.07,1042425.0,0.05,0.05,-0.0,-0.03,-2.53,1wk
1962-09-11,,,,,,,0.05,,,,1wk
1962-09-17,0.07,0.07,0.07,0.07,1042425.0,0.04,,,,,1wk
1962-09-24,0.07,0.07,0.06,0.06,2565968.0,0.04,0.04,-0.0,-0.07,-6.82,1wk
1962-10-01,0.06,0.07,0.06,0.06,2084850.0,0.04,0.04,0.0,0.01,1.46,1wk
1962-10-08,0.06,0.07,0.06,0.06,841959.0,0.04,0.04,-0.0,-0.03,-2.89,1wk
1962-10-15,0.06,0.06,0.06,0.06,1363171.0,0.04,0.04,-0.0,-0.03,-2.97,1wk
1962-10-22,0.06,0.06,0.05,0.05,6013989.0,0.03,0.04,-0.0,-0.12,-12.25,1wk
1962-10-29,0.06,0.06,0.06,0.06,3608394.0,0.04,0.03,0.01,0.2,20.35,1wk
1962-11-05,0.07,0.07,0.06,0.07,3448019.0,0.04,0.04,0.0,0.04,4.35,1wk
1962-11-12,0.07,0.07,0.07,0.07,3367834.0,0.05,0.04,0.0,0.07,7.41,1wk
1962-11-19,0.07,0.08,0.07,0.07,2766434.0,0.05,0.05,0.0,0.03,3.45,1wk
1962-11-26,0.07,0.08,0.07,0.07,4690912.0,0.05,0.05,-0.0,-0.05,-4.58,1wk
1962-12-03,0.07,0.07,0.07,0.07,2846621.0,0.05,0.05,0.0,0.0,0.0,1wk
1962-12-10,0.07,0.07,0.07,0.07,2044756.0,0.04,0.05,-0.0,-0.02,-2.18,1wk
1962-12-17,0.07,0.07,0.07,0.07,3201232.0,0.05,0.04,0.0,0.05,4.84,1wk
1962-12-18,,,,,,,0.05,,,,1wk
1962-12-24,0.07,0.08,0.07,0.08,2530157.0,0.05,,,,,1wk
1962-12-31,0.07,0.08,0.07,0.08,3853624.0,0.05,0.05,0.0,0.06,5.53,1wk
1963-01-07,0.08,0.08,0.08,0.08,5060314.0,0.05,0.05,0.0,0.04,4.03,1wk
1963-01-14,0.08,0.09,0.08,0.09,5254941.0,0.05,0.05,0.0,0.03,3.49,1wk
1963-01-21,0.09,0.09,0.08,0.08,3970399.0,0.05,0.05,-0.0,-0.04,-4.12,1wk
1963-01-28,0.08,0.08,0.08,0.08,2491231.0,0.05,0.05,-0.0,-0.0,-0.39,1wk
1963-02-04,0.08,0.08,0.08,0.08,3191889.0,0.05,0.05,-0.0,-0.02,-2.35,1wk
1963-02-11,0.08,0.08,0.08,0.08,2919411.0,0.05,0.05,0.0,0.06,6.02,1wk
1963-02-18,0.09,0.09,0.09,0.09,4593208.0,0.06,0.05,0.0,0.04,3.79,1wk
1963-02-25,0.09,0.09,0.08,0.08,5916674.0,0.05,0.06,-0.0,-0.04,-4.38,1wk
1963-03-04,0.08,0.09,0.08,0.09,2724784.0,0.06,0.05,0.0,0.04,4.2,1wk
1963-03-11,0.09,0.09,0.09,0.09,2335529.0,0.06,0.06,-0.0,-0.0,-0.37,1wk
1963-03-12,,,,,,,0.06,,,,1wk
1963-03-18,0.09,0.09,0.09,0.09,1868423.0,0.06,,,,,1wk
1963-03-25,0.09,0.09,0.09,0.09,1518093.0,0.06,0.06,0.0,0.0,0.37,1wk
1963-04-01,0.09,0.09,0.09,0.09,1673796.0,0.06,0.06,0.0,0.02,1.85,1wk
1963-04-08,0.09,0.09,0.09,0.09,2763710.0,0.06,0.06,-0.0,-0.03,-2.54,1wk
1963-04-15,0.09,0.09,0.09,0.09,1985199.0,0.05,0.06,-0.0,-0.01,-1.11,1wk
1963-04-22,0.09,0.09,0.08,0.09,2374455.0,0.05,0.05,-0.0,-0.0,-0.38,1wk
1963-04-29,0.09,0.09,0.09,0.09,6656259.0,0.06,0.05,0.01,0.09,9.44,1wk
1963-05-06,0.09,0.09,0.09,0.09,3152964.0,0.06,0.06,-0.0,-0.02,-1.72,1wk
1963-05-13,0.09,0.09,0.09,0.09,1595944.0,0.06,0.06,-0.0,-0.02,-1.75,1wk
1963-05-20,0.09,0.09,0.09,0.09,3075114.0,0.06,0.06,0.0,0.01,0.72,1wk
1963-05-27,0.09,0.09,0.09,0.09,2569082.0,0.06,0.06,-0.0,-0.01,-0.71,1wk
