Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-05,191.47,191.67,188.09,188.5,7405300,188.5,,,,,1yr,0,190.76
2021-04-06,188.5,191.28,187.87,189.73,7926200,189.73,188.5,1.23,0.01,0.65,1yr,1,190.56
2021-04-07,189.8,190.33,186.95,187.56,6238700,187.56,189.73,-2.17,-0.01,-1.14,1yr,2,190.37
2021-04-08,187.2,188.05,185.63,187.32,7763000,187.32,187.56,-0.24,-0.0,-0.13,1yr,3,190.17
2021-04-09,188.17,188.22,186.15,187.89,6089300,187.89,187.32,0.57,0.0,0.3,1yr,4,189.97
2021-04-12,187.75,187.85,185.48,186.49,6662500,186.49,187.89,-1.4,-0.01,-0.75,1yr,5,189.78
2021-04-13,185.59,186.44,184.6,185.49,6826500,185.49,186.49,-1.0,-0.01,-0.54,1yr,6,189.58
2021-04-14,185.97,190.4,185.71,187.46,9089900,187.46,185.49,1.97,0.01,1.06,1yr,7,189.38
2021-04-15,188.09,188.9,185.7,185.93,7262500,185.93,187.46,-1.53,-0.01,-0.82,1yr,8,189.19
2021-04-16,187.57,189.47,186.2,187.26,9453500,187.26,185.93,1.33,0.01,0.72,1yr,9,188.99
2021-04-19,187.51,190.33,185.65,187.43,7625800,187.43,187.26,0.17,0.0,0.09,1yr,10,188.79
2021-04-20,187.29,188.08,181.82,182.79,10765800,182.79,187.43,-4.64,-0.02,-2.48,1yr,11,188.59
2021-04-21,181.29,183.38,178.86,183.11,8400200,183.11,182.79,0.32,0.0,0.18,1yr,12,188.4
2021-04-22,184.22,184.88,181.26,182.76,7378300,182.76,183.11,-0.35,-0.0,-0.19,1yr,13,188.2
2021-04-23,182.35,183.9,181.96,183.02,6075500,183.02,182.76,0.26,0.0,0.14,1yr,14,188.0
2021-04-26,183.96,185.6,183.26,184.27,6178300,184.27,183.02,1.25,0.01,0.68,1yr,15,187.81
2021-04-27,184.99,185.81,184.15,184.64,4870000,184.64,184.27,0.37,0.0,0.2,1yr,16,187.61
2021-04-28,184.79,184.79,182.82,183.39,5199300,183.39,184.64,-1.25,-0.01,-0.68,1yr,17,187.41
2021-04-29,184.8,185.55,182.75,185.33,5958300,185.33,183.39,1.94,0.01,1.06,1yr,18,187.22
2021-04-30,184.29,186.32,183.54,186.02,7866300,186.02,185.33,0.69,0.0,0.37,1yr,19,187.02
2021-05-03,187.69,189.22,185.25,185.51,7542800,185.51,186.02,-0.51,-0.0,-0.27,1yr,20,186.82
2021-05-04,184.87,185.63,182.31,184.25,7069300,184.25,185.51,-1.26,-0.01,-0.68,1yr,21,186.62
2021-05-05,185.01,185.01,181.36,181.51,5901700,181.51,184.25,-2.74,-0.01,-1.49,1yr,22,186.43
2021-05-06,182.78,182.99,179.81,181.79,6944900,181.79,181.51,0.28,0.0,0.15,1yr,23,186.23
2021-05-07,182.0,185.12,181.51,184.84,6888400,184.84,181.79,3.05,0.02,1.68,1yr,24,186.03
2021-05-10,185.7,186.97,184.03,184.3,8260300,184.3,184.84,-0.54,-0.0,-0.29,1yr,25,185.84
2021-05-11,181.8,182.25,178.43,181.67,10865600,181.67,184.3,-2.63,-0.01,-1.43,1yr,26,185.64
2021-05-12,180.7,182.46,177.58,177.85,8988100,177.85,181.67,-3.82,-0.02,-2.1,1yr,27,185.44
2021-05-13,178.37,180.75,175.8,178.34,12332200,178.34,177.85,0.49,0.0,0.28,1yr,28,185.25
2021-05-14,172.93,174.91,168.78,173.7,33149400,173.7,178.34,-4.64,-0.03,-2.6,1yr,29,185.05
2021-05-17,172.7,172.99,168.57,170.08,17771600,170.08,173.7,-3.62,-0.02,-2.08,1yr,30,184.85
2021-05-18,170.26,171.26,169.45,169.68,10401000,169.68,170.08,-0.4,-0.0,-0.24,1yr,31,184.65
2021-05-19,167.71,169.4,167.1,169.27,9251000,169.27,169.68,-0.41,-0.0,-0.24,1yr,32,184.46
2021-05-20,169.21,171.9,168.98,171.36,7400700,171.36,169.27,2.09,0.01,1.23,1yr,33,184.26
2021-05-21,172.22,173.12,171.52,172.4,8105700,172.4,171.36,1.04,0.01,0.61,1yr,34,184.06
2021-05-24,172.45,175.11,171.75,174.31,7346700,174.31,172.4,1.91,0.01,1.11,1yr,35,183.87
2021-05-25,175.6,177.45,175.4,176.17,8089700,176.17,174.31,1.86,0.01,1.07,1yr,36,183.67
2021-05-26,176.62,177.9,176.2,176.47,8086200,176.47,176.17,0.3,0.0,0.17,1yr,37,183.47
2021-05-27,177.2,179.59,176.79,179.04,13567800,179.04,176.47,2.57,0.01,1.46,1yr,38,183.28
2021-05-28,179.51,180.14,178.08,178.65,7124800,178.65,179.04,-0.39,-0.0,-0.22,1yr,39,183.08
2021-06-01,180.18,181.01,178.74,178.84,7475600,178.84,178.65,0.19,0.0,0.11,1yr,40,182.88
2021-06-02,179.04,179.1,176.93,177.0,7851700,177.0,178.84,-1.84,-0.01,-1.03,1yr,41,182.68
2021-06-03,176.27,176.97,175.42,176.24,5583900,176.24,177.0,-0.76,-0.0,-0.43,1yr,42,182.49
2021-06-04,175.93,177.52,175.61,177.18,6343400,177.18,176.24,0.94,0.01,0.53,1yr,43,182.29
2021-06-07,177.97,178.07,176.4,176.99,5178100,176.99,177.18,-0.19,-0.0,-0.11,1yr,44,182.09
2021-06-08,175.97,177.12,175.19,176.33,5356200,176.33,176.99,-0.66,-0.0,-0.37,1yr,45,181.9
2021-06-09,176.31,177.33,175.88,176.04,5082400,176.04,176.33,-0.29,-0.0,-0.16,1yr,46,181.7
2021-06-10,176.44,177.61,175.55,176.57,5253000,176.57,176.04,0.53,0.0,0.3,1yr,47,181.5
2021-06-11,177.45,178.49,176.81,177.38,5476300,177.38,176.57,0.81,0.0,0.46,1yr,48,181.31
2021-06-14,177.65,178.87,176.9,178.18,10170000,178.18,177.38,0.8,0.0,0.45,1yr,49,181.11
2021-06-15,178.18,178.7,175.62,175.86,7895000,175.86,178.18,-2.32,-0.01,-1.3,1yr,50,180.91
2021-06-16,176.01,176.26,173.55,174.66,8336000,174.66,175.86,-1.2,-0.01,-0.68,1yr,51,180.71
2021-06-17,174.59,176.26,173.84,174.65,8906000,174.65,174.66,-0.01,-0.0,-0.01,1yr,52,180.52
2021-06-18,173.14,173.86,172.12,172.42,12357500,172.42,174.65,-2.23,-0.01,-1.28,1yr,53,180.32
2021-06-21,172.13,174.26,171.31,173.97,9196900,173.97,172.42,1.55,0.01,0.9,1yr,54,180.12
2021-06-22,174.37,174.7,172.35,173.5,8097100,173.5,173.97,-0.47,-0.0,-0.27,1yr,55,179.93
2021-06-23,173.62,175.45,172.94,175.33,9174200,175.33,173.5,1.83,0.01,1.05,1yr,56,179.73
2021-06-24,176.13,178.24,175.78,177.93,7549400,177.93,175.33,2.6,0.01,1.48,1yr,57,179.53
2021-06-25,178.83,179.09,177.49,178.35,7431800,178.35,177.93,0.42,0.0,0.24,1yr,58,179.34
2021-06-28,178.5,178.66,174.99,176.57,9881400,176.57,178.35,-1.78,-0.01,-1.0,1yr,59,179.14
2021-06-29,176.64,177.02,173.8,173.93,13498300,173.93,176.57,-2.64,-0.01,-1.5,1yr,60,178.94
2021-06-30,173.89,175.98,173.34,175.77,7481900,175.77,173.93,1.84,0.01,1.06,1yr,61,178.74
2021-07-01,175.35,177.6,174.6,177.26,5887100,177.26,175.77,1.49,0.01,0.85,1yr,62,178.55
2021-07-02,177.86,178.36,174.62,177.11,11099300,177.11,177.26,-0.15,-0.0,-0.08,1yr,63,178.35
2021-07-06,176.76,177.0,172.22,173.69,11557900,173.69,177.11,-3.42,-0.02,-1.93,1yr,64,178.15
2021-07-07,172.86,174.32,171.99,172.82,6757300,172.82,173.69,-0.87,-0.01,-0.5,1yr,65,177.96
2021-07-08,170.18,173.75,169.81,172.8,6960100,172.8,172.82,-0.02,-0.0,-0.01,1yr,66,177.76
2021-07-09,174.7,177.52,173.93,177.04,7873300,177.04,172.8,4.24,0.02,2.45,1yr,67,177.56
2021-07-12,177.71,184.99,177.37,184.38,21835500,184.38,177.04,7.34,0.04,4.15,1yr,68,177.37
2021-07-13,184.09,185.67,181.84,183.65,12534600,183.65,184.38,-0.73,-0.0,-0.4,1yr,69,177.17
2021-07-14,185.2,186.29,182.08,183.42,8787300,183.42,183.65,-0.23,-0.0,-0.13,1yr,70,176.97
2021-07-15,183.45,185.42,183.05,184.15,7867000,184.15,183.42,0.73,0.0,0.4,1yr,71,176.77
2021-07-16,184.94,185.29,178.92,179.31,8348800,179.31,184.15,-4.84,-0.03,-2.63,1yr,72,176.58
2021-07-19,175.71,176.48,172.16,172.95,14651800,172.95,179.31,-6.36,-0.04,-3.55,1yr,73,176.38
2021-07-20,173.7,177.51,172.87,176.75,8372400,176.75,172.95,3.8,0.02,2.2,1yr,74,176.18
2021-07-21,176.5,177.9,175.32,176.89,6302200,176.89,176.75,0.14,0.0,0.08,1yr,75,175.99
2021-07-22,176.7,176.72,173.9,175.13,5713700,175.13,176.89,-1.76,-0.01,-0.99,1yr,76,175.79
2021-07-23,175.66,176.5,174.03,176.14,5126300,176.14,175.13,1.01,0.01,0.58,1yr,77,175.59
2021-07-26,175.62,178.78,175.34,178.74,5641000,178.74,176.14,2.6,0.01,1.48,1yr,78,175.4
2021-07-27,178.25,179.56,176.57,179.5,6684100,179.5,178.74,0.76,0.0,0.43,1yr,79,175.2
2021-07-28,179.69,180.35,177.55,179.1,5926900,179.1,179.5,-0.4,-0.0,-0.22,1yr,80,175.0
2021-07-29,179.81,181.42,178.27,178.35,6209100,178.35,179.1,-0.75,-0.0,-0.42,1yr,81,174.8
2021-07-30,177.53,179.2,175.14,176.02,6813400,176.02,178.35,-2.33,-0.01,-1.31,1yr,82,174.61
2021-08-02,177.22,178.82,175.31,175.55,5847200,175.55,176.02,-0.47,-0.0,-0.27,1yr,83,174.41
2021-08-03,176.02,176.13,170.92,172.99,9931300,172.99,175.55,-2.56,-0.01,-1.46,1yr,84,174.21
2021-08-04,172.5,173.25,171.34,172.58,5665800,172.58,172.99,-0.41,-0.0,-0.24,1yr,85,174.02
2021-08-05,172.49,177.12,172.49,176.71,8864200,176.71,172.58,4.13,0.02,2.39,1yr,86,173.82
2021-08-06,177.43,178.81,176.63,177.13,5505200,177.13,176.71,0.42,0.0,0.24,1yr,87,173.62
2021-08-09,177.0,177.31,175.06,176.72,5339000,176.72,177.13,-0.41,-0.0,-0.23,1yr,88,173.43
2021-08-10,176.25,177.4,175.58,177.07,5185000,177.07,176.72,0.35,0.0,0.2,1yr,89,173.23
2021-08-11,177.36,178.49,176.51,178.09,5359900,178.09,177.07,1.02,0.01,0.58,1yr,90,173.03
2021-08-12,178.09,179.72,176.45,179.29,11081300,179.29,178.09,1.2,0.01,0.67,1yr,91,172.83
2021-08-13,186.29,187.58,180.88,181.08,32504600,181.08,179.29,1.79,0.01,1.0,1yr,92,172.64
2021-08-16,180.51,180.59,176.51,179.09,8746700,179.09,181.08,-1.99,-0.01,-1.1,1yr,93,172.44
2021-08-17,177.15,178.45,174.92,175.83,8534500,175.83,179.09,-3.26,-0.02,-1.82,1yr,94,172.24
2021-08-18,175.9,176.79,174.5,174.74,7063500,174.74,175.83,-1.09,-0.01,-0.62,1yr,95,172.05
2021-08-19,174.0,174.68,172.56,173.25,8478600,173.25,174.74,-1.49,-0.01,-0.85,1yr,96,171.85
2021-08-20,173.0,175.21,172.65,175.12,6239600,175.12,173.25,1.87,0.01,1.08,1yr,97,171.65
