Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-05,156.52,159.38,155.1,155.19,12272100,155.19,,,,,3mo,0,151.63
2022-01-06,156.24,157.77,153.68,156.9,11095300,156.9,155.19,1.71,0.01,1.1,3mo,1,151.38
2022-01-07,156.9,159.3,156.29,157.83,9554600,157.83,156.9,0.93,0.01,0.59,3mo,2,151.13
2022-01-10,157.98,158.27,154.65,156.6,8672900,156.6,157.83,-1.23,-0.01,-0.78,3mo,3,150.87
2022-01-11,156.62,158.22,155.95,157.89,8042600,157.89,156.6,1.29,0.01,0.82,3mo,4,150.62
2022-01-12,158.5,158.99,156.33,157.8,6995600,157.8,157.89,-0.09,-0.0,-0.06,3mo,5,150.37
2022-01-13,157.7,158.53,155.17,155.44,9680600,155.44,157.8,-2.36,-0.01,-1.5,3mo,6,150.12
2022-01-14,152.35,152.62,148.42,151.94,16832000,151.94,155.44,-3.5,-0.02,-2.25,3mo,7,149.87
2022-01-18,151.11,153.13,149.83,152.27,10419500,152.27,151.94,0.33,0.0,0.22,3mo,8,149.62
2022-01-19,150.84,152.86,149.96,150.11,10413200,150.11,152.27,-2.16,-0.01,-1.42,3mo,9,149.37
2022-01-20,150.91,152.66,147.15,147.62,11760400,147.62,150.11,-2.49,-0.02,-1.66,3mo,10,149.12
2022-01-21,141.23,141.87,136.63,137.38,34491800,137.38,147.62,-10.24,-0.07,-6.94,3mo,11,148.87
2022-01-24,134.82,137.68,129.26,137.46,31419500,137.46,137.38,0.08,0.0,0.06,3mo,12,148.62
2022-01-25,135.29,137.75,132.38,136.51,14694400,136.51,137.46,-0.95,-0.01,-0.69,3mo,13,148.36
2022-01-26,137.71,138.2,132.26,133.6,14569900,133.6,136.51,-2.91,-0.02,-2.13,3mo,14,148.11
2022-01-27,135.07,137.91,134.02,135.42,11913900,135.42,133.6,1.82,0.01,1.36,3mo,15,147.86
2022-01-28,135.21,138.69,133.56,138.63,10011700,138.63,135.42,3.21,0.02,2.37,3mo,16,147.61
2022-01-31,138.86,143.15,138.47,142.97,10185500,142.97,138.63,4.34,0.03,3.13,3mo,17,147.36
2022-02-01,143.02,144.69,142.25,144.49,8573300,144.49,142.97,1.52,0.01,1.06,3mo,18,147.11
2022-02-02,144.19,144.59,141.38,142.62,9529900,142.62,144.49,-1.87,-0.01,-1.29,3mo,19,146.86
2022-02-03,140.0,142.04,139.25,140.03,9820600,140.03,142.62,-2.59,-0.02,-1.82,3mo,20,146.61
2022-02-04,140.04,143.19,139.53,142.02,8061100,142.02,140.03,1.99,0.01,1.42,3mo,21,146.36
2022-02-07,143.39,144.09,141.61,142.51,10937500,142.51,142.02,0.49,0.0,0.35,3mo,22,146.1
2022-02-08,141.79,142.89,140.74,142.48,9231700,142.48,142.51,-0.03,-0.0,-0.02,3mo,23,145.85
2022-02-09,144.37,147.35,143.25,147.23,22877400,147.23,142.48,4.75,0.03,3.33,3mo,24,145.6
2022-02-10,156.02,157.5,151.11,152.16,42500300,152.16,147.23,4.93,0.03,3.35,3mo,25,145.35
2022-02-11,153.54,154.69,148.56,149.47,17975200,149.47,152.16,-2.69,-0.02,-1.77,3mo,26,145.1
2022-02-14,149.37,153.73,149.21,150.85,14694700,150.85,149.47,1.38,0.01,0.92,3mo,27,144.85
2022-02-15,153.54,154.85,152.51,154.72,12726000,154.72,150.85,3.87,0.03,2.57,3mo,28,144.6
2022-02-16,154.98,156.73,153.75,156.35,10656400,156.35,154.72,1.63,0.01,1.05,3mo,29,144.35
2022-02-17,154.69,155.36,152.61,152.95,8110300,152.95,156.35,-3.4,-0.02,-2.17,3mo,30,144.1
2022-02-18,152.91,153.68,150.05,151.36,10785500,151.36,152.95,-1.59,-0.01,-1.04,3mo,31,143.85
2022-02-22,150.19,150.79,147.61,148.09,12227200,148.09,151.36,-3.27,-0.02,-2.16,3mo,32,143.59
2022-02-23,149.5,149.74,145.5,145.87,9300700,145.87,148.09,-2.22,-0.01,-1.5,3mo,33,143.34
2022-02-24,140.0,149.57,140.0,149.4,12475500,149.4,145.87,3.53,0.02,2.42,3mo,34,143.09
2022-02-25,149.56,150.28,147.22,149.53,10149500,149.53,149.4,0.13,0.0,0.09,3mo,35,142.84
2022-02-28,147.83,149.48,146.46,148.46,10823900,148.46,149.53,-1.07,-0.01,-0.72,3mo,36,142.59
2022-03-01,147.86,148.15,143.78,145.7,8944000,145.7,148.46,-2.76,-0.02,-1.86,3mo,37,142.34
2022-03-02,146.31,148.47,145.92,147.34,7851000,147.34,145.7,1.64,0.01,1.13,3mo,38,142.09
2022-03-03,147.31,148.65,144.45,145.57,8048400,145.57,147.34,-1.77,-0.01,-1.2,3mo,39,141.84
2022-03-04,144.01,144.26,139.55,140.72,12913000,140.72,145.57,-4.85,-0.03,-3.33,3mo,40,141.59
2022-03-07,140.28,140.89,133.44,133.5,14549700,133.5,140.72,-7.22,-0.05,-5.13,3mo,41,141.33
2022-03-08,133.02,135.49,129.29,131.75,16552000,131.75,133.5,-1.75,-0.01,-1.31,3mo,42,141.08
2022-03-09,135.49,135.5,133.36,133.65,14673100,133.65,131.75,1.9,0.01,1.44,3mo,43,140.83
2022-03-10,132.36,134.2,131.62,133.64,8447200,133.64,133.65,-0.01,-0.0,-0.01,3mo,44,140.58
2022-03-11,135.08,136.16,131.57,131.75,7049200,131.75,133.64,-1.89,-0.01,-1.41,3mo,45,140.33
2022-03-14,130.98,133.07,128.38,129.03,9971500,129.03,131.75,-2.72,-0.02,-2.06,3mo,46,140.08
2022-03-15,129.74,134.56,129.51,134.2,9834800,134.2,129.03,5.17,0.04,4.01,3mo,47,139.83
