ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1985-07-22,4.011707691570796,-7.192135093477699,14.680864875701939,4.011707691570796,4.011707691570796,-0.6745492954609887,-0.6745492954609887,-0.6745492954609887,-0.3383112524532982,-0.3383112524532982,-0.3383112524532982,-0.33623804300769045,-0.33623804300769045,-0.33623804300769045,0.0,0.0,0.0,3.337158396109807
1985-07-23,4.010141650842888,-8.22466424022498,14.63433322780979,4.010141650842888,4.010141650842888,-0.6233409728644461,-0.6233409728644461,-0.6233409728644461,-0.2682050059452832,-0.2682050059452832,-0.2682050059452832,-0.3551359669191628,-0.3551359669191628,-0.3551359669191628,0.0,0.0,0.0,3.386800677978442
1985-07-24,4.00857561011498,-6.938290444392849,12.816869484938529,4.00857561011498,4.00857561011498,-0.6897696616911559,-0.6897696616911559,-0.6897696616911559,-0.3173036022402734,-0.3173036022402734,-0.3173036022402734,-0.3724660594508826,-0.3724660594508826,-0.3724660594508826,0.0,0.0,0.0,3.318805948423824
1985-07-25,4.007009569387073,-7.592700621492402,14.616916713582373,4.007009569387073,4.007009569387073,-0.7194274205023028,-0.7194274205023028,-0.7194274205023028,-0.3310575085152724,-0.3310575085152724,-0.3310575085152724,-0.3883699119870304,-0.3883699119870304,-0.3883699119870304,0.0,0.0,0.0,3.28758214888477
1985-07-26,4.005443528659165,-7.146217525318545,13.091057970861824,4.005443528659165,4.005443528659165,-0.7107972175150465,-0.7107972175150465,-0.7107972175150465,-0.3077954499794622,-0.3077954499794622,-0.3077954499794622,-0.4030017675355844,-0.4030017675355844,-0.4030017675355844,0.0,0.0,0.0,3.2946463111441187
1985-07-29,4.000745406475442,-7.319483402132688,14.006547278458015,4.000745406475442,4.000745406475442,-0.7792304372959057,-0.7792304372959057,-0.7792304372959057,-0.33831125245403687,-0.33831125245403687,-0.33831125245403687,-0.44091918484186876,-0.44091918484186876,-0.44091918484186876,0.0,0.0,0.0,3.221514969179536
1985-07-30,3.9991793657475347,-8.110616197738231,14.24524386967895,3.9991793657475347,3.9991793657475347,-0.720331742411496,-0.720331742411496,-0.720331742411496,-0.2682050059449761,-0.2682050059449761,-0.2682050059449761,-0.45212673646651985,-0.45212673646651985,-0.45212673646651985,0.0,0.0,0.0,3.2788476233360386
1985-07-31,3.997613325019627,-7.230174977091741,13.368421787072254,3.997613325019627,3.997613325019627,-0.78019372585879,-0.78019372585879,-0.78019372585879,-0.31730360224026377,-0.31730360224026377,-0.31730360224026377,-0.4628901236185263,-0.4628901236185263,-0.4628901236185263,0.0,0.0,0.0,3.217419599160837
1985-08-01,3.9960472842917194,-7.3253733100766,14.067874772192352,3.9960472842917194,3.9960472842917194,-0.8044162537005978,-0.8044162537005978,-0.8044162537005978,-0.33105750851517945,-0.33105750851517945,-0.33105750851517945,-0.4733587451854183,-0.4733587451854183,-0.4733587451854183,0.0,0.0,0.0,3.1916310305911217
1985-08-02,3.9944812435638117,-7.185158381002044,14.174672065228732,3.9944812435638117,3.9944812435638117,-0.791463146962402,-0.791463146962402,-0.791463146962402,-0.3077954499797129,-0.3077954499797129,-0.3077954499797129,-0.4836676969826892,-0.4836676969826892,-0.4836676969826892,0.0,0.0,0.0,3.2030180966014097
