Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-06-01,0.0,2.17,2.15,2.15,1091238,0.27,,,,,1d
1972-06-02,2.15,2.17,2.14,2.15,1174468,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-06-05,2.15,2.17,2.14,2.15,5209582,0.27,0.27,0.0,0.0,0.0,1d
1972-06-06,2.15,2.16,2.12,2.12,1424158,0.27,0.27,-0.0,-0.01,-1.13,1d
1972-06-07,2.12,2.14,2.11,2.11,675088,0.27,0.27,-0.0,-0.01,-0.57,1d
1972-06-08,2.11,2.13,2.1,2.1,1038834,0.27,0.27,-0.0,-0.01,-0.77,1d
1972-06-09,2.1,2.1,2.04,2.08,6590583,0.27,0.27,-0.0,-0.01,-0.58,1d
1972-06-12,2.08,2.11,2.07,2.08,1430323,0.27,0.27,0.0,0.0,0.0,1d
1972-06-13,2.08,2.1,2.08,2.1,934026,0.27,0.27,0.0,0.01,0.78,1d
1972-06-14,2.11,2.15,2.11,2.13,2940794,0.27,0.27,0.0,0.02,1.54,1d
1972-06-15,2.13,2.15,2.12,2.12,1464232,0.27,0.27,-0.0,-0.0,-0.38,1d
1972-06-16,2.12,2.13,2.1,2.13,752153,0.27,0.27,0.0,0.0,0.38,1d
1972-06-19,2.13,2.15,2.11,2.12,530206,0.27,0.27,-0.0,-0.01,-0.57,1d
1972-06-20,2.12,2.14,2.12,2.13,897034,0.27,0.27,0.0,0.0,0.38,1d
1972-06-21,2.13,2.13,2.11,2.11,1612196,0.27,0.27,-0.0,-0.01,-0.95,1d
1972-06-22,2.1,2.1,2.08,2.1,1282359,0.27,0.27,-0.0,-0.01,-0.58,1d
1972-06-23,2.09,2.09,2.07,2.09,1276193,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-06-26,2.09,2.09,2.08,2.08,622684,0.27,0.27,-0.0,-0.0,-0.39,1d
1972-06-27,2.08,2.1,2.08,2.1,878539,0.27,0.27,0.0,0.01,0.78,1d
1972-06-28,2.1,2.11,2.09,2.1,906282,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-06-29,2.1,2.1,2.09,2.09,450059,0.27,0.27,-0.0,-0.0,-0.39,1d
1972-06-30,2.08,2.08,2.05,2.07,826135,0.26,0.27,-0.0,-0.01,-0.78,1d
1972-07-03,2.07,2.07,2.05,2.06,440811,0.26,0.26,-0.0,-0.0,-0.39,1d
1972-07-05,2.06,2.07,2.03,2.05,1396415,0.26,0.26,-0.0,-0.01,-0.59,1d
1972-07-06,2.06,2.1,2.06,2.08,1174468,0.26,0.26,0.0,0.01,1.19,1d
1972-07-07,2.08,2.09,2.05,2.07,1353258,0.26,0.26,-0.0,-0.0,-0.39,1d
1972-07-10,2.07,2.07,2.04,2.04,527123,0.26,0.26,-0.0,-0.01,-1.18,1d
1972-07-11,2.04,2.06,2.03,2.03,548702,0.26,0.26,-0.0,-0.01,-0.6,1d
1972-07-12,2.03,2.06,2.02,2.02,1803317,0.26,0.26,-0.0,-0.01,-0.8,1d
1972-07-13,2.02,2.02,1.99,2.02,681253,0.26,0.26,0.0,0.0,0.0,1d
1972-07-14,2.02,2.03,2.01,2.01,943273,0.26,0.26,-0.0,-0.0,-0.2,1d
1972-07-17,2.01,2.03,2.0,2.01,585693,0.26,0.26,0.0,0.0,0.0,1d
1972-07-18,2.01,2.04,1.98,2.03,1340928,0.26,0.26,0.0,0.01,1.01,1d
1972-07-19,2.03,2.08,2.03,2.04,1710839,0.26,0.26,0.0,0.01,0.6,1d
1972-07-20,2.04,2.05,2.02,2.02,493215,0.26,0.26,-0.0,-0.01,-1.39,1d
1972-07-21,2.02,2.05,2.02,2.04,604188,0.26,0.26,0.0,0.01,1.41,1d
1972-07-24,2.06,2.11,2.06,2.1,1458066,0.27,0.26,0.01,0.03,2.78,1d
1972-07-25,2.1,2.1,2.08,2.09,1553627,0.27,0.27,0.0,0.01,0.66,1d
1972-07-26,2.09,2.09,2.08,2.08,431563,0.27,0.27,-0.0,-0.0,-0.39,1d
1972-07-27,2.08,2.09,2.08,2.08,1109733,0.27,0.27,-0.0,-0.0,-0.39,1d
1972-07-28,2.08,2.11,2.08,2.1,1815647,0.27,0.27,0.0,0.01,0.98,1d
1972-07-31,2.1,2.11,2.09,2.1,1260780,0.27,0.27,0.0,0.0,0.0,1d
1972-08-01,2.1,2.1,2.08,2.1,1427240,0.27,0.27,0.0,0.0,0.0,1d
1972-08-02,2.1,2.12,2.1,2.12,2142402,0.27,0.27,0.0,0.01,1.35,1d
1972-08-03,2.14,2.18,2.14,2.16,4334125,0.28,0.27,0.0,0.02,1.72,1d
1972-08-04,2.16,2.17,2.16,2.17,1189881,0.28,0.28,0.0,0.0,0.38,1d
1972-08-07,2.17,2.18,2.17,2.17,1932786,0.28,0.28,0.0,0.0,0.19,1d
1972-08-08,2.17,2.17,2.16,2.17,949439,0.28,0.28,-0.0,-0.0,-0.37,1d
1972-08-09,2.17,2.17,2.12,2.13,2823655,0.27,0.28,-0.0,-0.01,-1.5,1d
1972-08-10,2.13,2.14,2.12,2.14,1205294,0.28,0.27,0.0,0.0,0.19,1d
1972-08-11,2.14,2.16,2.14,2.15,1285441,0.28,0.28,0.0,0.01,0.76,1d
1972-08-14,2.16,2.18,2.16,2.17,1889629,0.28,0.28,0.0,0.01,0.56,1d
1972-08-15,2.17,2.17,2.13,2.15,1128229,0.28,0.28,-0.0,-0.01,-0.75,1d
1972-08-16,2.14,2.14,2.09,2.09,1140559,0.27,0.28,-0.01,-0.03,-2.64,1d
1972-08-17,2.09,2.13,2.09,2.13,2133154,0.27,0.27,0.0,0.02,1.74,1d
1972-08-18,2.13,2.14,2.12,2.13,974099,0.27,0.27,0.0,0.0,0.0,1d
1972-08-21,2.13,2.14,2.11,2.14,1008008,0.28,0.27,0.0,0.0,0.38,1d
1972-08-22,2.15,2.18,2.15,2.17,1704674,0.28,0.28,0.0,0.02,1.52,1d
1972-08-23,2.17,2.26,2.17,2.25,3171988,0.29,0.28,0.01,0.04,3.93,1d
1972-08-24,2.25,2.25,2.22,2.22,2450661,0.29,0.29,-0.0,-0.01,-1.44,1d
1972-08-25,2.22,2.23,2.19,2.19,1587535,0.28,0.29,-0.0,-0.01,-1.28,1d
1972-08-28,2.19,2.21,2.19,2.19,585693,0.28,0.28,0.0,0.0,0.0,1d
1972-08-29,2.19,2.19,2.13,2.16,1957446,0.28,0.28,-0.0,-0.02,-1.66,1d
1972-08-30,2.16,2.16,2.14,2.14,906282,0.28,0.28,-0.0,-0.01,-0.75,1d
1972-08-31,2.14,2.19,2.14,2.19,782979,0.28,0.28,0.01,0.02,2.08,1d
1972-09-01,2.19,2.2,2.18,2.19,696666,0.28,0.28,0.0,0.0,0.0,1d
1972-09-05,2.19,2.19,2.16,2.16,391489,0.28,0.28,-0.0,-0.01,-1.3,1d
1972-09-06,2.16,2.16,2.13,2.14,662757,0.28,0.28,-0.0,-0.01,-0.75,1d
1972-09-07,2.15,2.17,2.15,2.15,739822,0.28,0.28,0.0,0.0,0.38,1d
1972-09-08,2.15,2.16,2.14,2.15,742905,0.28,0.28,-0.0,-0.0,-0.19,1d
1972-09-11,2.15,2.15,2.14,2.14,576445,0.28,0.28,-0.0,-0.0,-0.19,1d
1972-09-12,2.14,2.14,2.11,2.12,1233037,0.27,0.28,-0.0,-0.01,-1.14,1d
1972-09-13,2.12,2.13,2.1,2.13,776813,0.27,0.27,0.0,0.01,0.57,1d
1972-09-14,2.13,2.14,2.12,2.12,487050,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-09-15,2.12,2.14,2.12,2.13,496297,0.27,0.27,0.0,0.0,0.19,1d
1972-09-18,2.12,2.12,2.11,2.12,299011,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-09-19,2.12,2.13,2.11,2.12,853878,0.27,0.27,-0.0,-0.0,-0.38,1d
1972-09-20,2.12,2.12,2.09,2.1,1646105,0.27,0.27,-0.0,-0.01,-0.77,1d
1972-09-21,2.09,2.09,2.05,2.05,1593700,0.26,0.27,-0.01,-0.02,-2.32,1d
1972-09-22,2.05,2.07,2.04,2.07,829217,0.27,0.26,0.0,0.01,0.79,1d
1972-09-25,2.07,2.08,2.06,2.07,675088,0.27,0.27,0.0,0.0,0.2,1d
1972-09-26,2.07,2.09,2.07,2.08,635014,0.27,0.27,0.0,0.01,0.59,1d
1972-09-27,2.08,2.12,2.08,2.12,1963612,0.27,0.27,0.0,0.02,1.56,1d
1972-09-28,2.12,2.15,2.1,2.15,2105411,0.28,0.27,0.0,0.01,1.34,1d
1972-09-29,2.16,2.17,2.16,2.16,1618361,0.28,0.28,0.0,0.01,0.76,1d
1972-10-02,2.16,2.17,2.16,2.17,712079,0.28,0.28,0.0,0.0,0.19,1d
1972-10-03,2.17,2.17,2.13,2.13,835383,0.27,0.28,-0.0,-0.01,-1.5,1d
1972-10-04,2.13,2.15,2.13,2.13,795309,0.27,0.27,-0.0,-0.0,-0.19,1d
1972-10-05,2.13,2.13,2.11,2.12,650427,0.27,0.27,-0.0,-0.01,-0.57,1d
1972-10-06,2.12,2.12,2.08,2.12,1103568,0.27,0.27,0.0,0.0,0.0,1d
1972-10-09,2.12,2.13,2.11,2.12,672005,0.27,0.27,0.0,0.0,0.38,1d
1972-10-10,2.13,2.15,2.13,2.14,844630,0.28,0.27,0.0,0.01,0.76,1d
1972-10-11,2.14,2.14,2.12,2.14,394572,0.28,0.28,-0.0,-0.0,-0.19,1d
1972-10-12,2.13,2.13,2.12,2.12,403820,0.27,0.28,-0.0,-0.01,-0.76,1d
1972-10-13,2.12,2.12,2.08,2.09,2530809,0.27,0.27,-0.0,-0.02,-1.53,1d
1972-10-16,2.08,2.08,2.07,2.08,379159,0.27,0.27,-0.0,-0.01,-0.58,1d
1972-10-17,2.08,2.08,2.06,2.07,1692343,0.27,0.27,-0.0,-0.0,-0.39,1d
1972-10-18,2.07,2.1,2.07,2.08,601106,0.27,0.27,0.0,0.0,0.39,1d
1972-10-19,2.08,2.08,2.06,2.06,1208376,0.27,0.27,-0.0,-0.01,-0.59,1d
1972-10-20,2.07,2.1,2.07,2.1,1797152,0.27,0.27,0.0,0.02,1.77,1d
1972-10-23,2.1,2.12,2.1,2.1,2509231,0.27,0.27,0.0,0.0,0.19,1d
1972-10-24,2.11,2.14,2.11,2.14,1211459,0.28,0.27,0.0,0.02,1.54,1d
1972-10-25,2.13,2.13,2.12,2.12,1072742,0.28,0.28,0.0,0.0,0.46,1d
1972-10-26,2.12,2.13,2.12,2.13,1356341,0.28,0.28,0.0,0.0,0.19,1d
1972-10-27,2.13,2.15,2.12,2.15,1655352,0.28,0.28,0.0,0.01,0.95,1d
1972-10-30,2.15,2.15,2.14,2.14,1353258,0.28,0.28,-0.0,-0.0,-0.38,1d
1972-10-31,2.15,2.16,2.15,2.15,1565957,0.28,0.28,0.0,0.0,0.38,1d
1972-11-01,2.16,2.21,2.16,2.2,2308862,0.29,0.28,0.01,0.02,2.26,1d
1972-11-02,2.22,2.26,2.22,2.26,4608476,0.29,0.29,0.01,0.03,2.77,1d
1972-11-03,2.27,2.34,2.27,2.34,6266911,0.3,0.29,0.01,0.03,3.41,1d
1972-11-06,2.34,2.38,2.34,2.36,3689864,0.31,0.3,0.0,0.01,1.04,1d
1972-11-08,2.36,2.4,2.35,2.35,4451264,0.31,0.31,-0.0,-0.01,-0.52,1d
1972-11-09,2.35,2.4,2.32,2.4,3307622,0.31,0.31,0.01,0.02,2.07,1d
1972-11-10,2.4,2.45,2.4,2.43,8326083,0.32,0.31,0.0,0.01,1.35,1d
1972-11-13,2.43,2.44,2.4,2.4,3113419,0.31,0.32,-0.0,-0.01,-1.0,1d
1972-11-14,2.4,2.45,2.38,2.45,2515396,0.32,0.31,0.01,0.02,1.69,1d
1972-11-15,2.45,2.46,2.42,2.43,2694186,0.32,0.32,-0.0,-0.01,-0.66,1d
1972-11-16,2.43,2.47,2.4,2.47,2863729,0.32,0.32,0.0,0.02,1.5,1d
1972-11-17,2.47,2.53,2.47,2.53,7296497,0.33,0.32,0.01,0.02,2.47,1d
1972-11-20,2.53,2.54,2.51,2.53,4953727,0.33,0.33,0.0,0.0,0.32,1d
1972-11-21,2.53,2.56,2.53,2.55,2928463,0.33,0.33,0.0,0.01,0.8,1d
1972-11-22,2.55,2.55,2.53,2.54,2290366,0.33,0.33,-0.0,-0.01,-0.63,1d
1972-11-24,2.54,2.54,2.49,2.51,2093080,0.33,0.33,-0.0,-0.01,-0.96,1d
1972-11-27,2.5,2.5,2.45,2.47,3101088,0.32,0.33,-0.01,-0.02,-1.61,1d
1972-11-28,2.47,2.47,2.42,2.43,1633774,0.32,0.32,-0.01,-0.02,-1.64,1d
1972-11-29,2.43,2.44,2.39,2.42,3353861,0.31,0.32,-0.0,-0.01,-0.67,1d
1972-11-30,2.42,2.45,2.41,2.45,1180633,0.32,0.31,0.0,0.01,1.17,1d
1972-12-01,2.45,2.46,2.44,2.46,1673848,0.32,0.32,0.0,0.0,0.5,1d
1972-12-04,2.47,2.49,2.47,2.47,1664600,0.32,0.32,0.0,0.0,0.5,1d
1972-12-05,2.47,2.52,2.47,2.52,3631294,0.33,0.32,0.01,0.02,2.13,1d
1972-12-06,2.52,2.53,2.51,2.53,2318110,0.33,0.33,0.0,0.0,0.16,1d
1972-12-07,2.53,2.55,2.51,2.54,2913050,0.33,0.33,0.0,0.01,0.64,1d
1972-12-08,2.53,2.53,2.51,2.51,2006768,0.33,0.33,-0.0,-0.01,-1.12,1d
1972-12-11,2.51,2.54,2.51,2.54,2644865,0.33,0.33,0.0,0.01,0.97,1d
1972-12-12,2.54,2.54,2.51,2.52,3905645,0.33,0.33,-0.0,-0.01,-0.8,1d
1972-12-13,2.52,2.52,2.5,2.51,1960529,0.33,0.33,-0.0,-0.0,-0.16,1d
1972-12-14,2.51,2.53,2.51,2.52,2410588,0.33,0.33,0.0,0.0,0.32,1d
1972-12-15,2.52,2.52,2.48,2.48,1874216,0.32,0.33,-0.01,-0.02,-1.61,1d
1972-12-18,2.45,2.45,2.39,2.4,2666443,0.31,0.32,-0.01,-0.03,-3.43,1d
1972-12-19,2.4,2.44,2.39,2.41,1202211,0.31,0.31,0.0,0.01,0.68,1d
1972-12-20,2.41,2.43,2.4,2.4,1066577,0.31,0.31,-0.0,-0.0,-0.34,1d
1972-12-21,2.4,2.43,2.4,2.4,2416753,0.31,0.31,0.0,0.0,0.0,1d
1972-12-22,2.41,2.45,2.41,2.45,1516636,0.32,0.31,0.01,0.02,1.85,1d
1972-12-26,2.46,2.51,2.46,2.51,1966694,0.33,0.32,0.01,0.02,2.32,1d
1972-12-27,2.51,2.56,2.5,2.56,2617121,0.33,0.33,0.01,0.02,2.27,1d
