Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,21.27,21.62,21.06,21.61,36107456,21.61,,,,,1hr
2022-01-03 10:30:00,21.62,21.77,21.5,21.69,20213909,21.69,21.61,0.08,0.0,0.37,1hr
2022-01-03 11:30:00,21.68,21.73,21.51,21.71,11340206,21.71,21.69,0.02,0.0,0.11,1hr
2022-01-03 12:30:00,21.72,21.72,21.57,21.63,6598506,21.63,21.71,-0.09,-0.0,-0.4,1hr
2022-01-03 13:30:00,21.62,21.81,21.55,21.75,9687391,21.75,21.63,0.13,0.01,0.59,1hr
2022-01-03 14:30:00,21.75,21.88,21.74,21.77,10565445,21.77,21.75,0.02,0.0,0.07,1hr
2022-01-03 15:30:00,21.77,21.79,21.68,21.76,10583925,21.76,21.77,-0.01,-0.0,-0.05,1hr
2022-01-04 09:30:00,22.52,23.92,22.42,23.88,84065736,23.88,21.76,2.12,0.1,9.74,1hr
2022-01-04 10:30:00,23.88,23.98,23.55,23.92,51510036,23.92,23.88,0.04,0.0,0.15,1hr
2022-01-04 11:30:00,23.91,24.35,23.89,24.26,42243476,24.26,23.92,0.34,0.01,1.43,1hr
2022-01-04 12:30:00,24.25,24.56,24.04,24.25,42671179,24.25,24.26,-0.01,-0.0,-0.05,1hr
2022-01-04 13:30:00,24.25,24.39,24.07,24.3,27439930,24.3,24.25,0.05,0.0,0.21,1hr
2022-01-04 14:30:00,24.3,24.35,24.12,24.31,29912699,24.31,24.3,0.02,0.0,0.07,1hr
2022-01-04 15:30:00,24.32,24.44,24.24,24.32,24036811,24.32,24.31,0.0,0.0,0.0,1hr
2022-01-05 09:30:00,24.06,24.22,23.47,24.2,61905336,24.2,24.32,-0.12,-0.0,-0.47,1hr
2022-01-05 10:30:00,24.2,24.95,24.1,24.69,54355454,24.69,24.2,0.49,0.02,2.01,1hr
2022-01-05 11:30:00,24.68,24.81,24.47,24.78,27655418,24.78,24.69,0.09,0.0,0.38,1hr
2022-01-05 12:30:00,24.77,24.79,24.3,24.48,26194122,24.48,24.78,-0.3,-0.01,-1.23,1hr
2022-01-05 13:30:00,24.47,24.6,24.07,24.18,22915620,24.18,24.48,-0.29,-0.01,-1.2,1hr
2022-01-05 14:30:00,24.19,24.31,23.56,23.62,33306000,23.62,24.18,-0.56,-0.02,-2.3,1hr
2022-01-05 15:30:00,23.62,23.74,23.53,23.65,18299843,23.65,23.62,0.02,0.0,0.11,1hr
2022-01-06 09:30:00,24.09,24.23,23.36,23.5,50374224,23.5,23.65,-0.15,-0.01,-0.63,1hr
2022-01-06 10:30:00,23.5,23.87,23.5,23.66,19353523,23.66,23.5,0.16,0.01,0.68,1hr
2022-01-06 11:30:00,23.67,23.91,23.61,23.89,11163722,23.89,23.66,0.23,0.01,0.97,1hr
2022-01-06 12:30:00,23.89,24.3,23.88,24.12,20275024,24.12,23.89,0.23,0.01,0.96,1hr
2022-01-06 13:30:00,24.12,24.44,24.06,24.39,15735650,24.39,24.12,0.27,0.01,1.12,1hr
2022-01-06 14:30:00,24.39,24.62,24.39,24.53,18269100,24.53,24.39,0.15,0.01,0.59,1hr
2022-01-06 15:30:00,24.53,24.56,24.41,24.45,13507900,24.45,24.53,-0.08,-0.0,-0.35,1hr
2022-01-07 09:30:00,24.67,24.91,24.16,24.32,44790531,24.32,24.45,-0.13,-0.01,-0.53,1hr
2022-01-07 10:30:00,24.32,24.45,24.04,24.44,18280558,24.44,24.32,0.12,0.01,0.51,1hr
2022-01-07 11:30:00,24.44,24.75,24.37,24.51,19159997,24.51,24.44,0.07,0.0,0.29,1hr
2022-01-07 12:30:00,24.51,24.52,24.36,24.42,10656078,24.42,24.51,-0.09,-0.0,-0.37,1hr
2022-01-07 13:30:00,24.42,24.56,24.4,24.51,8606070,24.51,24.42,0.08,0.0,0.35,1hr
2022-01-07 14:30:00,24.51,24.65,24.4,24.43,10714495,24.43,24.51,-0.08,-0.0,-0.32,1hr
2022-01-07 15:30:00,24.44,24.54,24.43,24.44,9839079,24.44,24.43,0.01,0.0,0.04,1hr
2022-01-10 09:30:00,24.1,24.44,23.48,23.52,39916288,23.52,24.44,-0.92,-0.04,-3.74,1hr
2022-01-10 10:30:00,23.52,23.81,23.35,23.79,20913469,23.79,23.52,0.26,0.01,1.11,1hr
2022-01-10 11:30:00,23.78,23.79,23.52,23.63,10567334,23.63,23.79,-0.16,-0.01,-0.66,1hr
2022-01-10 12:30:00,23.62,23.7,23.53,23.58,8603329,23.58,23.63,-0.05,-0.0,-0.21,1hr
2022-01-10 13:30:00,23.58,23.8,23.51,23.74,12130831,23.74,23.58,0.16,0.01,0.68,1hr
2022-01-10 14:30:00,23.74,23.88,23.67,23.74,11219059,23.74,23.74,0.0,0.0,0.0,1hr
2022-01-10 15:30:00,23.74,23.87,23.65,23.85,12332757,23.85,23.74,0.11,0.0,0.46,1hr
2022-01-11 09:30:00,23.78,23.79,23.28,23.58,30945860,23.58,23.85,-0.27,-0.01,-1.15,1hr
2022-01-11 10:30:00,23.58,23.83,23.45,23.8,16176272,23.8,23.58,0.22,0.01,0.94,1hr
2022-01-11 11:30:00,23.79,24.13,23.74,24.05,13761514,24.05,23.8,0.25,0.01,1.04,1hr
2022-01-11 12:30:00,24.05,24.3,24.02,24.18,12182453,24.18,24.05,0.13,0.01,0.56,1hr
2022-01-11 13:30:00,24.18,24.25,24.06,24.18,7929479,24.18,24.18,0.01,0.0,0.02,1hr
2022-01-11 14:30:00,24.18,24.27,24.14,24.23,8920965,24.23,24.18,0.05,0.0,0.19,1hr
2022-01-11 15:30:00,24.23,24.35,24.19,24.34,7957086,24.34,24.23,0.11,0.0,0.45,1hr
2022-01-12 09:30:00,24.61,24.84,24.42,24.45,33413331,24.45,24.34,0.11,0.0,0.45,1hr
2022-01-12 10:30:00,24.45,24.51,24.01,24.18,19941700,24.18,24.45,-0.27,-0.01,-1.1,1hr
2022-01-12 11:30:00,24.18,24.31,24.16,24.21,8701082,24.21,24.18,0.03,0.0,0.12,1hr
2022-01-12 12:30:00,24.21,24.28,24.13,24.2,7357813,24.2,24.21,-0.01,-0.0,-0.04,1hr
2022-01-12 13:30:00,24.19,24.39,24.15,24.35,8143068,24.35,24.2,0.15,0.01,0.64,1hr
2022-01-12 14:30:00,24.35,24.49,24.27,24.46,10274385,24.46,24.35,0.11,0.0,0.44,1hr
2022-01-12 15:30:00,24.46,24.57,24.43,24.48,10123621,24.48,24.46,0.02,0.0,0.07,1hr
2022-01-13 09:30:00,24.64,25.4,24.37,25.18,49620041,25.18,24.48,0.7,0.03,2.88,1hr
2022-01-13 10:30:00,25.18,25.72,25.11,25.69,34360485,25.69,25.18,0.51,0.02,2.03,1hr
2022-01-13 11:30:00,25.69,25.87,25.33,25.51,27006282,25.51,25.69,-0.18,-0.01,-0.72,1hr
2022-01-13 12:30:00,25.5,25.66,25.33,25.41,18477626,25.41,25.51,-0.1,-0.0,-0.39,1hr
2022-01-13 13:30:00,25.41,25.56,25.3,25.34,14657238,25.34,25.41,-0.07,-0.0,-0.28,1hr
2022-01-13 14:30:00,25.33,25.34,24.98,25.12,18728360,25.12,25.34,-0.22,-0.01,-0.88,1hr
2022-01-13 15:30:00,25.12,25.17,24.86,25.02,16070909,25.02,25.12,-0.1,-0.0,-0.39,1hr
2022-01-14 09:30:00,24.47,25.12,24.3,24.92,48150188,24.92,25.02,-0.1,-0.0,-0.42,1hr
2022-01-14 10:30:00,24.92,25.13,24.71,24.94,19541186,24.94,24.92,0.03,0.0,0.11,1hr
2022-01-14 11:30:00,24.95,25.06,24.88,24.98,10985722,24.98,24.94,0.03,0.0,0.13,1hr
2022-01-14 12:30:00,24.98,25.02,24.68,24.77,21434661,24.77,24.98,-0.2,-0.01,-0.81,1hr
2022-01-14 13:30:00,24.77,25.08,24.71,25.02,12414182,25.02,24.77,0.25,0.01,1.01,1hr
2022-01-14 14:30:00,25.03,25.28,25.02,25.11,15812758,25.11,25.02,0.09,0.0,0.37,1hr
2022-01-14 15:30:00,25.11,25.21,25.1,25.19,11263834,25.19,25.11,0.08,0.0,0.3,1hr
2022-01-18 09:30:00,24.87,25.13,24.56,24.64,38021998,24.64,25.19,-0.55,-0.02,-2.18,1hr
2022-01-18 10:30:00,24.65,24.71,24.44,24.57,15672788,24.57,24.64,-0.07,-0.0,-0.28,1hr
2022-01-18 11:30:00,24.57,24.6,24.31,24.37,12679756,24.37,24.57,-0.2,-0.01,-0.82,1hr
2022-01-18 12:30:00,24.36,24.45,24.3,24.34,9971116,24.34,24.37,-0.03,-0.0,-0.12,1hr
