Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 31, 2022 09:30 AM",13.68,13.72,13.66,13.69,1724372,13.69,,,,,1min,0,13.59
"May 31, 2022 09:31 AM",13.69,13.72,13.66,13.69,387728,13.69,13.69,-0.0,-0.0,-0.02,1min,1,13.59
"May 31, 2022 09:32 AM",13.69,13.69,13.58,13.59,402679,13.59,13.69,-0.1,-0.01,-0.71,1min,2,13.59
"May 31, 2022 09:33 AM",13.6,13.6,13.51,13.52,244548,13.52,13.59,-0.08,-0.01,-0.58,1min,3,13.59
"May 31, 2022 09:34 AM",13.52,13.57,13.5,13.54,245975,13.54,13.52,0.02,0.0,0.18,1min,4,13.59
"May 31, 2022 09:35 AM",13.54,13.59,13.5,13.58,277544,13.58,13.54,0.04,0.0,0.3,1min,5,13.59
"May 31, 2022 09:36 AM",13.58,13.64,13.57,13.6,247258,13.6,13.58,0.02,0.0,0.18,1min,6,13.59
"May 31, 2022 09:37 AM",13.6,13.64,13.58,13.59,312416,13.59,13.6,-0.02,-0.0,-0.15,1min,7,13.59
"May 31, 2022 09:38 AM",13.59,13.61,13.55,13.56,138903,13.56,13.59,-0.02,-0.0,-0.18,1min,8,13.6
"May 31, 2022 09:39 AM",13.55,13.59,13.53,13.56,156212,13.56,13.56,-0.01,-0.0,-0.04,1min,9,13.6
"May 31, 2022 09:40 AM",13.55,13.56,13.51,13.53,127987,13.53,13.56,-0.03,-0.0,-0.19,1min,10,13.6
"May 31, 2022 09:41 AM",13.53,13.57,13.53,13.55,177018,13.55,13.53,0.02,0.0,0.11,1min,11,13.6
"May 31, 2022 09:42 AM",13.55,13.57,13.53,13.54,74611,13.54,13.55,-0.01,-0.0,-0.04,1min,12,13.6
"May 31, 2022 09:43 AM",13.54,13.55,13.51,13.52,104798,13.52,13.54,-0.02,-0.0,-0.18,1min,13,13.6
"May 31, 2022 09:44 AM",13.52,13.54,13.51,13.52,159015,13.52,13.52,0.0,0.0,0.0,1min,14,13.6
"May 31, 2022 09:45 AM",13.52,13.62,13.52,13.62,193243,13.62,13.52,0.1,0.01,0.78,1min,15,13.6
"May 31, 2022 09:46 AM",13.62,13.64,13.6,13.61,212180,13.61,13.62,-0.01,-0.0,-0.09,1min,16,13.6
"May 31, 2022 09:47 AM",13.61,13.61,13.57,13.57,204146,13.57,13.61,-0.03,-0.0,-0.24,1min,17,13.6
"May 31, 2022 09:48 AM",13.58,13.6,13.57,13.59,126273,13.59,13.57,0.01,0.0,0.07,1min,18,13.6
"May 31, 2022 09:49 AM",13.59,13.61,13.54,13.55,124859,13.55,13.59,-0.03,-0.0,-0.26,1min,19,13.6
"May 31, 2022 09:50 AM",13.55,13.56,13.53,13.55,78972,13.55,13.55,-0.0,-0.0,-0.01,1min,20,13.6
"May 31, 2022 09:51 AM",13.54,13.55,13.51,13.51,96863,13.51,13.55,-0.04,-0.0,-0.29,1min,21,13.6
