Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",15.74,16.23,15.74,16.15,55398300,16.04,,,,,1mo
"April 20, 2022",16.23,16.55,16.01,16.05,47351500,15.94,16.04,-0.1,-0.01,-0.62,1mo
"April 21, 2022",16.48,16.57,15.61,15.7,49898500,15.6,15.94,-0.35,-0.02,-2.18,1mo
"April 22, 2022",15.55,15.64,15.0,15.13,56193700,15.03,15.6,-0.57,-0.04,-3.63,1mo
"April 25, 2022",14.91,15.2,14.62,15.19,58361400,15.19,15.03,0.16,0.01,1.06,1mo
"April 26, 2022",15.1,15.14,14.67,14.71,60345300,14.71,15.19,-0.48,-0.03,-3.16,1mo
"April 27, 2022",14.79,15.1,14.6,14.85,65847900,14.85,14.71,0.14,0.01,0.95,1mo
"April 28, 2022",14.91,14.99,13.9,14.62,131556500,14.62,14.85,-0.23,-0.02,-1.55,1mo
"April 29, 2022",14.59,14.97,14.1,14.16,82993400,14.16,14.62,-0.46,-0.03,-3.15,1mo
"May 02, 2022",14.02,14.29,13.82,14.27,64734000,14.27,14.16,0.11,0.01,0.78,1mo
"May 03, 2022",14.31,14.75,14.2,14.56,55734200,14.56,14.27,0.29,0.02,2.03,1mo
"May 04, 2022",14.51,15.0,14.26,14.98,59774900,14.98,14.56,0.42,0.03,2.88,1mo
"May 05, 2022",14.82,14.82,14.34,14.53,57889200,14.53,14.98,-0.45,-0.03,-3.0,1mo
"May 06, 2022",14.46,14.6,14.0,14.21,66528000,14.21,14.53,-0.32,-0.02,-2.2,1mo
"May 09, 2022",13.85,14.17,13.31,13.37,71242000,13.37,14.21,-0.84,-0.06,-5.91,1mo
"May 10, 2022",13.8,13.84,13.02,13.35,75506700,13.35,13.37,-0.02,-0.0,-0.15,1mo
"May 11, 2022",13.2,13.62,12.79,12.83,71644900,12.83,13.35,-0.52,-0.04,-3.9,1mo
"May 12, 2022",12.21,12.8,12.15,12.44,113203900,12.44,12.83,-0.39,-0.03,-3.04,1mo
"May 13, 2022",12.88,13.63,12.87,13.5,78802200,13.5,12.44,1.06,0.09,8.52,1mo
"May 16, 2022",13.49,13.52,12.98,13.05,65055400,13.05,13.5,-0.45,-0.03,-3.33,1mo
"May 17, 2022",13.34,13.53,13.16,13.53,50891400,13.53,13.05,0.48,0.04,3.68,1mo
"May 18, 2022",13.25,13.36,12.71,12.78,68160200,12.78,13.53,-0.75,-0.06,-5.54,1mo
