Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-05-29,2.15,2.17,2.14,2.15,2265706.0,0.12,,,,,1wk
1972-06-05,2.15,2.17,2.04,2.08,14938245.0,0.11,0.12,-0.0,-0.03,-3.02,1wk
1972-06-12,2.08,2.15,2.07,2.13,7521528.0,0.11,0.11,0.0,0.02,2.33,1wk
1972-06-19,2.13,2.15,2.07,2.09,5597988.0,0.11,0.11,-0.0,-0.02,-1.9,1wk
1972-06-26,2.09,2.11,2.05,2.07,3683699.0,0.11,0.11,-0.0,-0.01,-0.97,1wk
1972-07-03,2.07,2.1,2.03,2.07,4364952.0,0.11,0.11,-0.0,-0.0,-0.2,1wk
1972-07-10,2.07,2.07,1.99,2.01,4503668.0,0.11,0.11,-0.0,-0.03,-2.75,1wk
1972-07-17,2.01,2.08,1.98,2.04,4734863.0,0.11,0.11,0.0,0.02,1.61,1wk
1972-07-24,2.06,2.11,2.06,2.1,6368636.0,0.11,0.11,0.0,0.03,2.58,1wk
1972-07-25,,,,,,,0.11,,,,1wk
1972-07-31,2.1,2.18,2.08,2.17,10354428.0,0.12,,,,,1wk
1972-08-07,2.17,2.18,2.12,2.15,8196615.0,0.12,0.12,-0.0,-0.01,-0.75,1wk
1972-08-14,2.16,2.18,2.09,2.13,7265670.0,0.12,0.12,-0.0,-0.01,-1.13,1wk
1972-08-21,2.13,2.26,2.11,2.19,9922866.0,0.12,0.12,0.0,0.03,3.05,1wk
1972-08-28,2.19,2.21,2.13,2.19,4929066.0,0.12,0.12,-0.0,-0.0,-0.37,1wk
1972-09-04,2.19,2.19,2.13,2.15,2536973.0,0.12,0.12,-0.0,-0.02,-1.86,1wk
1972-09-11,2.15,2.15,2.1,2.13,3569642.0,0.12,0.12,-0.0,-0.01,-0.76,1wk
1972-09-18,2.12,2.13,2.04,2.07,5221911.0,0.11,0.12,-0.0,-0.03,-2.86,1wk
1972-09-25,2.07,2.17,2.06,2.16,6997486.0,0.12,0.11,0.01,0.05,4.51,1wk
1972-10-02,2.16,2.17,2.08,2.12,4096766.0,0.12,0.12,-0.0,-0.02,-2.06,1wk
1972-10-09,2.12,2.15,2.08,2.09,4845836.0,0.11,0.12,-0.0,-0.01,-1.34,1wk
1972-10-16,2.08,2.1,2.06,2.1,5678136.0,0.11,0.11,0.0,0.01,0.58,1wk
1972-10-23,2.1,2.15,2.1,2.15,7805125.0,0.12,0.11,0.0,0.02,2.32,1wk
1972-10-25,,,,,,,0.12,,,,1wk
1972-10-30,2.15,2.34,2.14,2.34,16103464.0,0.13,,,,,1wk
1972-11-06,2.34,2.45,2.32,2.43,19774833.0,0.13,0.13,0.01,0.04,3.99,1wk
1972-11-13,2.43,2.53,2.38,2.53,18483227.0,0.14,0.13,0.01,0.04,4.01,1wk
1972-11-20,2.53,2.56,2.49,2.51,12265636.0,0.14,0.14,-0.0,-0.0,-0.48,1wk
1972-11-27,2.5,2.5,2.39,2.46,10943204.0,0.13,0.14,-0.0,-0.02,-2.26,1wk
1972-12-04,2.47,2.55,2.47,2.51,12533822.0,0.14,0.13,0.0,0.02,2.31,1wk
1972-12-11,2.51,2.54,2.48,2.48,12795843.0,0.14,0.14,-0.0,-0.01,-1.29,1wk
1972-12-18,2.45,2.45,2.39,2.45,8868620.0,0.13,0.14,-0.0,-0.01,-1.31,1wk
1972-12-25,2.46,2.59,2.46,2.58,7290331.0,0.14,0.13,0.01,0.05,5.46,1wk
1973-01-01,2.58,2.61,2.51,2.6,11871064.0,0.14,0.14,0.0,0.01,0.63,1wk
1973-01-08,2.6,2.67,2.55,2.55,19290866.0,0.14,0.14,-0.0,-0.02,-1.87,1wk
1973-01-15,2.55,2.6,2.44,2.47,11960460.0,0.14,0.14,-0.0,-0.03,-3.02,1wk
1973-01-22,2.47,2.48,2.38,2.41,10508559.0,0.13,0.14,-0.0,-0.02,-2.46,1wk
1973-01-23,,,,,,,0.13,,,,1wk
1973-01-29,2.41,2.44,2.26,2.29,14386460.0,0.13,,,,,1wk
1973-02-05,2.29,2.31,2.2,2.27,16427136.0,0.13,0.13,-0.0,-0.01,-0.71,1wk
1973-02-12,2.27,2.38,2.21,2.27,16800131.0,0.13,0.13,-0.0,-0.0,-0.18,1wk
1973-02-19,2.27,2.3,2.19,2.19,5184922.0,0.12,0.13,-0.0,-0.03,-3.4,1wk
1973-02-26,2.19,2.19,2.09,2.16,9784150.0,0.12,0.12,-0.0,-0.01,-1.48,1wk
1973-03-05,2.16,2.19,2.12,2.14,7703399.0,0.12,0.12,-0.0,-0.01,-0.94,1wk
1973-03-12,2.14,2.15,2.08,2.09,6155938.0,0.12,0.12,-0.0,-0.02,-2.09,1wk
1973-03-19,2.09,2.09,1.95,2.01,7956172.0,0.11,0.12,-0.0,-0.04,-3.88,1wk
1973-03-26,2.01,2.1,1.99,2.06,9818058.0,0.11,0.11,0.0,0.02,2.22,1wk
1973-04-02,2.06,2.06,1.98,2.0,5493181.0,0.11,0.11,-0.0,-0.03,-2.56,1wk
1973-04-09,2.01,2.15,2.01,2.1,13248984.0,0.12,0.11,0.01,0.05,4.86,1wk
1973-04-16,2.1,2.13,2.04,2.13,6914256.0,0.12,0.12,0.0,0.01,1.35,1wk
1973-04-23,2.13,2.15,1.95,1.95,7814374.0,0.11,0.12,-0.01,-0.08,-8.19,1wk
1973-04-24,,,,,,,0.11,,,,1wk
1973-04-30,1.95,2.09,1.93,2.08,9639269.0,0.12,,,,,1wk
1973-05-07,2.08,2.09,1.9,1.9,12694117.0,0.11,0.12,-0.01,-0.09,-8.58,1wk
