Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-05,12.39,12.78,12.33,12.7,82332700,12.57,,,,,1yr,0,12.01
2021-04-06,12.7,12.99,12.64,12.92,67499400,12.79,12.57,0.22,0.02,1.73,1yr,1,12.04
2021-04-07,12.87,12.93,12.66,12.73,42264000,12.6,12.79,-0.19,-0.01,-1.47,1yr,2,12.07
2021-04-08,12.67,12.76,12.43,12.51,52622000,12.38,12.6,-0.22,-0.02,-1.73,1yr,3,12.1
2021-04-09,12.49,12.62,12.39,12.51,40555400,12.38,12.38,0.0,0.0,0.0,1yr,4,12.14
2021-04-12,12.5,12.55,12.32,12.38,40422800,12.25,12.38,-0.13,-0.01,-1.04,1yr,5,12.17
2021-04-13,12.39,12.45,12.1,12.2,51556000,12.08,12.25,-0.18,-0.01,-1.45,1yr,6,12.2
2021-04-14,12.2,12.49,12.2,12.24,49877500,12.12,12.08,0.04,0.0,0.33,1yr,7,12.23
2021-04-15,12.3,12.32,12.13,12.24,38209300,12.12,12.12,0.0,0.0,0.0,1yr,8,12.26
2021-04-16,12.32,12.36,12.19,12.23,33132900,12.11,12.12,-0.01,-0.0,-0.08,1yr,9,12.3
2021-04-19,12.22,12.25,12.02,12.11,39063500,11.99,12.11,-0.12,-0.01,-0.98,1yr,10,12.33
2021-04-20,12.06,12.06,11.35,11.45,83170800,11.33,11.99,-0.65,-0.05,-5.45,1yr,11,12.36
2021-04-21,11.36,11.74,11.18,11.73,49641100,11.61,11.33,0.28,0.02,2.45,1yr,12,12.39
2021-04-22,12.06,12.15,11.83,11.94,73064400,11.82,11.61,0.21,0.02,1.79,1yr,13,12.43
2021-04-23,11.97,12.24,11.87,12.22,51833300,12.1,11.82,0.28,0.02,2.35,1yr,14,12.46
2021-04-26,12.28,12.44,12.23,12.27,40863800,12.15,12.1,0.05,0.0,0.41,1yr,15,12.49
2021-04-27,12.29,12.5,12.27,12.49,42037800,12.36,12.15,0.22,0.02,1.79,1yr,16,12.52
2021-04-28,12.6,12.6,12.39,12.43,68023400,12.3,12.36,-0.06,-0.0,-0.48,1yr,17,12.55
2021-04-29,11.91,11.91,11.14,11.26,230430600,11.15,12.3,-1.16,-0.09,-9.41,1yr,18,12.59
2021-04-30,11.36,11.54,11.33,11.54,90786500,11.42,11.15,0.28,0.02,2.49,1yr,19,12.62
