Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-04 09:30:00,16.66,16.68,16.36,16.67,7912467,16.67,,,,,30min
2022-04-04 10:00:00,16.67,16.68,16.55,16.58,3485802,16.58,16.67,-0.09,-0.01,-0.55,30min
2022-04-04 10:30:00,16.59,16.59,16.42,16.56,5431067,16.56,16.58,-0.03,-0.0,-0.16,30min
2022-04-04 11:00:00,16.56,16.61,16.52,16.6,2747566,16.6,16.56,0.05,0.0,0.3,30min
2022-04-04 11:30:00,16.61,16.73,16.6,16.71,4495977,16.71,16.6,0.1,0.01,0.63,30min
2022-04-04 12:00:00,16.7,16.71,16.63,16.67,2444078,16.67,16.71,-0.03,-0.0,-0.21,30min
2022-04-04 12:30:00,16.67,16.69,16.62,16.65,2240868,16.65,16.67,-0.03,-0.0,-0.18,30min
2022-04-04 13:00:00,16.65,16.65,16.57,16.58,1897609,16.58,16.65,-0.06,-0.0,-0.36,30min
2022-04-04 13:30:00,16.58,16.61,16.55,16.59,1998231,16.59,16.58,0.0,0.0,0.01,30min
2022-04-04 14:00:00,16.59,16.65,16.56,16.64,2207818,16.64,16.59,0.05,0.0,0.3,30min
2022-04-04 14:30:00,16.64,16.67,16.62,16.65,2106026,16.65,16.64,0.01,0.0,0.06,30min
2022-04-04 15:00:00,16.65,16.68,16.61,16.61,2229966,16.61,16.65,-0.03,-0.0,-0.21,30min
2022-04-04 15:30:00,16.61,16.66,16.59,16.65,5544798,16.65,16.61,0.04,0.0,0.24,30min
2022-04-04 16:00:00,16.66,16.66,16.66,16.66,0,16.66,16.65,0.01,0.0,0.06,30min
