Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2002-02-13,9.62,10.06,9.52,10.05,19054000,6.77,,,,,1d
2002-02-14,10.18,10.19,9.93,10.0,2755400,6.73,6.77,-0.03,-0.0,-0.5,1d
2002-02-15,10.0,10.02,9.85,9.95,2097400,6.7,6.73,-0.03,-0.01,-0.5,1d
2002-02-19,9.9,9.9,9.38,9.55,1852600,6.43,6.7,-0.27,-0.04,-4.02,1d
2002-02-20,9.6,9.88,9.52,9.88,1723200,6.65,6.43,0.22,0.03,3.4,1d
2002-02-21,9.84,9.93,9.75,9.85,1744200,6.63,6.65,-0.02,-0.0,-0.25,1d
2002-02-22,9.93,9.93,9.6,9.68,881400,6.51,6.63,-0.12,-0.02,-1.78,1d
2002-02-25,9.65,9.82,9.54,9.75,863400,6.56,6.51,0.05,0.01,0.78,1d
2002-02-26,9.7,9.85,9.55,9.75,690400,6.56,6.56,0.0,0.0,0.0,1d
2002-02-27,9.68,9.68,9.5,9.57,1022800,6.45,6.56,-0.12,-0.02,-1.79,1d
2002-02-28,9.6,9.73,9.55,9.55,687800,6.43,6.45,-0.02,-0.0,-0.26,1d
2002-03-01,9.52,9.77,9.49,9.69,478400,6.52,6.43,0.09,0.01,1.41,1d
2002-03-04,9.73,9.9,9.71,9.85,795200,6.63,6.52,0.11,0.02,1.7,1d
2002-03-05,9.8,9.82,9.58,9.62,861200,6.48,6.63,-0.15,-0.02,-2.28,1d
2002-03-06,9.62,9.72,9.6,9.68,329200,6.51,6.48,0.03,0.01,0.52,1d
2002-03-07,9.68,10.3,9.68,10.21,675200,6.87,6.51,0.36,0.06,5.53,1d
2002-03-08,10.15,10.5,10.15,10.45,400200,7.04,6.87,0.16,0.02,2.35,1d
2002-03-11,10.4,10.7,10.38,10.59,1365600,7.13,7.04,0.09,0.01,1.29,1d
2002-03-12,10.5,10.95,10.5,10.6,1454800,7.14,7.13,0.01,0.0,0.14,1d
2002-03-13,10.6,10.75,10.32,10.51,1265800,7.08,7.14,-0.06,-0.01,-0.85,1d
2002-03-14,10.51,10.6,10.42,10.5,424200,7.07,7.08,-0.01,-0.0,-0.1,1d
2002-03-15,10.5,10.55,9.95,10.18,427000,6.85,7.07,-0.22,-0.03,-3.1,1d
2002-03-18,10.2,10.2,9.52,9.65,551800,6.5,6.85,-0.35,-0.05,-5.16,1d
2002-03-19,9.73,9.75,9.3,9.35,807400,6.3,6.5,-0.2,-0.03,-3.11,1d
2002-03-20,9.27,9.27,8.5,9.01,2309000,6.07,6.3,-0.23,-0.04,-3.64,1d
2002-03-21,9.01,9.62,9.01,9.38,1106800,6.31,6.07,0.25,0.04,4.05,1d
2002-03-22,9.38,9.8,9.26,9.65,623600,6.5,6.31,0.19,0.03,2.93,1d
2002-03-25,9.75,9.9,9.59,9.86,1892800,6.64,6.5,0.14,0.02,2.18,1d
2002-03-26,10.0,10.05,9.89,9.99,454200,6.73,6.64,0.09,0.01,1.32,1d
2002-03-27,9.99,10.5,9.95,10.3,342400,6.93,6.73,0.21,0.03,3.1,1d
2002-03-28,10.25,10.3,10.05,10.1,428600,6.8,6.93,-0.13,-0.02,-1.94,1d
