Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,149.23,156.34,149.21,155.33,356138,155.33,,,,,1hr
2022-01-03 10:30:00,155.54,159.38,155.26,157.03,399088,157.03,155.33,1.7,0.01,1.09,1hr
2022-01-03 11:30:00,156.79,156.85,154.37,154.72,156868,154.72,157.03,-2.31,-0.01,-1.47,1hr
2022-01-03 12:30:00,154.62,155.34,153.51,154.01,105305,154.01,154.72,-0.71,-0.0,-0.46,1hr
2022-01-03 13:30:00,153.78,154.57,152.87,153.74,89027,153.74,154.01,-0.27,-0.0,-0.18,1hr
2022-01-03 14:30:00,153.73,153.9,152.04,152.2,133774,152.2,153.74,-1.54,-0.01,-1.0,1hr
2022-01-03 15:30:00,152.33,153.11,151.92,153.02,123698,153.02,152.2,0.82,0.01,0.54,1hr
2022-01-04 09:30:00,152.17,152.99,146.02,147.0,457475,147.0,153.02,-6.02,-0.04,-3.93,1hr
2022-01-04 10:30:00,147.05,147.1,143.05,145.29,435027,145.29,147.0,-1.71,-0.01,-1.16,1hr
2022-01-04 11:30:00,145.19,146.51,144.0,145.44,219692,145.44,145.29,0.15,0.0,0.11,1hr
2022-01-04 12:30:00,145.35,146.27,144.5,145.55,176960,145.55,145.44,0.11,0.0,0.07,1hr
2022-01-04 13:30:00,145.35,145.6,143.9,145.15,114061,145.15,145.55,-0.4,-0.0,-0.27,1hr
2022-01-04 14:30:00,145.02,147.47,144.87,147.14,179026,147.14,145.15,1.99,0.01,1.37,1hr
2022-01-04 15:30:00,147.33,150.32,146.63,148.79,212462,148.79,147.14,1.65,0.01,1.12,1hr
2022-01-05 09:30:00,148.39,148.85,144.2,144.2,284123,144.2,148.79,-4.59,-0.03,-3.08,1hr
2022-01-05 10:30:00,144.2,144.93,142.8,143.38,262693,143.38,144.2,-0.82,-0.01,-0.57,1hr
2022-01-05 11:30:00,143.15,143.46,140.26,140.39,341062,140.39,143.38,-2.99,-0.02,-2.09,1hr
2022-01-05 12:30:00,140.26,140.46,135.67,137.23,639387,137.23,140.39,-3.16,-0.02,-2.25,1hr
2022-01-05 13:30:00,137.25,138.93,135.0,135.23,368447,135.23,137.23,-2.0,-0.01,-1.46,1hr
2022-01-05 14:30:00,135.12,135.65,130.35,131.03,691404,131.03,135.23,-4.2,-0.03,-3.11,1hr
2022-01-05 15:30:00,130.91,131.86,129.15,129.33,723641,129.33,131.03,-1.7,-0.01,-1.3,1hr
2022-01-06 09:30:00,132.84,137.7,121.14,129.31,1520097,129.31,129.33,-0.02,-0.0,-0.02,1hr
2022-01-06 10:30:00,129.32,134.53,127.51,131.25,650088,131.25,129.31,1.94,0.02,1.5,1hr
2022-01-06 11:30:00,131.24,135.02,130.07,134.88,246354,134.88,131.25,3.63,0.03,2.77,1hr
2022-01-06 12:30:00,134.99,137.02,132.4,132.4,353006,132.4,134.88,-2.48,-0.02,-1.84,1hr
2022-01-06 13:30:00,132.57,132.77,131.01,132.47,179647,132.47,132.4,0.07,0.0,0.05,1hr
2022-01-06 14:30:00,132.57,133.96,132.12,132.81,185007,132.81,132.47,0.34,0.0,0.26,1hr
2022-01-06 15:30:00,132.98,133.05,130.0,131.01,269366,131.01,132.81,-1.8,-0.01,-1.36,1hr
2022-01-07 09:30:00,159.77,160.31,142.82,143.71,6165315,143.71,131.01,12.7,0.1,9.69,1hr
2022-01-07 10:30:00,143.71,144.46,137.28,140.6,1939040,140.6,143.71,-3.11,-0.02,-2.16,1hr
2022-01-07 11:30:00,140.69,140.93,135.59,135.7,880466,135.7,140.6,-4.9,-0.03,-3.48,1hr
2022-01-07 12:30:00,135.65,139.7,135.17,136.51,703666,136.51,135.7,0.81,0.01,0.59,1hr
2022-01-07 13:30:00,136.4,137.18,132.5,133.79,641692,133.79,136.51,-2.71,-0.02,-1.99,1hr
2022-01-07 14:30:00,133.83,137.98,133.53,136.35,655658,136.35,133.79,2.55,0.02,1.91,1hr
2022-01-07 15:30:00,136.34,141.72,135.99,140.62,944453,140.62,136.35,4.27,0.03,3.13,1hr
2022-01-10 09:30:00,134.99,135.69,120.0,124.26,2248637,124.26,140.62,-16.36,-0.12,-11.63,1hr
2022-01-10 10:30:00,124.27,125.68,120.0,125.47,1319711,125.47,124.26,1.21,0.01,0.98,1hr
2022-01-10 11:30:00,125.56,126.35,123.21,123.57,456953,123.57,125.47,-1.9,-0.02,-1.52,1hr
2022-01-10 12:30:00,123.57,127.95,123.14,127.53,372673,127.53,123.57,3.96,0.03,3.21,1hr
2022-01-10 13:30:00,127.62,129.6,126.37,128.39,390795,128.39,127.53,0.86,0.01,0.68,1hr
2022-01-10 14:30:00,128.59,129.6,127.21,128.34,282086,128.34,128.39,-0.06,-0.0,-0.05,1hr
2022-01-10 15:30:00,128.41,131.53,127.98,131.05,382579,131.05,128.34,2.71,0.02,2.12,1hr
2022-01-11 09:30:00,130.1,136.8,127.39,132.67,781750,132.67,131.05,1.62,0.01,1.24,1hr
2022-01-11 10:30:00,132.84,133.46,129.89,132.25,428890,132.25,132.67,-0.42,-0.0,-0.32,1hr
2022-01-11 11:30:00,132.26,132.47,130.25,131.26,309645,131.26,132.25,-0.99,-0.01,-0.75,1hr
2022-01-11 12:30:00,131.29,132.44,128.43,128.43,333589,128.43,131.26,-2.83,-0.02,-2.16,1hr
2022-01-11 13:30:00,128.45,130.6,128.41,129.08,260645,129.08,128.43,0.65,0.01,0.51,1hr
2022-01-11 14:30:00,128.9,131.22,128.25,130.0,204693,130.0,129.08,0.92,0.01,0.71,1hr
2022-01-11 15:30:00,130.08,130.43,129.42,130.33,228449,130.33,130.0,0.33,0.0,0.25,1hr
2022-01-12 09:30:00,130.0,131.32,127.03,128.6,468729,128.6,130.33,-1.73,-0.01,-1.33,1hr
