Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",142.85,152.98,139.86,152.47,2354200,152.47,,,,,1mo
"April 20, 2022",152.0,152.33,146.65,148.85,1162000,148.85,152.47,-3.62,-0.02,-2.37,1mo
"April 21, 2022",150.0,153.12,139.91,141.56,1684400,141.56,148.85,-7.29,-0.05,-4.9,1mo
"April 22, 2022",142.55,146.3,135.55,138.22,1569600,138.22,141.56,-3.34,-0.02,-2.36,1mo
"April 25, 2022",135.41,139.71,133.28,135.95,1534800,135.95,138.22,-2.27,-0.02,-1.64,1mo
"April 26, 2022",135.64,136.8,126.16,127.6,1545700,127.6,135.95,-8.35,-0.06,-6.14,1mo
"April 27, 2022",127.27,132.68,124.58,129.84,1305900,129.84,127.6,2.24,0.02,1.76,1mo
"April 28, 2022",130.28,132.6,120.5,129.31,1767500,129.31,129.84,-0.53,-0.0,-0.41,1mo
"April 29, 2022",127.3,130.89,123.01,125.07,1284200,125.07,129.31,-4.24,-0.03,-3.28,1mo
"May 02, 2022",123.65,125.39,112.7,119.57,2543000,119.57,125.07,-5.5,-0.04,-4.4,1mo
"May 03, 2022",118.48,124.43,114.42,120.43,1828200,120.43,119.57,0.86,0.01,0.72,1mo
"May 04, 2022",119.21,127.75,115.72,127.08,1662800,127.08,120.43,6.65,0.06,5.52,1mo
"May 05, 2022",123.94,124.68,115.12,119.13,1753900,119.13,127.08,-7.95,-0.06,-6.26,1mo
"May 06, 2022",117.28,120.56,110.23,114.7,1786800,114.7,119.13,-4.43,-0.04,-3.72,1mo
"May 09, 2022",110.78,110.78,98.08,98.79,3316200,98.79,114.7,-15.91,-0.14,-13.87,1mo
"May 10, 2022",102.98,106.06,88.0,93.5,4150800,93.5,98.79,-5.29,-0.05,-5.35,1mo
"May 11, 2022",93.47,95.27,80.0,81.33,4170300,81.33,93.5,-12.17,-0.13,-13.02,1mo
"May 12, 2022",83.04,108.06,77.77,89.57,10034900,89.57,81.33,8.24,0.1,10.13,1mo
"May 13, 2022",99.0,106.78,95.04,98.39,5974000,98.39,89.57,8.82,0.1,9.85,1mo
"May 16, 2022",98.8,99.18,90.78,91.8,2895500,91.8,98.39,-6.59,-0.07,-6.7,1mo
"May 17, 2022",93.9,100.38,91.2,100.38,2611200,100.38,91.8,8.58,0.09,9.35,1mo
"May 18, 2022",96.38,99.84,90.17,91.48,2883900,91.48,100.38,-8.9,-0.09,-8.87,1mo
