Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2002-02-11,9.62,10.19,9.52,9.95,23906800.0,6.7,,,,,1wk
2002-02-18,9.9,9.93,9.38,9.68,6201400.0,6.51,6.7,-0.19,-0.03,-2.76,1wk
2002-02-25,9.65,9.85,9.49,9.69,3742800.0,6.52,6.51,0.01,0.0,0.1,1wk
2002-03-04,9.73,10.5,9.58,10.45,3061000.0,7.04,6.52,0.52,0.08,7.9,1wk
2002-03-11,10.4,10.95,9.95,10.18,4937400.0,6.85,7.04,-0.19,-0.03,-2.63,1wk
2002-03-18,10.2,10.2,8.5,9.65,5398600.0,6.5,6.85,-0.35,-0.05,-5.16,1wk
2002-03-25,9.75,10.5,9.59,10.1,3118000.0,6.8,6.5,0.3,0.05,4.66,1wk
2002-04-01,10.02,10.02,9.18,9.24,1536600.0,6.22,6.8,-0.58,-0.08,-8.47,1wk
2002-04-08,9.3,9.6,8.89,9.12,2275800.0,6.14,6.22,-0.08,-0.01,-1.3,1wk
2002-04-15,9.1,10.18,9.1,10.14,1941200.0,6.82,6.14,0.68,0.11,11.07,1wk
2002-04-22,10.07,10.12,9.59,9.62,1510800.0,6.48,6.82,-0.34,-0.05,-5.03,1wk
2002-04-29,9.57,10.49,9.35,10.4,3727000.0,7.0,6.48,0.52,0.08,8.05,1wk
2002-05-06,10.4,11.72,10.4,11.03,1200200.0,7.43,7.0,0.42,0.06,6.06,1wk
2002-05-13,11.03,11.2,9.93,10.61,5338800.0,7.15,7.43,-0.28,-0.04,-3.76,1wk
2002-05-20,10.61,11.85,10.15,11.73,3106200.0,7.9,7.15,0.75,0.11,10.5,1wk
2002-05-27,11.77,12.15,11.57,12.1,3365000.0,8.14,7.9,0.25,0.03,3.11,1wk
2002-06-03,12.1,12.1,11.28,11.48,2164600.0,7.73,8.14,-0.42,-0.05,-5.13,1wk
2002-06-10,11.48,11.65,10.68,11.26,931400.0,7.58,7.73,-0.15,-0.02,-1.92,1wk
2002-06-17,11.3,11.73,10.45,10.5,907000.0,7.07,7.58,-0.51,-0.07,-6.71,1wk
2002-06-24,10.5,10.66,9.18,10.49,2479200.0,7.07,7.07,-0.0,-0.0,-0.05,1wk
2002-07-01,10.45,10.49,8.62,9.51,1351800.0,6.4,7.07,-0.67,-0.09,-9.43,1wk
2002-07-08,9.55,10.22,8.78,8.85,2309000.0,5.96,6.4,-0.44,-0.07,-6.94,1wk
2002-07-15,8.84,8.84,7.15,7.89,2890000.0,5.31,5.96,-0.64,-0.11,-10.8,1wk
2002-07-22,7.86,8.85,7.49,8.77,1637400.0,5.9,5.31,0.59,0.11,11.15,1wk
2002-07-29,8.78,9.2,7.43,7.55,1135200.0,5.08,5.9,-0.82,-0.14,-13.91,1wk
2002-08-05,7.55,8.0,6.93,7.62,2459000.0,5.13,5.08,0.05,0.01,0.99,1wk
2002-08-12,7.62,9.9,7.6,9.47,2760600.0,6.37,5.13,1.24,0.24,24.13,1wk
2002-08-19,9.47,10.75,9.35,9.88,3379600.0,6.65,6.37,0.28,0.04,4.33,1wk
2002-08-26,9.88,10.99,9.86,10.4,2140600.0,7.0,6.65,0.35,0.05,5.32,1wk
2002-09-02,10.4,10.4,9.22,9.81,1506600.0,6.6,7.0,-0.4,-0.06,-5.72,1wk
2002-09-09,9.82,10.54,9.3,9.8,1294000.0,6.6,6.6,-0.0,-0.0,-0.05,1wk
2002-09-16,9.81,10.44,9.8,10.02,1274400.0,6.75,6.6,0.15,0.02,2.3,1wk
2002-09-23,10.03,11.07,9.32,10.64,1956600.0,7.16,6.75,0.41,0.06,6.13,1wk
2002-09-30,10.64,10.7,9.25,9.65,2633600.0,6.5,7.16,-0.66,-0.09,-9.26,1wk
2002-10-07,9.55,9.64,8.64,9.28,2009800.0,6.25,6.5,-0.25,-0.04,-3.83,1wk
2002-10-14,9.23,10.44,9.18,10.18,1592200.0,6.85,6.25,0.6,0.1,9.59,1wk
2002-10-21,10.18,10.5,9.1,10.18,3431200.0,6.85,6.85,0.0,0.0,0.0,1wk
2002-10-28,10.25,10.25,8.59,8.81,4726600.0,5.94,6.85,-0.92,-0.13,-13.37,1wk
2002-11-04,8.94,9.49,8.52,8.52,1893200.0,5.73,5.94,-0.2,-0.03,-3.4,1wk
2002-11-11,8.55,10.2,8.45,10.09,2910600.0,6.79,5.73,1.06,0.18,18.44,1wk
