Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-09,169.7,171.58,153.0,158.36,9462400,158.36,,,,,1yr,0,208.21
2021-04-12,158.11,163.9,135.01,141.09,16683600,141.09,158.36,-17.27,-0.11,-10.91,1yr,1,207.9
2021-04-13,141.88,145.38,132.0,140.99,6806900,140.99,141.09,-0.1,-0.0,-0.07,1yr,2,207.59
2021-04-14,143.57,174.09,143.0,166.53,21138100,166.53,140.99,25.54,0.18,18.11,1yr,3,207.28
2021-04-15,163.0,166.25,152.8,156.44,7856800,156.44,166.53,-10.09,-0.06,-6.06,1yr,4,206.97
2021-04-16,156.0,160.2,151.25,154.69,5214700,154.69,156.44,-1.75,-0.01,-1.12,1yr,5,206.66
2021-04-19,171.8,175.2,162.33,164.37,10520200,164.37,154.69,9.68,0.06,6.26,1yr,6,206.35
2021-04-20,164.14,164.89,153.36,158.53,4658600,158.53,164.37,-5.84,-0.04,-3.55,1yr,7,206.04
2021-04-21,158.4,162.98,155.92,158.51,3812800,158.51,158.53,-0.02,-0.0,-0.01,1yr,8,205.73
2021-04-22,159.1,159.1,146.86,151.17,4345800,151.17,158.51,-7.34,-0.05,-4.63,1yr,9,205.42
2021-04-23,149.0,153.66,144.7,151.18,4029100,151.18,151.17,0.01,0.0,0.01,1yr,10,205.11
2021-04-26,150.98,174.68,148.76,168.93,10532100,168.93,151.18,17.75,0.12,11.74,1yr,11,204.8
2021-04-27,183.55,188.0,173.17,177.77,8932700,177.77,168.93,8.84,0.05,5.23,1yr,12,204.49
2021-04-28,172.1,181.98,166.03,178.58,5788900,178.58,177.77,0.81,0.0,0.46,1yr,13,204.18
2021-04-29,176.56,180.86,170.75,176.19,3760300,176.19,178.58,-2.39,-0.01,-1.34,1yr,14,203.87
2021-04-30,175.0,183.8,172.7,173.59,4433600,173.59,176.19,-2.6,-0.01,-1.48,1yr,15,203.56
2021-05-03,177.49,177.49,159.61,162.2,5261000,162.2,173.59,-11.39,-0.07,-6.56,1yr,16,203.25
2021-05-04,159.0,161.49,151.8,160.73,4007500,160.73,162.2,-1.47,-0.01,-0.91,1yr,17,202.94
2021-05-05,161.83,165.5,158.33,159.48,2805400,159.48,160.73,-1.25,-0.01,-0.78,1yr,18,202.63
2021-05-06,160.86,164.72,155.6,161.01,2942800,161.01,159.48,1.53,0.01,0.96,1yr,19,202.32
2021-05-07,160.11,167.41,157.5,161.11,2934600,161.11,161.01,0.1,0.0,0.06,1yr,20,202.01
2021-05-10,161.31,161.59,143.0,143.22,4806700,143.22,161.11,-17.89,-0.11,-11.1,1yr,21,201.7
2021-05-11,137.0,150.5,136.5,146.92,4684600,146.92,143.22,3.7,0.03,2.58,1yr,22,201.39
2021-05-12,145.7,150.5,142.23,144.79,2731500,144.79,146.92,-2.13,-0.01,-1.45,1yr,23,201.08
2021-05-13,147.44,169.95,146.43,164.5,8873500,164.5,144.79,19.71,0.14,13.61,1yr,24,200.77
2021-05-14,160.0,166.47,156.22,159.92,4293500,159.92,164.5,-4.58,-0.03,-2.78,1yr,25,200.46
2021-05-17,159.85,182.5,159.0,180.6,7462100,180.6,159.92,20.68,0.13,12.93,1yr,26,200.15
2021-05-18,174.54,189.2,168.27,180.67,7738700,180.67,180.6,0.07,0.0,0.04,1yr,27,199.84
2021-05-19,171.99,178.98,164.15,168.83,4825900,168.83,180.67,-11.84,-0.07,-6.55,1yr,28,199.53
2021-05-20,170.79,174.91,166.9,170.49,2478200,170.49,168.83,1.66,0.01,0.98,1yr,29,199.22
2021-05-21,171.0,179.24,170.33,176.79,3654700,176.79,170.49,6.3,0.04,3.7,1yr,30,198.91
2021-05-24,175.85,188.46,173.35,180.01,4664300,180.01,176.79,3.22,0.02,1.82,1yr,31,198.6
2021-05-25,181.0,217.11,181.0,209.43,14887500,209.43,180.01,29.42,0.16,16.34,1yr,32,198.29
2021-05-26,229.0,248.48,225.55,242.56,21119900,242.56,209.43,33.13,0.16,15.82,1yr,33,197.98
2021-05-27,229.8,264.0,227.0,254.13,15526300,254.13,242.56,11.57,0.05,4.77,1yr,34,197.67
2021-05-28,262.97,268.8,221.43,222.0,11751400,222.0,254.13,-32.13,-0.13,-12.64,1yr,35,197.36
2021-06-01,233.48,254.98,227.07,249.02,9625600,249.02,222.0,27.02,0.12,12.17,1yr,36,197.05
2021-06-02,248.88,294.0,244.3,282.24,16019200,282.24,249.02,33.22,0.13,13.34,1yr,37,196.74
2021-06-03,265.71,274.43,242.12,258.18,8000000,258.18,282.24,-24.06,-0.09,-8.52,1yr,38,196.43
2021-06-04,256.02,265.0,245.77,248.36,3637500,248.36,258.18,-9.82,-0.04,-3.8,1yr,39,196.12
2021-06-07,258.0,282.0,255.2,280.01,6051500,280.01,248.36,31.65,0.13,12.74,1yr,40,195.81
2021-06-08,292.0,344.66,281.0,300.0,17439100,300.0,280.01,19.99,0.07,7.14,1yr,41,195.5
2021-06-09,303.12,328.0,291.51,302.56,13429300,302.56,300.0,2.56,0.01,0.85,1yr,42,195.19
2021-06-10,282.0,288.0,211.0,220.39,22980200,220.39,302.56,-82.17,-0.27,-27.16,1yr,43,194.88
2021-06-11,222.35,241.13,206.13,233.34,15580800,233.34,220.39,12.95,0.06,5.88,1yr,44,194.57
2021-06-14,236.5,238.01,219.2,229.44,7132600,229.44,233.34,-3.9,-0.02,-1.67,1yr,45,194.26
2021-06-15,226.36,229.25,208.0,222.5,7301900,222.5,229.44,-6.94,-0.03,-3.02,1yr,46,193.95
2021-06-16,215.24,228.73,209.0,222.97,5564800,222.97,222.5,0.47,0.0,0.21,1yr,47,193.64
2021-06-17,224.0,233.66,221.48,223.59,4608600,223.59,222.97,0.62,0.0,0.28,1yr,48,193.33
2021-06-18,220.18,223.49,213.0,213.82,4320300,213.82,223.59,-9.77,-0.04,-4.37,1yr,49,193.02
2021-06-21,216.95,218.4,197.0,200.37,5120200,200.37,213.82,-13.45,-0.06,-6.29,1yr,50,192.71
2021-06-22,217.73,225.88,209.17,220.4,8200200,220.4,200.37,20.03,0.1,10.0,1yr,51,192.4
2021-06-23,221.45,222.57,214.12,219.34,3555100,219.34,220.4,-1.06,-0.0,-0.48,1yr,52,192.09
2021-06-24,221.16,227.45,211.6,212.31,3863300,212.31,219.34,-7.03,-0.03,-3.21,1yr,53,191.78
2021-06-25,214.0,214.2,198.5,209.51,12692700,209.51,212.31,-2.8,-0.01,-1.32,1yr,54,191.47
2021-06-28,211.25,224.45,210.2,213.25,4879400,213.25,209.51,3.74,0.02,1.79,1yr,55,191.16
2021-06-29,213.59,215.22,208.01,210.88,2480000,210.88,213.25,-2.37,-0.01,-1.11,1yr,56,190.85
2021-06-30,209.69,215.28,206.94,214.14,2539600,214.14,210.88,3.26,0.02,1.55,1yr,57,190.54
2021-07-01,213.4,216.83,202.0,204.36,2742100,204.36,214.14,-9.78,-0.05,-4.57,1yr,58,190.23
2021-07-02,204.8,205.45,196.5,202.83,2599100,202.83,204.36,-1.53,-0.01,-0.75,1yr,59,189.92
2021-07-06,204.0,204.77,193.71,199.56,2768100,199.56,202.83,-3.27,-0.02,-1.61,1yr,60,189.61
2021-07-07,196.0,197.5,177.56,190.66,4239500,190.66,199.56,-8.9,-0.04,-4.46,1yr,61,189.3
2021-07-08,179.83,194.22,179.5,191.38,2857500,191.38,190.66,0.72,0.0,0.38,1yr,62,188.99
2021-07-09,190.88,194.78,186.75,191.23,1582900,191.23,191.38,-0.15,-0.0,-0.08,1yr,63,188.68
2021-07-12,191.42,197.75,187.42,189.25,1636300,189.25,191.23,-1.98,-0.01,-1.04,1yr,64,188.37
2021-07-13,187.68,188.79,179.0,180.06,2397900,180.06,189.25,-9.19,-0.05,-4.86,1yr,65,188.06
2021-07-14,180.49,182.38,165.07,167.62,3913800,167.62,180.06,-12.44,-0.07,-6.91,1yr,66,187.75
2021-07-15,160.0,171.99,158.01,166.82,4298600,166.82,167.62,-0.8,-0.0,-0.48,1yr,67,187.44
2021-07-16,170.15,179.47,166.3,169.04,3287900,169.04,166.82,2.22,0.01,1.33,1yr,68,187.13
2021-07-19,163.3,176.0,161.22,173.49,2436900,173.49,169.04,4.45,0.03,2.63,1yr,69,186.82
2021-07-20,173.9,193.64,172.42,191.18,3101100,191.18,173.49,17.69,0.1,10.2,1yr,70,186.51
2021-07-21,187.79,195.51,182.11,185.81,2229200,185.81,191.18,-5.37,-0.03,-2.81,1yr,71,186.2
2021-07-22,185.3,187.69,176.15,178.85,1413000,178.85,185.81,-6.96,-0.04,-3.75,1yr,72,185.89
2021-07-23,181.0,181.6,173.84,180.36,1316200,180.36,178.85,1.51,0.01,0.84,1yr,73,185.58
2021-07-26,180.36,186.04,178.76,183.94,1260600,183.94,180.36,3.58,0.02,1.98,1yr,74,185.27
2021-07-27,183.0,185.0,176.66,178.54,1214800,178.54,183.94,-5.4,-0.03,-2.94,1yr,75,184.96
2021-07-28,175.72,177.12,164.27,169.12,4100800,169.12,178.54,-9.42,-0.05,-5.28,1yr,76,184.65
2021-07-29,170.6,173.89,164.51,164.86,2240000,164.86,169.12,-4.26,-0.03,-2.52,1yr,77,184.34
2021-07-30,165.0,167.22,158.87,161.12,2377100,161.12,164.86,-3.74,-0.02,-2.27,1yr,78,184.03
2021-08-02,162.0,163.59,155.06,157.65,2532900,157.65,161.12,-3.47,-0.02,-2.15,1yr,79,183.72
2021-08-03,156.74,158.89,148.2,152.75,14450600,152.75,157.65,-4.9,-0.03,-3.11,1yr,80,183.41
2021-08-04,152.73,157.79,145.69,146.8,2393500,146.8,152.75,-5.95,-0.04,-3.9,1yr,81,183.1
2021-08-05,148.0,157.6,145.22,153.44,2412100,153.44,146.8,6.64,0.05,4.52,1yr,82,182.79
2021-08-06,154.59,156.5,150.31,151.77,1352700,151.77,153.44,-1.67,-0.01,-1.09,1yr,83,182.48
2021-08-09,151.8,164.71,150.66,161.13,2249200,161.13,151.77,9.36,0.06,6.17,1yr,84,182.17
2021-08-10,161.36,166.9,155.35,159.05,1623300,159.05,161.13,-2.08,-0.01,-1.29,1yr,85,181.86
