Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",96.38,96.7,94.0,95.17,153307,95.17,,,,,5min
"May 18, 2022 09:35 AM",95.2,97.49,94.76,95.91,96678,95.91,95.17,0.74,0.01,0.78,5min
"May 18, 2022 09:40 AM",95.57,95.84,94.49,95.58,48646,95.58,95.91,-0.34,-0.0,-0.35,5min
"May 18, 2022 09:45 AM",95.77,96.48,94.85,95.54,74997,95.54,95.58,-0.04,-0.0,-0.04,5min
"May 18, 2022 09:50 AM",95.44,96.33,94.11,95.61,87006,95.61,95.54,0.07,0.0,0.07,5min
"May 18, 2022 09:55 AM",95.74,95.84,94.2,94.92,50368,94.92,95.61,-0.69,-0.01,-0.72,5min
"May 18, 2022 10:00 AM",94.98,96.9,94.81,96.46,81759,96.46,94.92,1.54,0.02,1.62,5min
"May 18, 2022 10:05 AM",96.7,98.97,96.4,97.25,151507,97.25,96.46,0.79,0.01,0.82,5min
"May 18, 2022 10:10 AM",97.25,97.95,96.27,97.63,41913,97.63,97.25,0.38,0.0,0.39,5min
"May 18, 2022 10:15 AM",97.64,98.37,97.23,97.95,48801,97.95,97.63,0.32,0.0,0.33,5min
"May 18, 2022 10:20 AM",97.9,99.84,97.5,98.48,126518,98.48,97.95,0.53,0.01,0.54,5min
"May 18, 2022 10:25 AM",98.2,98.5,96.27,96.27,48358,96.27,98.48,-2.21,-0.02,-2.24,5min
"May 18, 2022 10:30 AM",96.26,97.36,95.91,96.17,34369,96.17,96.27,-0.1,-0.0,-0.11,5min
"May 18, 2022 10:35 AM",96.55,96.55,95.6,95.92,52209,95.92,96.17,-0.25,-0.0,-0.26,5min
"May 18, 2022 10:40 AM",95.89,96.66,95.11,96.13,38158,96.13,95.92,0.21,0.0,0.22,5min
"May 18, 2022 10:45 AM",96.26,96.5,95.69,96.0,33828,96.0,96.13,-0.13,-0.0,-0.14,5min
"May 18, 2022 10:50 AM",96.18,96.41,95.7,96.0,16114,96.0,96.0,0.0,0.0,0.0,5min
