Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-10-11,173.0,188.49,173.0,178.1,2684900,178.1,,,,,6mo,0,195.99
2021-10-12,180.5,181.78,173.8,175.82,1233700,175.82,178.1,-2.28,-0.01,-1.28,6mo,1,195.25
2021-10-13,178.3,188.21,176.0,184.06,1927900,184.06,175.82,8.24,0.05,4.69,6mo,2,194.51
2021-10-14,183.76,190.2,182.6,183.83,1673900,183.83,184.06,-0.23,-0.0,-0.12,6mo,3,193.77
2021-10-15,184.0,186.98,180.88,183.28,1200000,183.28,183.83,-0.55,-0.0,-0.3,6mo,4,193.03
2021-10-18,182.94,189.87,182.55,186.02,1589600,186.02,183.28,2.74,0.01,1.49,6mo,5,192.29
2021-10-19,188.99,192.18,184.4,186.79,2070600,186.79,186.02,0.77,0.0,0.41,6mo,6,191.55
2021-10-20,186.33,188.0,181.98,184.52,2276900,184.52,186.79,-2.27,-0.01,-1.22,6mo,7,190.82
2021-10-21,184.71,190.7,180.6,181.71,2402400,181.71,184.52,-2.81,-0.02,-1.52,6mo,8,190.08
2021-10-22,178.1,179.49,167.8,169.8,2800400,169.8,181.71,-11.91,-0.07,-6.55,6mo,9,189.34
2021-10-25,169.42,174.8,167.26,173.97,1442800,173.97,169.8,4.17,0.02,2.46,6mo,10,188.6
2021-10-26,173.36,185.0,172.5,177.84,2176700,177.84,173.97,3.87,0.02,2.22,6mo,11,187.86
2021-10-27,180.0,183.09,172.33,173.51,1107000,173.51,177.84,-4.33,-0.02,-2.43,6mo,12,187.12
2021-10-28,175.16,183.14,175.0,182.85,1696200,182.85,173.51,9.34,0.05,5.38,6mo,13,186.38
2021-10-29,182.81,185.75,178.0,183.51,2294000,183.51,182.85,0.66,0.0,0.36,6mo,14,185.65
2021-11-01,182.53,208.57,182.05,200.09,4944200,200.09,183.51,16.58,0.09,9.03,6mo,15,184.91
2021-11-02,199.35,211.94,191.69,206.99,3882300,206.99,200.09,6.9,0.03,3.45,6mo,16,184.17
2021-11-03,214.0,255.69,208.25,218.33,11265600,218.33,206.99,11.34,0.05,5.48,6mo,17,183.43
2021-11-04,222.0,228.97,211.55,217.84,2908000,217.84,218.33,-0.49,-0.0,-0.22,6mo,18,182.69
2021-11-05,220.64,221.0,209.01,213.25,1810700,213.25,217.84,-4.59,-0.02,-2.11,6mo,19,181.95
2021-11-08,212.5,225.04,212.01,218.64,2157900,218.64,213.25,5.39,0.03,2.53,6mo,20,181.21
2021-11-09,222.0,223.49,204.44,206.6,1845300,206.6,218.64,-12.04,-0.06,-5.51,6mo,21,180.48
2021-11-10,202.12,207.39,196.5,199.19,1309400,199.19,206.6,-7.41,-0.04,-3.59,6mo,22,179.74
2021-11-11,200.0,208.09,198.15,204.32,1079400,204.32,199.19,5.13,0.03,2.58,6mo,23,179.0
2021-11-12,202.14,205.36,197.88,202.1,928000,202.1,204.32,-2.22,-0.01,-1.09,6mo,24,178.26
2021-11-15,203.86,211.5,201.69,209.14,1466400,209.14,202.1,7.04,0.03,3.48,6mo,25,177.52
2021-11-16,209.02,212.57,203.63,207.18,1214600,207.18,209.14,-1.96,-0.01,-0.94,6mo,26,176.78
2021-11-17,206.3,217.7,206.0,210.0,1352700,210.0,207.18,2.82,0.01,1.36,6mo,27,176.04
2021-11-18,210.25,215.14,207.5,210.12,1004400,210.12,210.0,0.12,0.0,0.06,6mo,28,175.31
2021-11-19,209.14,229.39,208.25,228.8,3034200,228.8,210.12,18.68,0.09,8.89,6mo,29,174.57
2021-11-22,230.46,249.64,229.75,247.55,4371400,247.55,228.8,18.75,0.08,8.19,6mo,30,173.83
2021-11-23,243.84,252.2,212.56,213.9,3345200,213.9,247.55,-33.65,-0.14,-13.59,6mo,31,173.09
2021-11-24,217.25,223.99,208.0,211.78,1309400,211.78,213.9,-2.12,-0.01,-0.99,6mo,32,172.35
2021-11-26,208.08,211.73,199.2,199.72,1235300,199.72,211.78,-12.06,-0.06,-5.69,6mo,33,171.61
2021-11-29,204.0,207.91,200.94,202.01,1108800,202.01,199.72,2.29,0.01,1.15,6mo,34,170.87
2021-11-30,200.1,203.95,188.0,196.21,1723900,196.21,202.01,-5.8,-0.03,-2.87,6mo,35,170.14
2021-12-01,199.4,200.11,177.01,179.84,2351500,179.84,196.21,-16.37,-0.08,-8.34,6mo,36,169.4
2021-12-02,185.0,187.43,173.07,181.56,2087100,181.56,179.84,1.72,0.01,0.96,6mo,37,168.66
2021-12-03,181.0,183.93,159.05,172.39,4096700,172.39,181.56,-9.17,-0.05,-5.05,6mo,38,167.92
2021-12-06,166.0,173.34,163.2,167.12,2228600,167.12,172.39,-5.27,-0.03,-3.06,6mo,39,167.18
2021-12-07,175.18,181.98,170.51,177.81,1972400,177.81,167.12,10.69,0.06,6.4,6mo,40,166.44
2021-12-08,176.6,180.25,171.96,173.65,2611200,173.65,177.81,-4.16,-0.02,-2.34,6mo,41,165.7
