Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1981-09-22,0.03,0.03,0.03,0.03,7449469,0.02,,,,,1d
1981-09-23,0.03,0.03,0.03,0.03,7381125,0.02,0.02,0.0,0.0,0.0,1d
1981-09-24,0.03,0.03,0.03,0.03,5091609,0.02,0.02,0.0,0.0,0.0,1d
1981-09-25,0.03,0.03,0.03,0.03,7312781,0.02,0.02,0.0,0.0,0.0,1d
1981-09-28,0.03,0.03,0.03,0.03,5809219,0.02,0.02,0.0,0.0,0.0,1d
1981-09-29,0.03,0.03,0.03,0.03,3963938,0.02,0.02,0.0,0.0,0.0,1d
1981-09-30,0.03,0.03,0.03,0.03,5262469,0.02,0.02,0.0,0.0,0.0,1d
1981-10-01,0.03,0.03,0.03,0.03,4374000,0.02,0.02,0.0,0.0,0.0,1d
1981-10-02,0.03,0.04,0.03,0.03,3485531,0.02,0.02,0.0,0.0,0.0,1d
1981-10-05,0.03,0.04,0.03,0.03,1776938,0.02,0.02,0.0,0.0,0.0,1d
1981-10-06,0.03,0.04,0.03,0.03,2528719,0.02,0.02,0.0,0.0,0.0,1d
1981-10-07,0.03,0.04,0.03,0.03,4203141,0.02,0.02,0.0,0.0,0.0,1d
1981-10-08,0.03,0.04,0.03,0.03,136688,0.02,0.02,0.0,0.0,0.0,1d
1981-10-09,0.03,0.04,0.03,0.03,5638359,0.02,0.02,0.0,0.0,0.0,1d
1981-10-12,0.03,0.04,0.03,0.03,375891,0.02,0.02,0.0,0.0,0.0,1d
1981-10-13,0.03,0.04,0.03,0.03,1161844,0.02,0.02,0.0,0.0,0.0,1d
1981-10-14,0.03,0.04,0.03,0.03,375891,0.02,0.02,0.0,0.0,0.0,1d
1981-10-15,0.03,0.04,0.03,0.03,3109641,0.02,0.02,0.0,0.0,0.0,1d
1981-10-16,0.03,0.04,0.03,0.03,307547,0.02,0.02,0.0,0.0,0.0,1d
1981-10-19,0.03,0.04,0.03,0.03,1230188,0.02,0.02,0.0,0.0,0.0,1d
