Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-08 09:30:00,301.46,302.35,301.28,301.39,75254,301.39,,,,,1min,0,307.06
2022-04-08 09:31:00,301.56,301.72,301.36,301.72,6906,301.72,301.39,0.33,0.0,0.11,1min,1,307.07
2022-04-08 09:32:00,303.17,303.17,303.1,303.1,25316,303.1,301.72,1.38,0.0,0.46,1min,2,307.09
2022-04-08 09:33:00,303.33,303.72,302.97,303.6,15369,303.6,303.1,0.51,0.0,0.17,1min,3,307.1
2022-04-08 09:34:00,303.75,304.2,303.61,304.19,13571,304.19,303.6,0.59,0.0,0.19,1min,4,307.12
2022-04-08 09:35:00,304.07,304.18,303.73,304.06,16381,304.06,304.19,-0.13,-0.0,-0.04,1min,5,307.13
2022-04-08 09:36:00,303.86,303.92,302.71,302.74,12724,302.74,304.06,-1.32,-0.0,-0.43,1min,6,307.15
2022-04-08 09:37:00,302.85,303.43,302.69,303.36,9481,303.36,302.74,0.61,0.0,0.2,1min,7,307.16
2022-04-08 09:38:00,303.25,303.36,302.83,302.83,13576,302.83,303.36,-0.53,-0.0,-0.17,1min,8,307.18
2022-04-08 09:39:00,302.87,303.1,302.76,302.88,9994,302.88,302.83,0.05,0.0,0.02,1min,9,307.19
2022-04-08 09:40:00,302.88,303.3,302.72,302.79,8582,302.79,302.88,-0.09,-0.0,-0.03,1min,10,307.21
2022-04-08 09:41:00,302.91,303.28,302.76,303.06,9905,303.06,302.79,0.27,0.0,0.09,1min,11,307.23
2022-04-08 09:42:00,303.04,303.1,302.75,302.91,10645,302.91,303.06,-0.15,-0.0,-0.05,1min,12,307.24
2022-04-08 09:43:00,302.95,303.1,302.55,302.55,12733,302.55,302.91,-0.36,-0.0,-0.12,1min,13,307.26
2022-04-08 09:44:00,302.38,302.69,302.32,302.37,12316,302.37,302.55,-0.18,-0.0,-0.06,1min,14,307.27
2022-04-08 09:45:00,302.43,302.98,302.4,302.93,9336,302.93,302.37,0.56,0.0,0.19,1min,15,307.29
2022-04-08 09:46:00,302.8,303.12,302.55,302.62,8153,302.62,302.93,-0.31,-0.0,-0.1,1min,16,307.3
2022-04-08 09:47:00,302.75,303.5,302.5,303.05,12245,303.05,302.62,0.43,0.0,0.14,1min,17,307.32
2022-04-08 09:48:00,303.08,303.19,302.96,303.12,4781,303.12,303.05,0.08,0.0,0.02,1min,18,307.33
2022-04-08 09:49:00,303.11,303.35,302.89,303.19,5642,303.19,303.12,0.07,0.0,0.02,1min,19,307.35
2022-04-08 09:50:00,303.15,303.47,303.11,303.3,8756,303.3,303.19,0.11,0.0,0.03,1min,20,307.36
2022-04-08 09:51:00,303.24,303.81,303.16,303.81,9105,303.81,303.3,0.51,0.0,0.17,1min,21,307.38
2022-04-08 09:52:00,303.83,303.83,303.18,303.18,12385,303.18,303.81,-0.63,-0.0,-0.21,1min,22,307.39
2022-04-08 09:53:00,303.17,303.36,302.86,302.86,10898,302.86,303.18,-0.32,-0.0,-0.11,1min,23,307.41
2022-04-08 09:54:00,302.78,302.98,302.48,302.95,9426,302.95,302.86,0.09,0.0,0.03,1min,24,307.42
2022-04-08 09:55:00,302.95,303.29,302.95,303.14,6223,303.14,302.95,0.19,0.0,0.06,1min,25,307.44
2022-04-08 09:56:00,303.22,303.65,303.17,303.65,9544,303.65,303.14,0.51,0.0,0.17,1min,26,307.45
2022-04-08 09:57:00,303.7,303.86,303.44,303.86,16724,303.86,303.65,0.21,0.0,0.07,1min,27,307.47
2022-04-08 09:58:00,303.91,304.64,303.91,304.64,62390,304.64,303.86,0.78,0.0,0.26,1min,28,307.48
2022-04-08 09:59:00,304.69,304.69,304.34,304.41,15122,304.41,304.64,-0.23,-0.0,-0.08,1min,29,307.5
