Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1981-09-21,0.03,0.03,0.03,0.03,27234984.0,0.02,,,,,1wk
1981-09-28,0.03,0.04,0.03,0.03,22895157.0,0.02,0.02,0.0,0.0,0.0,1wk
1981-10-05,0.03,0.04,0.03,0.03,14283845.0,0.02,0.02,0.0,0.0,0.0,1wk
1981-10-12,0.03,0.04,0.03,0.03,5330814.0,0.02,0.02,0.0,0.0,0.0,1wk
1981-10-19,0.03,0.05,0.03,0.04,20161408.0,0.02,0.02,0.01,0.33,32.93,1wk
1981-10-26,0.04,0.05,0.04,0.04,10080702.0,0.02,0.02,0.0,0.0,0.0,1wk
1981-11-02,0.05,0.05,0.05,0.05,7483641.0,0.03,0.02,0.01,0.26,25.69,1wk
1981-11-09,0.05,0.05,0.04,0.04,8611314.0,0.02,0.03,-0.01,-0.2,-20.44,1wk
1981-11-16,0.04,0.05,0.04,0.05,6253453.0,0.03,0.02,0.01,0.26,25.69,1wk
1981-11-23,0.05,0.05,0.05,0.05,1640250.0,0.03,0.03,0.0,0.0,0.0,1wk
1981-11-30,0.05,0.06,0.05,0.05,7141923.0,0.03,0.03,0.0,0.0,0.0,1wk
1981-12-07,0.06,0.06,0.06,0.06,9089720.0,0.04,0.03,0.01,0.2,19.71,1wk
1981-12-14,0.06,0.06,0.05,0.05,7176094.0,0.03,0.04,-0.01,-0.16,-16.46,1wk
1981-12-21,0.05,0.05,0.05,0.05,5194126.0,0.03,0.03,0.0,0.0,0.0,1wk
1981-12-28,0.05,0.06,0.05,0.05,1571906.0,0.03,0.03,0.0,0.0,0.0,1wk
1982-01-04,0.05,0.06,0.05,0.06,4339830.0,0.04,0.03,0.01,0.2,19.71,1wk
1982-01-11,0.06,0.06,0.06,0.06,1059329.0,0.04,0.04,0.0,0.0,0.0,1wk
1982-01-18,0.06,0.06,0.06,0.06,4681547.0,0.04,0.04,-0.0,-0.0,-0.3,1wk
1982-01-20,,,,,,,0.04,,,,1wk
1982-01-25,0.06,0.06,0.06,0.06,3234938.0,0.04,,,,,1wk
1982-02-01,0.06,0.06,0.06,0.06,3348844.0,0.04,0.04,0.0,0.0,0.0,1wk
