Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-05,309.84,315.85,309.74,315.4,4697200,309.02,,,,,1yr,0,318.82
2021-04-06,313.61,315.94,313.13,313.78,3988600,307.43,309.02,-1.59,-0.01,-0.51,1yr,1,319.01
2021-04-07,312.84,315.14,310.93,312.47,3799300,306.15,307.43,-1.28,-0.0,-0.42,1yr,2,319.21
2021-04-08,312.7,315.25,310.59,314.43,4035600,308.07,306.15,1.92,0.01,0.63,1yr,3,319.4
2021-04-09,315.37,319.32,314.75,319.23,4607800,312.77,308.07,4.7,0.02,1.53,1yr,4,319.6
2021-04-12,317.72,321.31,317.31,320.79,3556800,314.3,312.77,1.53,0.0,0.49,1yr,5,319.79
2021-04-13,320.53,320.9,317.0,320.4,3635100,313.92,314.3,-0.38,-0.0,-0.12,1yr,6,319.99
2021-04-14,319.71,322.7,319.29,320.02,3440600,313.54,313.92,-0.37,-0.0,-0.12,1yr,7,320.18
2021-04-15,320.21,323.4,320.05,322.74,3508200,316.21,313.54,2.66,0.01,0.85,1yr,8,320.37
2021-04-16,324.84,328.67,323.94,328.08,6213100,321.44,316.21,5.23,0.02,1.65,1yr,9,320.57
2021-04-19,326.49,328.83,325.44,326.85,4494300,320.24,321.44,-1.21,-0.0,-0.37,1yr,10,320.76
2021-04-20,326.0,327.69,322.16,323.96,4462900,317.4,320.24,-2.83,-0.01,-0.88,1yr,11,320.96
2021-04-21,324.96,327.91,323.89,325.95,3740100,319.35,317.4,1.95,0.01,0.61,1yr,12,321.15
2021-04-22,326.2,326.43,318.84,321.46,4875000,314.95,319.35,-4.4,-0.01,-1.38,1yr,13,321.34
2021-04-23,322.19,325.53,319.58,323.89,3405700,317.34,314.95,2.38,0.01,0.76,1yr,14,321.54
2021-04-26,323.68,324.0,319.32,319.99,2848500,313.51,317.34,-3.82,-0.01,-1.2,1yr,15,321.73
2021-04-27,320.5,322.47,320.38,320.59,3335800,314.1,313.51,0.59,0.0,0.19,1yr,16,321.93
2021-04-28,321.95,322.96,319.3,319.71,2713400,313.24,314.1,-0.86,-0.0,-0.27,1yr,17,322.12
2021-04-29,321.71,325.79,321.08,325.34,3261900,318.76,313.24,5.52,0.02,1.76,1yr,18,322.32
2021-04-30,325.05,325.83,321.61,323.67,3118700,317.12,318.76,-1.64,-0.01,-0.51,1yr,19,322.51
2021-05-03,326.28,331.62,325.68,330.27,3683700,323.59,317.12,6.47,0.02,2.04,1yr,20,322.7
2021-05-04,329.12,333.23,328.88,332.77,3954400,326.04,323.59,2.45,0.01,0.76,1yr,21,322.9
2021-05-05,334.25,334.25,331.16,332.05,3227200,325.33,326.04,-0.71,-0.0,-0.22,1yr,22,323.09
2021-05-06,333.67,337.81,333.23,337.58,3539600,330.75,325.33,5.42,0.02,1.67,1yr,23,323.29
2021-05-07,336.68,339.81,335.53,339.25,2998100,332.38,330.75,1.64,0.0,0.49,1yr,24,323.48
2021-05-10,340.45,345.69,339.54,341.12,4840600,334.22,332.38,1.83,0.01,0.55,1yr,25,323.68
2021-05-11,337.55,338.0,328.21,330.66,5500900,323.97,334.22,-10.25,-0.03,-3.07,1yr,26,323.87
2021-05-12,326.52,328.8,316.27,317.0,5822000,310.58,323.97,-13.38,-0.04,-4.13,1yr,27,324.06
2021-05-13,319.0,327.42,318.69,325.42,5159800,318.83,310.58,8.25,0.03,2.66,1yr,28,324.26
2021-05-14,326.29,327.32,321.86,323.63,3998000,317.08,318.83,-1.75,-0.01,-0.55,1yr,29,324.45
2021-05-17,321.0,322.83,315.31,320.01,4388000,313.53,317.08,-3.55,-0.01,-1.12,1yr,30,324.65
2021-05-18,320.0,324.56,314.78,316.75,7010300,310.34,313.53,-3.19,-0.01,-1.02,1yr,31,324.84
2021-05-19,312.0,314.75,309.07,314.45,5242100,308.09,310.34,-2.25,-0.01,-0.73,1yr,32,325.04
2021-05-20,314.89,319.71,314.89,315.9,3854700,309.51,308.09,1.42,0.0,0.46,1yr,33,325.23
2021-05-21,317.0,319.28,314.45,315.77,3920600,309.38,309.51,-0.13,-0.0,-0.04,1yr,34,325.42
2021-05-24,316.84,318.74,314.59,314.84,2930600,308.47,309.38,-0.91,-0.0,-0.29,1yr,35,325.62
2021-05-25,315.53,317.1,314.25,316.75,3523300,310.34,308.47,1.87,0.01,0.61,1yr,36,325.81
2021-05-26,317.81,321.38,316.68,317.33,2881600,310.91,310.34,0.57,0.0,0.18,1yr,37,326.01
2021-05-27,317.3,320.41,317.3,318.77,3734800,312.32,310.91,1.41,0.0,0.45,1yr,38,326.2
2021-05-28,320.37,321.51,318.85,318.91,3194000,312.46,312.32,0.14,0.0,0.04,1yr,39,326.4
