Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-08 09:30:00,301.46,304.2,301.28,304.19,136416,304.19,,,,,5min
2022-04-08 09:35:00,304.07,304.18,302.69,302.88,62156,302.88,304.19,-1.31,-0.0,-0.43,5min
2022-04-08 09:40:00,302.88,303.3,302.32,302.37,54181,302.37,302.88,-0.51,-0.0,-0.17,5min
2022-04-08 09:45:00,302.43,303.5,302.4,303.19,40157,303.19,302.37,0.82,0.0,0.27,5min
2022-04-08 09:50:00,303.15,303.83,302.48,302.95,50570,302.95,303.19,-0.24,-0.0,-0.08,5min
2022-04-08 09:55:00,302.95,304.69,302.95,304.41,110003,304.41,302.95,1.46,0.0,0.48,5min
2022-04-08 10:00:00,304.41,304.8,303.83,304.48,68653,304.48,304.41,0.07,0.0,0.02,5min
2022-04-08 10:05:00,304.39,306.64,304.11,306.13,83348,306.13,304.48,1.65,0.01,0.54,5min
2022-04-08 10:10:00,306.17,306.64,305.75,306.35,94855,306.35,306.13,0.22,0.0,0.07,5min
2022-04-08 10:15:00,306.37,307.07,305.8,306.92,86009,306.92,306.35,0.57,0.0,0.19,5min
2022-04-08 10:20:00,307.07,308.87,307.03,308.71,152440,308.71,306.92,1.79,0.01,0.58,5min
2022-04-08 10:25:00,308.72,310.5,308.71,310.21,227147,310.21,308.71,1.5,0.0,0.49,5min
2022-04-08 10:30:00,310.15,310.71,309.51,309.68,159786,309.68,310.21,-0.53,-0.0,-0.17,5min
2022-04-08 10:35:00,309.61,310.99,309.61,310.83,126822,310.83,309.68,1.15,0.0,0.37,5min
2022-04-08 10:40:00,310.91,310.93,309.48,309.81,92176,309.81,310.83,-1.02,-0.0,-0.33,5min
2022-04-08 10:45:00,309.8,310.65,309.71,310.08,70481,310.08,309.81,0.27,0.0,0.09,5min
2022-04-08 10:50:00,310.01,311.04,310.01,310.93,68750,310.93,310.08,0.85,0.0,0.28,5min
2022-04-08 10:55:00,311.0,311.25,310.44,311.12,66328,311.12,310.93,0.19,0.0,0.06,5min
2022-04-08 11:00:00,311.06,311.4,310.8,310.91,78429,310.91,311.12,-0.21,-0.0,-0.07,5min
2022-04-08 11:05:00,310.81,311.11,310.63,310.8,42146,310.8,310.91,-0.11,-0.0,-0.04,5min
2022-04-08 11:10:00,310.76,310.76,310.25,310.48,49109,310.48,310.8,-0.32,-0.0,-0.1,5min
2022-04-08 11:15:00,310.51,310.69,310.22,310.32,61381,310.32,310.48,-0.16,-0.0,-0.05,5min
2022-04-08 11:20:00,310.31,310.31,309.45,309.62,67308,309.62,310.32,-0.7,-0.0,-0.23,5min
2022-04-08 11:25:00,309.47,310.5,309.18,310.37,74520,310.37,309.62,0.75,0.0,0.24,5min
2022-04-08 11:30:00,310.39,311.07,310.32,310.64,56784,310.64,310.37,0.26,0.0,0.08,5min
2022-04-08 11:35:00,310.62,310.62,309.74,310.02,49052,310.02,310.64,-0.62,-0.0,-0.2,5min
2022-04-08 11:40:00,310.08,310.36,310.01,310.2,39225,310.2,310.02,0.18,0.0,0.06,5min
2022-04-08 11:45:00,310.13,310.8,310.0,310.58,34682,310.58,310.2,0.38,0.0,0.12,5min
2022-04-08 11:50:00,310.53,311.22,310.5,310.91,49444,310.91,310.58,0.33,0.0,0.11,5min
2022-04-08 11:55:00,310.84,311.1,310.63,310.67,34095,310.67,310.91,-0.25,-0.0,-0.08,5min
2022-04-08 12:00:00,310.76,311.15,310.52,311.03,33660,311.03,310.67,0.36,0.0,0.12,5min
2022-04-08 12:05:00,310.96,311.1,310.8,310.95,28550,310.95,311.03,-0.08,-0.0,-0.03,5min
2022-04-08 12:10:00,310.87,310.87,310.07,310.17,44328,310.17,310.95,-0.78,-0.0,-0.25,5min
2022-04-08 12:15:00,310.13,310.37,309.72,310.27,42797,310.27,310.17,0.1,0.0,0.03,5min
2022-04-08 12:20:00,310.35,310.67,310.35,310.59,20493,310.59,310.27,0.32,0.0,0.1,5min
2022-04-08 12:25:00,310.6,311.17,310.58,310.87,32897,310.87,310.59,0.28,0.0,0.09,5min
2022-04-08 12:30:00,310.88,311.0,310.21,310.33,41697,310.33,310.87,-0.54,-0.0,-0.17,5min
2022-04-08 12:35:00,310.36,310.37,310.06,310.13,31555,310.13,310.33,-0.2,-0.0,-0.06,5min
2022-04-08 12:40:00,310.19,310.5,310.19,310.36,28284,310.36,310.13,0.23,0.0,0.07,5min
2022-04-08 12:45:00,310.23,310.71,310.14,310.64,46606,310.64,310.36,0.28,0.0,0.09,5min
2022-04-08 12:50:00,310.65,310.83,310.49,310.73,50575,310.73,310.64,0.09,0.0,0.03,5min
