Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-02,0.0,0.22,0.22,0.22,0,0.07,,,,,1d
1962-01-03,0.0,0.22,0.22,0.22,345600,0.07,0.07,-0.0,-0.02,-1.55,1d
1962-01-04,0.0,0.22,0.22,0.22,216000,0.07,0.07,-0.0,-0.01,-1.05,1d
1962-01-05,0.0,0.22,0.21,0.21,129600,0.06,0.07,-0.0,-0.02,-1.6,1d
1962-01-08,0.0,0.21,0.21,0.21,172800,0.06,0.06,-0.0,-0.02,-1.62,1d
1962-01-09,0.0,0.21,0.21,0.21,43200,0.06,0.06,0.0,0.01,1.1,1d
1962-01-10,0.0,0.22,0.21,0.22,172800,0.07,0.06,0.0,0.02,2.17,1d
1962-01-11,0.0,0.22,0.22,0.22,172800,0.07,0.07,-0.0,-0.01,-0.53,1d
1962-01-12,0.0,0.22,0.21,0.21,259200,0.06,0.07,-0.0,-0.01,-1.07,1d
1962-01-15,0.0,0.22,0.21,0.21,129600,0.06,0.06,0.0,0.0,0.0,1d
1962-01-16,0.0,0.22,0.21,0.21,345600,0.06,0.06,-0.0,-0.01,-0.54,1d
1962-01-17,0.0,0.22,0.21,0.21,259200,0.06,0.06,0.0,0.01,0.54,1d
1962-01-18,0.0,0.21,0.21,0.21,172800,0.06,0.06,-0.0,-0.01,-0.81,1d
1962-01-19,0.0,0.21,0.21,0.21,129600,0.07,0.06,0.0,0.01,1.09,1d
1962-01-22,0.0,0.21,0.21,0.21,172800,0.06,0.07,-0.0,-0.01,-1.08,1d
1962-01-23,0.0,0.21,0.21,0.21,259200,0.06,0.06,-0.0,-0.01,-0.82,1d
1962-01-24,0.0,0.21,0.21,0.21,302400,0.06,0.06,-0.0,-0.0,-0.27,1d
1962-01-25,0.0,0.21,0.21,0.21,129600,0.06,0.06,-0.0,-0.0,-0.28,1d
1962-01-26,0.0,0.21,0.21,0.21,561600,0.06,0.06,-0.0,-0.0,-0.28,1d
1962-01-29,0.0,0.21,0.21,0.21,216000,0.06,0.06,0.0,0.01,1.39,1d
1962-01-30,0.0,0.21,0.21,0.21,734400,0.06,0.06,-0.0,-0.01,-0.55,1d
