Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",178.84,179.37,177.93,177.93,1663442,177.93,,,,,15min
"May 18, 2022 09:45 AM",177.93,178.07,177.24,177.74,214126,177.74,177.93,-0.18,-0.0,-0.1,15min
"May 18, 2022 10:00 AM",177.71,177.93,177.03,177.55,179092,177.55,177.74,-0.19,-0.0,-0.11,15min
"May 18, 2022 10:15 AM",177.53,177.7,177.25,177.59,289667,177.59,177.55,0.04,0.0,0.02,15min
"May 18, 2022 10:30 AM",177.63,178.27,177.55,178.23,474148,178.23,177.59,0.64,0.0,0.36,15min
"May 18, 2022 10:45 AM",178.23,178.25,177.46,177.57,211584,177.57,178.23,-0.66,-0.0,-0.37,15min
"May 18, 2022 11:00 AM",177.56,177.64,177.16,177.34,123362,177.34,177.57,-0.22,-0.0,-0.13,15min
"May 18, 2022 11:15 AM",177.35,177.58,177.16,177.56,111592,177.56,177.34,0.22,0.0,0.12,15min
"May 18, 2022 11:30 AM",177.58,177.6,177.12,177.31,131317,177.31,177.56,-0.25,-0.0,-0.14,15min
"May 18, 2022 11:45 AM",177.3,177.48,177.18,177.35,155394,177.35,177.31,0.04,0.0,0.03,15min
"May 18, 2022 12:00 PM",177.35,177.59,177.2,177.31,141655,177.31,177.35,-0.04,-0.0,-0.03,15min
"May 18, 2022 12:15 PM",177.32,177.57,177.24,177.51,132547,177.51,177.31,0.2,0.0,0.11,15min
"May 18, 2022 12:30 PM",177.51,177.72,177.38,177.41,116280,177.41,177.51,-0.1,-0.0,-0.06,15min
"May 18, 2022 12:45 PM",177.41,177.51,177.17,177.37,96944,177.37,177.41,-0.04,-0.0,-0.02,15min
"May 18, 2022 01:00 PM",177.35,177.35,176.8,176.9,190164,176.9,177.37,-0.47,-0.0,-0.26,15min
"May 18, 2022 01:15 PM",176.91,176.91,176.69,176.9,140770,176.9,176.9,0.0,0.0,0.0,15min
"May 18, 2022 01:30 PM",176.91,176.95,176.59,176.84,145789,176.84,176.9,-0.06,-0.0,-0.03,15min
"May 18, 2022 01:45 PM",176.85,176.99,176.61,176.88,150033,176.88,176.84,0.04,0.0,0.02,15min
"May 18, 2022 02:00 PM",176.93,177.21,176.89,176.96,127205,176.96,176.88,0.08,0.0,0.05,15min
"May 18, 2022 02:15 PM",176.96,177.38,176.84,177.35,177391,177.35,176.96,0.38,0.0,0.22,15min
"May 18, 2022 02:30 PM",177.35,177.35,176.57,176.6,157862,176.6,177.35,-0.74,-0.0,-0.42,15min
"May 18, 2022 02:45 PM",176.6,176.81,176.42,176.57,180899,176.57,176.6,-0.03,-0.0,-0.01,15min
"May 18, 2022 03:00 PM",176.57,176.62,176.18,176.21,142875,176.21,176.57,-0.36,-0.0,-0.21,15min
"May 18, 2022 03:15 PM",176.21,176.32,175.64,175.69,190960,175.69,176.21,-0.52,-0.0,-0.3,15min
"May 18, 2022 03:30 PM",175.68,175.83,175.37,175.49,387360,175.49,175.69,-0.2,-0.0,-0.11,15min
"May 18, 2022 03:45 PM",175.49,175.67,175.17,175.54,890941,175.54,175.49,0.05,0.0,0.03,15min
"May 18, 2022 04:00 PM",175.5,175.5,175.5,175.5,0,175.5,175.54,-0.04,-0.0,-0.02,15min
