Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,170.21,170.46,169.1,170.22,1065518,170.22,,,,,1hr
2022-01-03 10:30:00,170.19,170.31,169.65,170.19,630418,170.19,170.22,-0.03,-0.0,-0.02,1hr
2022-01-03 11:30:00,170.2,170.51,169.83,170.31,462930,170.31,170.19,0.12,0.0,0.07,1hr
2022-01-03 12:30:00,170.32,170.58,170.15,170.55,373851,170.55,170.31,0.24,0.0,0.14,1hr
2022-01-03 13:30:00,170.56,170.98,170.49,170.73,323314,170.73,170.55,0.18,0.0,0.11,1hr
2022-01-03 14:30:00,170.73,170.99,170.73,170.88,444766,170.88,170.73,0.15,0.0,0.09,1hr
2022-01-03 15:30:00,170.9,171.6,170.86,171.53,839993,171.53,170.88,0.65,0.0,0.38,1hr
2022-01-04 09:30:00,171.06,171.43,170.6,170.99,1307433,170.99,171.53,-0.54,-0.0,-0.31,1hr
2022-01-04 10:30:00,170.98,172.0,170.85,171.8,961532,171.8,170.99,0.81,0.0,0.47,1hr
2022-01-04 11:30:00,171.8,172.29,171.54,171.92,665290,171.92,171.8,0.12,0.0,0.07,1hr
2022-01-04 12:30:00,171.92,171.92,171.19,171.22,610509,171.22,171.92,-0.7,-0.0,-0.41,1hr
2022-01-04 13:30:00,171.21,171.46,171.15,171.43,624612,171.43,171.22,0.21,0.0,0.12,1hr
2022-01-04 14:30:00,171.44,171.59,171.28,171.52,658496,171.52,171.43,0.09,0.0,0.05,1hr
2022-01-04 15:30:00,171.57,171.82,171.08,171.08,714428,171.08,171.52,-0.44,-0.0,-0.26,1hr
2022-01-05 09:30:00,172.0,172.88,171.62,172.01,1090909,172.01,171.08,0.93,0.01,0.55,1hr
2022-01-05 10:30:00,172.04,172.69,171.84,172.46,620055,172.46,172.01,0.44,0.0,0.26,1hr
2022-01-05 11:30:00,172.44,173.33,172.4,173.32,572884,173.32,172.46,0.87,0.01,0.5,1hr
2022-01-05 12:30:00,173.32,173.47,172.9,173.01,469354,173.01,173.32,-0.31,-0.0,-0.18,1hr
2022-01-05 13:30:00,173.05,173.35,172.62,172.66,614494,172.66,173.01,-0.35,-0.0,-0.2,1hr
2022-01-05 14:30:00,172.66,173.23,172.47,173.0,912908,173.0,172.66,0.34,0.0,0.2,1hr
2022-01-05 15:30:00,173.01,173.1,172.07,172.19,1023425,172.19,173.0,-0.81,-0.0,-0.47,1hr
2022-01-06 09:30:00,172.15,172.5,170.83,170.89,1746832,170.89,172.19,-1.3,-0.01,-0.75,1hr
2022-01-06 10:30:00,170.93,171.85,170.8,171.57,834747,171.57,170.89,0.68,0.0,0.4,1hr
2022-01-06 11:30:00,171.57,172.18,171.18,172.09,598433,172.09,171.57,0.51,0.0,0.3,1hr
2022-01-06 12:30:00,172.09,172.26,171.93,172.16,292242,172.16,172.09,0.07,0.0,0.04,1hr
2022-01-06 13:30:00,172.16,172.34,171.88,172.28,461255,172.28,172.16,0.12,0.0,0.07,1hr
2022-01-06 14:30:00,172.27,172.49,171.87,172.13,584540,172.13,172.28,-0.15,-0.0,-0.08,1hr
2022-01-06 15:30:00,172.15,172.24,171.58,171.65,934471,171.65,172.13,-0.48,-0.0,-0.28,1hr
2022-01-07 09:30:00,171.45,172.74,171.13,172.55,964922,172.55,171.65,0.9,0.01,0.52,1hr
2022-01-07 10:30:00,172.55,173.69,172.52,173.58,1102578,173.58,172.55,1.03,0.01,0.6,1hr
