Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-08 09:30:00,181.33,181.78,181.01,181.27,178826,181.27,,,,,1min,0,181.72
2022-04-08 09:31:00,181.21,181.6,181.16,181.43,9728,181.43,181.27,0.15,0.0,0.09,1min,1,181.72
2022-04-08 09:32:00,181.42,181.42,181.27,181.27,28084,181.27,181.43,-0.15,-0.0,-0.09,1min,2,181.72
2022-04-08 09:33:00,181.27,181.4,181.22,181.3,17884,181.3,181.27,0.03,0.0,0.02,1min,3,181.73
2022-04-08 09:34:00,181.32,181.55,181.29,181.45,11300,181.45,181.3,0.15,0.0,0.08,1min,4,181.73
2022-04-08 09:35:00,181.46,181.52,181.33,181.47,12861,181.47,181.45,0.02,0.0,0.01,1min,5,181.73
2022-04-08 09:36:00,181.53,181.81,181.43,181.62,20150,181.62,181.47,0.15,0.0,0.08,1min,6,181.73
2022-04-08 09:37:00,181.62,181.68,181.37,181.43,18922,181.43,181.62,-0.18,-0.0,-0.1,1min,7,181.74
2022-04-08 09:38:00,181.41,181.65,181.33,181.53,18514,181.53,181.43,0.1,0.0,0.05,1min,8,181.74
2022-04-08 09:39:00,181.52,181.7,181.46,181.68,10383,181.68,181.53,0.15,0.0,0.08,1min,9,181.74
2022-04-08 09:40:00,181.67,181.7,181.08,181.15,45092,181.15,181.68,-0.53,-0.0,-0.29,1min,10,181.75
2022-04-08 09:41:00,181.15,181.27,180.91,180.91,21917,180.91,181.15,-0.24,-0.0,-0.13,1min,11,181.75
2022-04-08 09:42:00,180.94,181.1,180.76,180.76,26543,180.76,180.91,-0.15,-0.0,-0.08,1min,12,181.75
2022-04-08 09:43:00,180.76,180.87,180.74,180.87,20724,180.87,180.76,0.11,0.0,0.06,1min,13,181.75
2022-04-08 09:44:00,180.89,180.93,180.7,180.79,30548,180.79,180.87,-0.08,-0.0,-0.04,1min,14,181.76
2022-04-08 09:45:00,180.85,180.97,180.78,180.8,26247,180.8,180.79,0.01,0.0,0.01,1min,15,181.76
2022-04-08 09:46:00,180.75,180.98,180.43,180.9,35541,180.9,180.8,0.1,0.0,0.05,1min,16,181.76
2022-04-08 09:47:00,180.95,181.0,180.72,180.77,18856,180.77,180.9,-0.13,-0.0,-0.07,1min,17,181.77
2022-04-08 09:48:00,180.74,180.84,180.62,180.84,5234,180.84,180.77,0.07,0.0,0.04,1min,18,181.77
2022-04-08 09:49:00,180.83,181.04,180.82,181.01,18781,181.01,180.84,0.18,0.0,0.1,1min,19,181.77
2022-04-08 09:50:00,180.99,181.18,180.97,181.13,38560,181.13,181.01,0.12,0.0,0.07,1min,20,181.77
2022-04-08 09:51:00,181.11,181.51,181.07,181.45,13080,181.45,181.13,0.32,0.0,0.17,1min,21,181.78
2022-04-08 09:52:00,181.46,181.62,181.43,181.62,8814,181.62,181.45,0.17,0.0,0.09,1min,22,181.78
2022-04-08 09:53:00,181.62,181.69,181.49,181.54,12890,181.54,181.62,-0.08,-0.0,-0.04,1min,23,181.78
2022-04-08 09:54:00,181.51,181.61,181.51,181.51,6136,181.51,181.54,-0.03,-0.0,-0.02,1min,24,181.79
2022-04-08 09:55:00,181.52,181.55,181.4,181.48,13128,181.48,181.51,-0.03,-0.0,-0.02,1min,25,181.79
2022-04-08 09:56:00,181.46,181.6,181.46,181.55,7398,181.55,181.48,0.07,0.0,0.04,1min,26,181.79
2022-04-08 09:57:00,181.55,181.55,181.46,181.48,7560,181.48,181.55,-0.07,-0.0,-0.04,1min,27,181.79
2022-04-08 09:58:00,181.46,181.66,181.44,181.58,171743,181.58,181.48,0.1,0.0,0.06,1min,28,181.8
2022-04-08 09:59:00,181.6,181.72,181.6,181.62,9211,181.62,181.58,0.04,0.0,0.02,1min,29,181.8
2022-04-08 10:00:00,181.66,181.88,181.66,181.81,11613,181.81,181.62,0.19,0.0,0.1,1min,30,181.8
2022-04-08 10:01:00,181.84,182.02,181.84,182.0,27186,182.0,181.81,0.19,0.0,0.1,1min,31,181.81
2022-04-08 10:02:00,181.97,182.14,181.9,181.93,18125,181.93,182.0,-0.07,-0.0,-0.04,1min,32,181.81
2022-04-08 10:03:00,181.91,181.91,181.73,181.82,10727,181.82,181.93,-0.11,-0.0,-0.06,1min,33,181.81
2022-04-08 10:04:00,181.79,181.8,181.68,181.8,14274,181.8,181.82,-0.03,-0.0,-0.01,1min,34,181.81
2022-04-08 10:05:00,181.72,181.74,181.6,181.6,7561,181.6,181.8,-0.2,-0.0,-0.11,1min,35,181.82
2022-04-08 10:06:00,181.63,181.69,181.6,181.66,7829,181.66,181.6,0.06,0.0,0.03,1min,36,181.82
2022-04-08 10:07:00,181.68,181.86,181.63,181.7,15500,181.7,181.66,0.04,0.0,0.02,1min,37,181.82
2022-04-08 10:08:00,181.74,181.79,181.55,181.62,9576,181.62,181.7,-0.08,-0.0,-0.04,1min,38,181.83
2022-04-08 10:09:00,181.64,181.64,181.44,181.46,10898,181.46,181.62,-0.15,-0.0,-0.09,1min,39,181.83
2022-04-08 10:10:00,181.49,181.49,181.4,181.49,9805,181.49,181.46,0.03,0.0,0.01,1min,40,181.83
2022-04-08 10:11:00,181.54,181.65,181.54,181.61,7868,181.61,181.49,0.12,0.0,0.07,1min,41,181.83
2022-04-08 10:12:00,181.6,181.67,181.51,181.6,6670,181.6,181.61,-0.01,-0.0,-0.01,1min,42,181.84
2022-04-08 10:13:00,181.62,181.69,181.59,181.64,13612,181.64,181.6,0.04,0.0,0.02,1min,43,181.84
2022-04-08 10:14:00,181.57,181.75,181.57,181.61,10116,181.61,181.64,-0.03,-0.0,-0.02,1min,44,181.84
2022-04-08 10:15:00,181.65,181.65,181.45,181.46,9977,181.46,181.61,-0.15,-0.0,-0.09,1min,45,181.85
2022-04-08 10:16:00,181.47,181.48,181.44,181.45,4027,181.45,181.46,-0.01,-0.0,-0.0,1min,46,181.85
2022-04-08 10:17:00,181.45,181.47,181.32,181.37,8012,181.37,181.45,-0.08,-0.0,-0.04,1min,47,181.85
2022-04-08 10:18:00,181.41,181.44,181.4,181.4,4582,181.4,181.37,0.03,0.0,0.02,1min,48,181.85
2022-04-08 10:19:00,181.39,181.52,181.35,181.42,20632,181.42,181.4,0.02,0.0,0.01,1min,49,181.86
2022-04-08 10:20:00,181.4,181.48,181.34,181.46,13559,181.46,181.42,0.04,0.0,0.02,1min,50,181.86
2022-04-08 10:21:00,181.43,181.51,181.36,181.37,6688,181.37,181.46,-0.1,-0.0,-0.05,1min,51,181.86
2022-04-08 10:22:00,181.37,181.4,181.32,181.33,27357,181.33,181.37,-0.04,-0.0,-0.02,1min,52,181.87
2022-04-08 10:23:00,181.32,181.34,181.25,181.27,12180,181.27,181.33,-0.06,-0.0,-0.03,1min,53,181.87
2022-04-08 10:24:00,181.31,181.41,181.3,181.35,16236,181.35,181.27,0.08,0.0,0.04,1min,54,181.87
2022-04-08 10:25:00,181.35,181.41,181.19,181.19,16005,181.19,181.35,-0.16,-0.0,-0.09,1min,55,181.87
2022-04-08 10:26:00,181.19,181.19,180.93,181.05,16327,181.05,181.19,-0.14,-0.0,-0.08,1min,56,181.88
2022-04-08 10:27:00,181.05,181.05,180.82,180.9,10173,180.9,181.05,-0.15,-0.0,-0.08,1min,57,181.88
2022-04-08 10:28:00,180.92,180.92,180.78,180.84,6541,180.84,180.9,-0.06,-0.0,-0.03,1min,58,181.88
2022-04-08 10:29:00,180.9,180.98,180.88,180.91,11672,180.91,180.84,0.07,0.0,0.04,1min,59,181.89
2022-04-08 10:30:00,180.91,180.96,180.88,180.94,11230,180.94,180.91,0.03,0.0,0.02,1min,60,181.89
2022-04-08 10:31:00,180.94,181.09,180.94,181.08,12685,181.08,180.94,0.14,0.0,0.08,1min,61,181.89
2022-04-08 10:32:00,181.1,181.12,181.01,181.11,8327,181.11,181.08,0.03,0.0,0.01,1min,62,181.89
2022-04-08 10:33:00,181.12,181.38,181.12,181.33,10080,181.33,181.11,0.22,0.0,0.12,1min,63,181.9
2022-04-08 10:34:00,181.32,181.37,181.3,181.37,2823,181.37,181.33,0.04,0.0,0.02,1min,64,181.9
2022-04-08 10:35:00,181.38,181.49,181.36,181.41,7184,181.41,181.37,0.05,0.0,0.03,1min,65,181.9
2022-04-08 10:36:00,181.4,181.48,181.32,181.37,7060,181.37,181.41,-0.05,-0.0,-0.03,1min,66,181.91
2022-04-08 10:37:00,181.34,181.38,181.26,181.33,6246,181.33,181.37,-0.04,-0.0,-0.02,1min,67,181.91
2022-04-08 10:38:00,181.3,181.32,181.2,181.31,9073,181.31,181.33,-0.02,-0.0,-0.01,1min,68,181.91
2022-04-08 10:39:00,181.3,181.41,181.28,181.3,10418,181.3,181.31,-0.01,-0.0,-0.01,1min,69,181.91
2022-04-08 10:40:00,181.28,181.33,181.23,181.29,6156,181.29,181.3,-0.01,-0.0,-0.01,1min,70,181.92
2022-04-08 10:41:00,181.32,181.46,181.3,181.46,6749,181.46,181.29,0.17,0.0,0.09,1min,71,181.92
2022-04-08 10:42:00,181.45,181.49,181.41,181.47,4466,181.47,181.46,0.01,0.0,0.01,1min,72,181.92
2022-04-08 10:43:00,181.47,181.54,181.43,181.54,10935,181.54,181.47,0.07,0.0,0.04,1min,73,181.93
2022-04-08 10:44:00,181.5,181.62,181.5,181.59,10104,181.59,181.54,0.05,0.0,0.03,1min,74,181.93
