Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",180.72,185.94,179.95,183.08,14380800,183.08,,,,,1mo
"April 20, 2022",182.24,184.32,181.9,183.89,8044900,183.89,183.08,0.81,0.0,0.44,1mo
"April 21, 2022",183.93,184.87,182.56,183.36,6969200,183.36,183.89,-0.53,-0.0,-0.29,1mo
"April 22, 2022",182.47,183.15,181.38,181.54,8003600,181.54,183.36,-1.82,-0.01,-0.99,1mo
"April 25, 2022",182.34,186.69,182.1,186.01,11176500,186.01,181.54,4.47,0.02,2.46,1mo
"April 26, 2022",185.1,186.57,184.18,184.68,10190000,184.68,186.01,-1.33,-0.01,-0.72,1mo
"April 27, 2022",184.24,184.82,181.74,182.1,11090100,182.1,184.68,-2.58,-0.01,-1.4,1mo
"April 28, 2022",182.25,184.5,181.92,183.46,9403900,183.46,182.1,1.36,0.01,0.75,1mo
"April 29, 2022",182.5,182.55,180.2,180.46,8463100,180.46,183.46,-3.0,-0.02,-1.64,1mo
"May 02, 2022",180.47,181.41,177.03,178.64,7145400,178.64,180.46,-1.82,-0.01,-1.01,1mo
"May 03, 2022",178.8,180.63,177.68,178.29,5898700,178.29,178.64,-0.35,-0.0,-0.2,1mo
"May 04, 2022",178.15,180.5,177.15,180.2,5923000,180.2,178.29,1.91,0.01,1.07,1mo
"May 05, 2022",179.42,179.71,175.27,176.76,7089200,176.76,180.2,-3.44,-0.02,-1.91,1mo
"May 06, 2022",175.14,176.87,174.69,176.37,6433700,176.37,176.76,-0.39,-0.0,-0.22,1mo
"May 09, 2022",175.45,178.56,174.59,177.33,7855200,177.33,176.37,0.96,0.01,0.54,1mo
"May 10, 2022",178.23,179.18,176.5,177.09,8186700,177.09,177.33,-0.24,-0.0,-0.14,1mo
"May 11, 2022",175.96,178.32,175.88,176.13,6138900,176.13,177.09,-0.96,-0.01,-0.54,1mo
"May 12, 2022",176.47,177.95,174.71,177.87,6898600,177.87,176.13,1.74,0.01,0.99,1mo
"May 13, 2022",178.7,178.89,175.8,176.85,7731600,176.85,177.87,-1.02,-0.01,-0.57,1mo
"May 16, 2022",176.85,179.13,176.17,178.08,5516700,178.08,176.85,1.23,0.01,0.7,1mo
"May 17, 2022",178.72,179.7,176.59,178.82,5751100,178.82,178.08,0.74,0.0,0.42,1mo
"May 18, 2022",178.84,179.37,175.17,175.5,8603100,175.5,178.82,-3.32,-0.02,-1.86,1mo
