Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-01,0.0,0.22,0.21,0.21,691200.0,0.06,,,,,1wk
1962-01-08,0.0,0.22,0.21,0.21,820800.0,0.06,0.06,0.0,0.0,0.0,1wk
1962-01-15,0.0,0.22,0.21,0.21,1036800.0,0.07,0.06,0.0,0.0,0.27,1wk
1962-01-22,0.0,0.21,0.21,0.21,1425600.0,0.06,0.07,-0.0,-0.03,-2.7,1wk
1962-01-29,0.0,0.23,0.21,0.23,3844800.0,0.07,0.06,0.01,0.09,8.86,1wk
1962-02-05,0.0,0.26,0.23,0.25,9763200.0,0.07,0.07,0.01,0.08,8.4,1wk
1962-02-12,0.0,0.24,0.23,0.23,2505600.0,0.07,0.07,-0.0,-0.05,-5.16,1wk
1962-02-13,,,,,,,0.07,,,,1wk
1962-02-19,0.0,0.23,0.22,0.22,1166400.0,0.07,,,,,1wk
1962-02-26,0.0,0.23,0.22,0.22,1641600.0,0.07,0.07,0.0,0.02,1.84,1wk
1962-03-05,0.0,0.23,0.22,0.23,993600.0,0.07,0.07,0.0,0.02,1.81,1wk
1962-03-12,0.0,0.24,0.23,0.24,2203200.0,0.07,0.07,0.0,0.04,4.31,1wk
1962-03-19,0.0,0.24,0.23,0.23,950400.0,0.07,0.07,-0.0,-0.02,-1.95,1wk
1962-03-26,0.0,0.23,0.22,0.22,864000.0,0.07,0.07,-0.0,-0.04,-3.97,1wk
1962-04-02,0.0,0.23,0.22,0.22,604800.0,0.07,0.07,-0.0,-0.01,-0.52,1wk
1962-04-09,0.0,0.22,0.22,0.22,1209600.0,0.07,0.07,-0.0,-0.02,-1.56,1wk
1962-04-16,0.0,0.22,0.22,0.22,259200.0,0.07,0.07,-0.0,-0.0,-0.26,1wk
1962-04-23,0.0,0.22,0.21,0.21,1080000.0,0.06,0.07,-0.0,-0.05,-5.29,1wk
1962-04-30,0.0,0.21,0.2,0.21,1857600.0,0.06,0.06,0.0,0.03,2.51,1wk
1962-05-07,0.0,0.21,0.2,0.2,950400.0,0.06,0.06,-0.0,-0.04,-4.09,1wk
1962-05-14,0.0,0.21,0.2,0.2,1339200.0,0.06,0.06,0.0,0.01,0.57,1wk
1962-05-21,0.0,0.2,0.18,0.18,3801600.0,0.05,0.06,-0.01,-0.12,-11.86,1wk
1962-05-22,,,,,,,0.05,,,,1wk
1962-05-28,0.0,0.19,0.16,0.19,4320000.0,0.06,,,,,1wk
1962-06-04,0.0,0.18,0.17,0.18,2073600.0,0.05,0.06,-0.0,-0.04,-4.06,1wk
1962-06-11,0.0,0.18,0.15,0.17,3974400.0,0.05,0.05,-0.0,-0.05,-4.89,1wk
1962-06-18,0.0,0.17,0.16,0.16,2851200.0,0.05,0.05,-0.0,-0.05,-4.97,1wk
1962-06-25,0.0,0.18,0.16,0.18,4363200.0,0.05,0.05,0.01,0.12,11.89,1wk
1962-07-02,0.0,0.18,0.17,0.17,8553600.0,0.05,0.05,-0.0,-0.03,-2.74,1wk
