Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-09,162.12,162.93,159.78,161.25,8418300,157.26,,,,,1yr,0,165.69
2021-04-12,161.09,162.08,160.34,161.64,5022800,157.64,157.26,0.38,0.0,0.24,1yr,1,165.71
2021-04-13,156.86,159.93,156.53,159.48,18424100,155.53,157.64,-2.11,-0.01,-1.34,1yr,2,165.73
2021-04-14,157.83,160.11,157.54,159.92,7718300,155.96,155.53,0.43,0.0,0.28,1yr,3,165.74
2021-04-15,160.72,162.39,160.23,160.39,7524600,156.42,155.96,0.46,0.0,0.29,1yr,4,165.76
2021-04-16,161.34,162.51,160.56,162.24,9049400,158.22,156.42,1.8,0.01,1.15,1yr,5,165.78
2021-04-19,162.5,163.11,160.84,162.69,8353500,158.66,158.22,0.44,0.0,0.28,1yr,6,165.8
2021-04-20,161.0,167.79,161.0,166.48,14050700,162.36,158.66,3.7,0.02,2.33,1yr,7,165.81
2021-04-21,166.37,166.91,165.29,166.59,6333200,162.47,162.36,0.11,0.0,0.07,1yr,8,165.83
2021-04-22,165.84,166.28,164.62,165.18,7233000,161.09,162.47,-1.38,-0.01,-0.85,1yr,9,165.85
2021-04-23,164.53,166.06,164.0,165.52,6015300,161.42,161.09,0.33,0.0,0.21,1yr,10,165.87
2021-04-26,165.21,165.41,163.76,164.12,6027800,160.06,161.42,-1.37,-0.01,-0.85,1yr,11,165.88
2021-04-27,163.76,163.91,162.47,163.18,6217700,159.14,160.06,-0.92,-0.01,-0.57,1yr,12,165.9
2021-04-28,162.86,163.2,161.65,161.98,7448000,157.97,159.14,-1.17,-0.01,-0.74,1yr,13,165.92
2021-04-29,161.9,164.26,161.81,164.2,6394300,160.13,157.97,2.17,0.01,1.37,1yr,14,165.93
2021-04-30,164.15,164.33,162.52,162.73,9079100,158.7,160.13,-1.43,-0.01,-0.9,1yr,15,165.95
2021-05-03,163.6,165.32,163.12,165.21,6594100,161.12,158.7,2.42,0.02,1.52,1yr,16,165.97
2021-05-04,164.83,167.85,164.67,167.77,10179500,163.62,161.12,2.5,0.02,1.55,1yr,17,165.99
2021-05-05,167.5,168.4,166.79,167.07,7792300,162.93,163.62,-0.68,-0.0,-0.42,1yr,18,166.0
2021-05-06,166.79,167.89,166.24,167.74,5529900,163.59,162.93,0.65,0.0,0.4,1yr,19,166.02
