Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-10,173.69,173.69,172.16,173.09,7698400,171.99,,,,,3mo,0,165.35
2022-01-11,172.99,173.39,170.11,171.25,8341100,170.16,171.99,-1.83,-0.01,-1.06,3mo,1,165.53
2022-01-12,169.61,170.08,168.34,169.79,8116200,168.71,170.16,-1.45,-0.01,-0.85,3mo,2,165.71
2022-01-13,169.0,170.42,168.46,168.76,6159400,167.68,168.71,-1.02,-0.01,-0.61,3mo,3,165.89
2022-01-14,168.63,168.65,167.15,167.84,5847700,166.77,167.68,-0.91,-0.01,-0.55,3mo,4,166.07
2022-01-18,167.1,167.72,166.01,167.1,7815600,166.03,166.77,-0.74,-0.0,-0.44,3mo,5,166.25
2022-01-19,167.2,168.72,166.32,166.58,5926500,165.52,166.03,-0.52,-0.0,-0.31,3mo,6,166.43
2022-01-20,167.29,167.86,164.93,165.25,6011300,164.2,165.52,-1.32,-0.01,-0.8,3mo,7,166.61
2022-01-21,166.19,167.99,164.47,164.87,10550300,163.82,164.2,-0.38,-0.0,-0.23,3mo,8,166.79
2022-01-24,164.0,164.17,158.26,162.97,14054600,161.93,163.82,-1.89,-0.01,-1.15,3mo,9,166.97
2022-01-25,162.36,168.41,161.58,167.63,14081200,166.56,161.93,4.63,0.03,2.86,3mo,10,167.14
2022-01-26,167.54,169.22,166.23,168.38,9963200,167.31,166.56,0.75,0.0,0.45,3mo,11,167.32
2022-01-27,169.39,171.91,169.0,170.59,9066700,169.5,167.31,2.2,0.01,1.31,3mo,12,167.5
2022-01-28,170.86,171.84,169.3,171.79,9783100,170.69,169.5,1.19,0.01,0.7,3mo,13,167.68
2022-01-31,171.5,172.62,170.82,172.29,8054800,171.19,170.69,0.5,0.0,0.29,3mo,14,167.86
2022-02-01,171.74,171.98,169.43,170.88,8154700,169.79,171.19,-1.4,-0.01,-0.82,3mo,15,168.04
2022-02-02,169.65,172.99,169.65,172.77,7382800,171.67,169.79,1.88,0.01,1.11,3mo,16,168.22
2022-02-03,172.26,173.62,171.04,172.76,6240400,171.66,171.67,-0.01,-0.0,-0.01,3mo,17,168.4
2022-02-04,171.0,172.98,170.12,171.63,6392200,170.54,171.66,-1.12,-0.01,-0.65,3mo,18,168.58
2022-02-07,171.41,171.74,170.01,171.06,6065700,169.97,170.54,-0.57,-0.0,-0.33,3mo,19,168.76
2022-02-08,171.02,172.05,170.48,171.51,6296100,170.42,169.97,0.45,0.0,0.26,3mo,20,168.94
2022-02-09,172.07,172.24,171.25,171.49,5387500,170.4,170.42,-0.02,-0.0,-0.01,3mo,21,169.12
2022-02-10,171.21,171.22,169.3,169.42,10355300,168.34,170.4,-2.06,-0.01,-1.21,3mo,22,169.3
2022-02-11,169.12,170.15,167.54,167.71,13125300,166.64,168.34,-1.7,-0.01,-1.01,3mo,23,169.48
2022-02-14,167.71,167.97,163.81,165.6,8967600,164.54,166.64,-2.1,-0.01,-1.26,3mo,24,169.66
2022-02-15,166.13,168.1,166.01,167.31,6631400,166.24,164.54,1.7,0.01,1.03,3mo,25,169.84
2022-02-16,166.49,167.84,165.71,167.21,8482400,166.14,166.24,-0.1,-0.0,-0.06,3mo,26,170.02
2022-02-17,167.21,167.45,164.92,166.19,6227600,165.13,166.14,-1.01,-0.01,-0.61,3mo,27,170.2
2022-02-18,164.98,165.36,162.94,163.36,6423200,163.36,165.13,-1.77,-0.01,-1.07,3mo,28,170.37
2022-02-22,163.57,163.74,160.44,161.14,6868900,161.14,163.36,-2.22,-0.01,-1.36,3mo,29,170.55
2022-02-23,161.51,162.64,160.85,161.22,8016900,161.22,161.14,0.08,0.0,0.05,3mo,30,170.73
2022-02-24,159.78,160.13,155.72,158.14,12883400,158.14,161.22,-3.08,-0.02,-1.91,3mo,31,170.91
2022-02-25,160.0,166.99,159.7,166.0,11340400,166.0,158.14,7.86,0.05,4.97,3mo,32,171.09
2022-02-28,162.87,165.18,162.38,164.57,9373500,164.57,166.0,-1.43,-0.01,-0.86,3mo,33,171.27
2022-03-01,163.04,164.75,162.41,164.0,8737800,164.0,164.57,-0.57,-0.0,-0.35,3mo,34,171.45
2022-03-02,164.41,167.63,164.04,166.04,6793300,166.04,164.0,2.04,0.01,1.24,3mo,35,171.63
2022-03-03,166.7,169.34,166.32,168.48,7333700,168.48,166.04,2.44,0.01,1.47,3mo,36,171.81
2022-03-04,167.64,169.86,166.85,169.48,6302500,169.48,168.48,1.0,0.01,0.59,3mo,37,171.99
2022-03-07,168.3,173.12,167.36,172.21,11663400,172.21,169.48,2.73,0.02,1.61,3mo,38,172.17
2022-03-08,172.04,173.12,168.51,168.72,11100300,168.72,172.21,-3.49,-0.02,-2.03,3mo,39,172.35
2022-03-09,170.01,170.23,167.89,169.36,7248200,169.36,168.72,0.64,0.0,0.38,3mo,40,172.53
2022-03-10,168.56,170.15,168.08,169.66,6171400,169.66,169.36,0.3,0.0,0.18,3mo,41,172.71
2022-03-11,169.13,171.46,169.02,169.35,5188000,169.35,169.66,-0.31,-0.0,-0.18,3mo,42,172.89
2022-03-14,170.68,174.12,170.35,171.69,7729500,171.69,169.35,2.34,0.01,1.38,3mo,43,173.07
2022-03-15,173.33,176.52,172.55,176.14,10554400,176.14,171.69,4.45,0.03,2.59,3mo,44,173.25
2022-03-16,175.46,176.95,172.56,174.52,9603300,174.52,176.14,-1.62,-0.01,-0.92,3mo,45,173.43
2022-03-17,175.21,176.84,174.2,176.8,7472100,176.8,174.52,2.28,0.01,1.31,3mo,46,173.61
2022-03-18,177.0,177.0,173.66,174.84,13809500,174.84,176.8,-1.96,-0.01,-1.11,3mo,47,173.78
2022-03-21,174.66,177.16,174.32,175.83,7574900,175.83,174.84,0.99,0.01,0.57,3mo,48,173.96
2022-03-22,175.83,176.37,173.91,175.0,8442100,175.0,175.83,-0.83,-0.0,-0.47,3mo,49,174.14
2022-03-23,175.23,175.54,174.09,174.34,5254200,174.34,175.0,-0.66,-0.0,-0.38,3mo,50,174.32
2022-03-24,175.0,175.54,174.07,175.24,5012300,175.24,174.34,0.9,0.01,0.52,3mo,51,174.5
2022-03-25,175.69,177.7,175.22,176.92,4809500,176.92,175.24,1.68,0.01,0.96,3mo,52,174.68
2022-03-28,176.65,178.18,176.35,177.83,5604200,177.83,176.92,0.91,0.01,0.51,3mo,53,174.86
2022-03-29,178.62,179.4,176.8,177.74,5933400,177.74,177.83,-0.09,-0.0,-0.05,3mo,54,175.04
2022-03-30,178.44,179.86,177.68,179.59,6277600,179.59,177.74,1.85,0.01,1.04,3mo,55,175.22
2022-03-31,179.59,180.21,176.98,177.23,11490400,177.23,179.59,-2.36,-0.01,-1.31,3mo,56,175.4
2022-04-01,177.05,178.43,175.6,178.19,6525300,178.19,177.23,0.96,0.01,0.54,3mo,57,175.58
