Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-02,0.26,0.27,0.26,0.26,806400,0.05,,,,,1d
1962-01-03,0.26,0.26,0.25,0.26,1574400,0.05,0.05,-0.0,-0.02,-2.23,1d
1962-01-04,0.26,0.26,0.26,0.26,844800,0.05,0.05,0.0,0.01,0.76,1d
1962-01-05,0.26,0.26,0.25,0.25,1420800,0.05,0.05,-0.0,-0.02,-2.26,1d
1962-01-08,0.25,0.25,0.25,0.25,2035200,0.05,0.05,-0.0,-0.01,-1.03,1d
1962-01-09,0.25,0.26,0.25,0.26,960000,0.05,0.05,0.0,0.02,1.82,1d
1962-01-10,0.26,0.26,0.25,0.26,1612800,0.05,0.05,0.0,0.01,0.51,1d
1962-01-11,0.26,0.26,0.26,0.26,614400,0.05,0.05,0.0,0.01,1.02,1d
1962-01-12,0.26,0.26,0.25,0.26,883200,0.05,0.05,-0.0,-0.01,-0.75,1d
1962-01-15,0.26,0.26,0.25,0.25,614400,0.05,0.05,-0.0,-0.01,-1.01,1d
1962-01-16,0.25,0.25,0.25,0.25,1113600,0.05,0.05,-0.0,-0.02,-1.79,1d
1962-01-17,0.25,0.25,0.24,0.24,1574400,0.05,0.05,-0.0,-0.03,-3.12,1d
1962-01-18,0.24,0.24,0.24,0.24,2649600,0.05,0.05,-0.0,-0.02,-2.02,1d
1962-01-19,0.24,0.24,0.24,0.24,1459200,0.05,0.05,0.0,0.03,3.16,1d
1962-01-22,0.24,0.25,0.24,0.25,1075200,0.05,0.05,0.0,0.01,0.8,1d
1962-01-23,0.25,0.25,0.24,0.24,768000,0.05,0.05,-0.0,-0.02,-2.11,1d
1962-01-24,0.24,0.24,0.23,0.24,2611200,0.05,0.05,-0.0,-0.01,-1.08,1d
1962-01-25,0.24,0.24,0.24,0.24,1574400,0.05,0.05,-0.0,-0.01,-0.82,1d
1962-01-26,0.24,0.24,0.23,0.23,1574400,0.05,0.05,-0.0,-0.01,-1.1,1d
1962-01-29,0.23,0.24,0.23,0.23,307200,0.05,0.05,0.0,0.0,0.0,1d
1962-01-30,0.23,0.24,0.23,0.23,1574400,0.05,0.05,-0.0,-0.0,-0.42,1d
1962-01-31,0.23,0.24,0.23,0.24,1766400,0.05,0.05,0.0,0.04,4.05,1d
1962-02-01,0.24,0.25,0.24,0.24,1420800,0.05,0.05,0.0,0.01,0.8,1d
1962-02-02,0.24,0.25,0.24,0.25,1152000,0.05,0.05,0.0,0.01,1.06,1d
1962-02-05,0.25,0.25,0.25,0.25,384000,0.05,0.05,0.0,0.0,0.0,1d
1962-02-06,0.25,0.25,0.24,0.24,691200,0.05,0.05,-0.0,-0.01,-1.32,1d
1962-02-07,0.24,0.25,0.24,0.25,192000,0.05,0.05,0.0,0.01,0.53,1d
1962-02-08,0.25,0.25,0.24,0.25,768000,0.05,0.05,0.0,0.0,0.27,1d
1962-02-09,0.25,0.25,0.24,0.25,729600,0.05,0.05,0.0,0.01,0.53,1d
