Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"June 01, 2022 09:30 AM",63.42,63.68,63.42,63.54,445477,63.54,,,,,1min,0,62.53
"June 01, 2022 09:32 AM",63.44,63.44,63.43,63.44,119924,63.44,63.54,-0.1,-0.0,-0.15,1min,1,62.53
"June 01, 2022 09:33 AM",63.44,63.45,63.21,63.23,51332,63.23,63.44,-0.21,-0.0,-0.33,1min,2,62.53
"June 01, 2022 09:34 AM",63.23,63.24,63.13,63.19,67602,63.19,63.23,-0.04,-0.0,-0.06,1min,3,62.53
"June 01, 2022 09:35 AM",63.2,63.42,63.19,63.41,57763,63.41,63.19,0.22,0.0,0.35,1min,4,62.53
"June 01, 2022 09:36 AM",63.41,63.46,63.38,63.45,41586,63.45,63.41,0.04,0.0,0.06,1min,5,62.54
"June 01, 2022 09:37 AM",63.45,63.49,63.41,63.46,26582,63.46,63.45,0.01,0.0,0.02,1min,6,62.54
"June 01, 2022 09:38 AM",63.47,63.47,63.35,63.4,31017,63.4,63.46,-0.06,-0.0,-0.09,1min,7,62.54
"June 01, 2022 09:39 AM",63.38,63.41,63.33,63.35,30754,63.35,63.4,-0.05,-0.0,-0.09,1min,8,62.54
"June 01, 2022 09:40 AM",63.33,63.36,63.24,63.29,100066,63.29,63.35,-0.06,-0.0,-0.09,1min,9,62.54
"June 01, 2022 09:41 AM",63.29,63.31,63.09,63.1,85033,63.1,63.29,-0.19,-0.0,-0.3,1min,10,62.54
"June 01, 2022 09:42 AM",63.11,63.14,63.02,63.14,147360,63.14,63.1,0.04,0.0,0.06,1min,11,62.54
"June 01, 2022 09:43 AM",63.13,63.16,63.1,63.16,105144,63.16,63.14,0.02,0.0,0.03,1min,12,62.54
"June 01, 2022 09:44 AM",63.17,63.21,63.01,63.02,148661,63.02,63.16,-0.14,-0.0,-0.22,1min,13,62.54
"June 01, 2022 09:45 AM",63.03,63.09,62.97,63.03,95661,63.03,63.02,0.01,0.0,0.01,1min,14,62.54
"June 01, 2022 09:46 AM",63.02,63.03,62.94,62.96,49709,62.96,63.03,-0.07,-0.0,-0.11,1min,15,62.55
"June 01, 2022 09:47 AM",62.96,63.03,62.95,62.96,31589,62.96,62.96,0.0,0.0,0.0,1min,16,62.55
"June 01, 2022 09:48 AM",62.95,62.96,62.87,62.9,62043,62.9,62.96,-0.06,-0.0,-0.1,1min,17,62.55
"June 01, 2022 09:49 AM",62.91,62.91,62.78,62.83,165907,62.83,62.9,-0.07,-0.0,-0.11,1min,18,62.55
"June 01, 2022 09:50 AM",62.84,62.94,62.8,62.9,99286,62.9,62.83,0.07,0.0,0.11,1min,19,62.55
"June 01, 2022 09:51 AM",62.9,63.08,62.9,63.04,47962,63.04,62.9,0.14,0.0,0.22,1min,20,62.55
"June 01, 2022 09:52 AM",63.05,63.17,63.04,63.1,34200,63.1,63.04,0.06,0.0,0.1,1min,21,62.55
"June 01, 2022 09:53 AM",63.1,63.11,63.05,63.1,57659,63.1,63.1,0.0,0.0,0.0,1min,22,62.55
"June 01, 2022 09:54 AM",63.1,63.13,63.09,63.1,27561,63.1,63.1,0.0,0.0,0.0,1min,23,62.55
"June 01, 2022 09:55 AM",63.1,63.17,63.09,63.1,26667,63.1,63.1,0.0,0.0,0.0,1min,24,62.55
"June 01, 2022 09:56 AM",63.1,63.15,63.08,63.15,31805,63.15,63.1,0.05,0.0,0.07,1min,25,62.56
"June 01, 2022 09:57 AM",63.15,63.15,63.08,63.11,49725,63.11,63.15,-0.03,-0.0,-0.06,1min,26,62.56
"June 01, 2022 09:58 AM",63.1,63.12,63.06,63.08,30641,63.08,63.11,-0.03,-0.0,-0.05,1min,27,62.56
"June 01, 2022 09:59 AM",63.08,63.08,63.03,63.04,51767,63.04,63.08,-0.04,-0.0,-0.06,1min,28,62.56
"June 01, 2022 10:00 AM",63.05,63.08,62.92,62.99,83296,62.99,63.04,-0.05,-0.0,-0.08,1min,29,62.56
"June 01, 2022 10:01 AM",62.99,63.01,62.87,62.9,46543,62.9,62.99,-0.09,-0.0,-0.14,1min,30,62.56
"June 01, 2022 10:02 AM",62.91,62.99,62.89,62.99,27922,62.99,62.9,0.09,0.0,0.14,1min,31,62.56
"June 01, 2022 10:03 AM",62.98,62.99,62.96,62.97,21180,62.97,62.99,-0.02,-0.0,-0.03,1min,32,62.56
"June 01, 2022 10:04 AM",62.96,62.96,62.91,62.94,26613,62.94,62.97,-0.03,-0.0,-0.05,1min,33,62.56
"June 01, 2022 10:05 AM",62.94,62.96,62.87,62.89,18629,62.89,62.94,-0.05,-0.0,-0.08,1min,34,62.56
"June 01, 2022 10:06 AM",62.9,62.93,62.85,62.85,20644,62.85,62.89,-0.04,-0.0,-0.06,1min,35,62.57
"June 01, 2022 10:07 AM",62.85,62.85,62.75,62.76,29627,62.76,62.85,-0.09,-0.0,-0.15,1min,36,62.57
"June 01, 2022 10:08 AM",62.75,62.75,62.67,62.71,36356,62.71,62.76,-0.05,-0.0,-0.07,1min,37,62.57
"June 01, 2022 10:09 AM",62.7,62.71,62.65,62.68,82440,62.68,62.71,-0.03,-0.0,-0.05,1min,38,62.57
"June 01, 2022 10:10 AM",62.68,62.78,62.67,62.74,87240,62.74,62.68,0.06,0.0,0.1,1min,39,62.57
"June 01, 2022 10:11 AM",62.74,62.8,62.72,62.78,46012,62.78,62.74,0.04,0.0,0.06,1min,40,62.57
"June 01, 2022 10:12 AM",62.79,62.81,62.74,62.76,56607,62.76,62.78,-0.03,-0.0,-0.05,1min,41,62.57
"June 01, 2022 10:13 AM",62.76,62.76,62.69,62.69,18771,62.69,62.76,-0.06,-0.0,-0.1,1min,42,62.57
"June 01, 2022 10:14 AM",62.69,62.69,62.6,62.62,39369,62.62,62.69,-0.07,-0.0,-0.11,1min,43,62.57
"June 01, 2022 10:15 AM",62.6,62.6,62.51,62.56,79934,62.56,62.62,-0.07,-0.0,-0.11,1min,44,62.57
"June 01, 2022 10:16 AM",62.56,62.57,62.45,62.48,44731,62.48,62.56,-0.08,-0.0,-0.12,1min,45,62.58
"June 01, 2022 10:17 AM",62.49,62.55,62.49,62.5,50784,62.5,62.48,0.02,0.0,0.03,1min,46,62.58
"June 01, 2022 10:18 AM",62.51,62.53,62.5,62.51,16324,62.51,62.5,0.01,0.0,0.02,1min,47,62.58
"June 01, 2022 10:19 AM",62.51,62.53,62.49,62.52,21061,62.52,62.51,0.01,0.0,0.01,1min,48,62.58
"June 01, 2022 10:20 AM",62.52,62.54,62.46,62.51,64070,62.51,62.52,-0.01,-0.0,-0.02,1min,49,62.58
"June 01, 2022 10:21 AM",62.5,62.59,62.47,62.56,71454,62.56,62.51,0.05,0.0,0.08,1min,50,62.58
"June 01, 2022 10:22 AM",62.55,62.61,62.53,62.61,24220,62.61,62.56,0.05,0.0,0.08,1min,51,62.58
"June 01, 2022 10:23 AM",62.6,62.63,62.57,62.6,31979,62.6,62.61,-0.01,-0.0,-0.02,1min,52,62.58
"June 01, 2022 10:24 AM",62.58,62.59,62.55,62.56,32987,62.56,62.6,-0.03,-0.0,-0.06,1min,53,62.58
"June 01, 2022 10:25 AM",62.56,62.64,62.54,62.58,33297,62.58,62.56,0.02,0.0,0.03,1min,54,62.59
"June 01, 2022 10:26 AM",62.58,62.58,62.54,62.57,27301,62.57,62.58,-0.01,-0.0,-0.02,1min,55,62.59
"June 01, 2022 10:27 AM",62.57,62.58,62.51,62.51,21850,62.51,62.57,-0.06,-0.0,-0.09,1min,56,62.59
"June 01, 2022 10:28 AM",62.51,62.51,62.46,62.49,46310,62.49,62.51,-0.02,-0.0,-0.04,1min,57,62.59
"June 01, 2022 10:29 AM",62.48,62.49,62.4,62.4,55340,62.4,62.49,-0.09,-0.0,-0.14,1min,58,62.59
"June 01, 2022 10:30 AM",62.41,62.51,62.41,62.5,38703,62.5,62.4,0.1,0.0,0.16,1min,59,62.59
"June 01, 2022 10:31 AM",62.5,62.53,62.46,62.51,26404,62.51,62.5,0.01,0.0,0.02,1min,60,62.59
"June 01, 2022 10:32 AM",62.51,62.55,62.49,62.51,37963,62.51,62.51,0.0,0.0,0.0,1min,61,62.59
"June 01, 2022 10:33 AM",62.51,62.58,62.51,62.53,34660,62.53,62.51,0.02,0.0,0.03,1min,62,62.59
"June 01, 2022 10:34 AM",62.54,62.54,62.5,62.51,19539,62.51,62.53,-0.02,-0.0,-0.04,1min,63,62.59
"June 01, 2022 10:35 AM",62.5,62.51,62.45,62.45,25103,62.45,62.51,-0.05,-0.0,-0.08,1min,64,62.6
"June 01, 2022 10:36 AM",62.47,62.47,62.41,62.42,45729,62.42,62.45,-0.03,-0.0,-0.05,1min,65,62.6
"June 01, 2022 10:37 AM",62.42,62.44,62.39,62.44,28672,62.44,62.42,0.02,0.0,0.02,1min,66,62.6
"June 01, 2022 10:38 AM",62.44,62.45,62.37,62.38,49348,62.38,62.44,-0.06,-0.0,-0.1,1min,67,62.6
"June 01, 2022 10:39 AM",62.38,62.38,62.34,62.35,27310,62.35,62.38,-0.03,-0.0,-0.04,1min,68,62.6
"June 01, 2022 10:40 AM",62.34,62.35,62.31,62.31,52440,62.31,62.35,-0.04,-0.0,-0.06,1min,69,62.6
"June 01, 2022 10:41 AM",62.31,62.35,62.31,62.32,44917,62.32,62.31,0.0,0.0,0.01,1min,70,62.6
"June 01, 2022 10:42 AM",62.31,62.31,62.21,62.22,53160,62.22,62.32,-0.09,-0.0,-0.15,1min,71,62.6
"June 01, 2022 10:43 AM",62.22,62.24,62.18,62.24,38613,62.24,62.22,0.02,0.0,0.03,1min,72,62.6
"June 01, 2022 10:44 AM",62.24,62.24,62.19,62.2,26542,62.2,62.24,-0.04,-0.0,-0.07,1min,73,62.6
"June 01, 2022 10:45 AM",62.21,62.22,62.17,62.18,34436,62.18,62.2,-0.02,-0.0,-0.03,1min,74,62.61
"June 01, 2022 10:46 AM",62.19,62.25,62.18,62.21,28286,62.21,62.18,0.03,0.0,0.05,1min,75,62.61
"June 01, 2022 10:47 AM",62.22,62.24,62.2,62.22,20970,62.22,62.21,0.01,0.0,0.02,1min,76,62.61
"June 01, 2022 10:48 AM",62.23,62.25,62.19,62.19,26747,62.19,62.22,-0.03,-0.0,-0.05,1min,77,62.61
"June 01, 2022 10:49 AM",62.19,62.19,62.15,62.17,34019,62.17,62.19,-0.02,-0.0,-0.04,1min,78,62.61
"June 01, 2022 10:50 AM",62.17,62.19,62.16,62.17,20511,62.17,62.17,0.0,0.0,0.01,1min,79,62.61
"June 01, 2022 10:51 AM",62.17,62.26,62.16,62.24,43849,62.24,62.17,0.07,0.0,0.11,1min,80,62.61
"June 01, 2022 10:52 AM",62.24,62.24,62.15,62.16,20907,62.16,62.24,-0.08,-0.0,-0.13,1min,81,62.61
"June 01, 2022 10:53 AM",62.15,62.17,62.13,62.13,24953,62.13,62.16,-0.03,-0.0,-0.04,1min,82,62.61
"June 01, 2022 10:54 AM",62.15,62.21,62.15,62.17,26219,62.17,62.13,0.03,0.0,0.06,1min,83,62.61
"June 01, 2022 10:55 AM",62.16,62.22,62.15,62.22,27652,62.22,62.17,0.05,0.0,0.08,1min,84,62.62
"June 01, 2022 10:56 AM",62.22,62.23,62.19,62.22,22687,62.22,62.22,-0.01,-0.0,-0.01,1min,85,62.62
"June 01, 2022 10:57 AM",62.22,62.24,62.21,62.22,23743,62.22,62.22,0.0,0.0,0.0,1min,86,62.62
"June 01, 2022 10:58 AM",62.21,62.24,62.19,62.24,59356,62.24,62.22,0.02,0.0,0.03,1min,87,62.62
