Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",64.5,65.25,64.44,65.07,11993800,65.07,,,,,1mo
"April 20, 2022",65.44,66.24,65.4,65.96,14827100,65.96,65.07,0.89,0.01,1.37,1mo
"April 21, 2022",65.98,67.0,65.72,66.21,15120400,66.21,65.96,0.25,0.0,0.38,1mo
"April 22, 2022",66.08,66.34,65.18,65.25,14902200,65.25,66.21,-0.96,-0.01,-1.45,1mo
"April 25, 2022",67.0,67.2,64.78,65.94,25082000,65.94,65.25,0.69,0.01,1.06,1mo
"April 26, 2022",65.52,66.37,65.04,65.05,21982600,65.05,65.94,-0.89,-0.01,-1.35,1mo
"April 27, 2022",65.0,66.28,65.0,65.56,16971000,65.56,65.05,0.51,0.01,0.78,1mo
"April 28, 2022",64.66,66.28,64.5,66.19,22010600,66.19,65.56,0.63,0.01,0.96,1mo
"April 29, 2022",65.87,66.03,64.49,64.61,20135300,64.61,66.19,-1.58,-0.02,-2.39,1mo
"May 02, 2022",65.28,65.31,62.58,63.44,24970300,63.44,64.61,-1.17,-0.02,-1.81,1mo
"May 03, 2022",63.72,63.94,62.67,63.08,21686300,63.08,63.44,-0.36,-0.01,-0.57,1mo
"May 04, 2022",63.0,65.12,62.94,65.03,19780200,65.03,63.08,1.95,0.03,3.09,1mo
"May 05, 2022",64.69,65.03,64.01,64.51,20155200,64.51,65.03,-0.52,-0.01,-0.8,1mo
"May 06, 2022",64.2,65.31,64.07,64.74,18983000,64.74,64.51,0.23,0.0,0.36,1mo
"May 09, 2022",64.47,65.36,64.04,64.61,20055300,64.61,64.74,-0.13,-0.0,-0.2,1mo
"May 10, 2022",64.5,65.32,63.85,64.01,21322200,64.01,64.61,-0.6,-0.01,-0.93,1mo
"May 11, 2022",64.33,65.2,63.96,64.31,19648400,64.31,64.01,0.3,0.0,0.47,1mo
"May 12, 2022",64.16,64.53,63.21,64.51,22574700,64.51,64.31,0.2,0.0,0.31,1mo
"May 13, 2022",64.81,65.8,64.12,65.72,16164600,65.72,64.51,1.21,0.02,1.88,1mo
"May 16, 2022",65.44,66.38,65.44,65.96,13223200,65.96,65.72,0.24,0.0,0.37,1mo
"May 17, 2022",66.1,66.1,65.01,65.78,21300600,65.78,65.96,-0.18,-0.0,-0.27,1mo
"May 18, 2022",65.42,65.52,60.96,61.2,31407700,61.2,65.78,-4.58,-0.07,-6.96,1mo
