Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1962-01-01,0.26,0.27,0.25,0.25,4646400.0,0.05,,,,,1wk
1962-01-08,0.25,0.26,0.25,0.26,6105600.0,0.05,0.05,0.0,0.02,1.54,1wk
1962-01-15,0.26,0.26,0.24,0.24,7411200.0,0.05,0.05,-0.0,-0.05,-4.81,1wk
1962-01-22,0.24,0.25,0.23,0.23,7603200.0,0.05,0.05,-0.0,-0.04,-4.26,1wk
1962-01-29,0.23,0.25,0.23,0.25,6220800.0,0.05,0.05,0.0,0.06,5.56,1wk
1962-02-05,0.25,0.25,0.24,0.25,2764800.0,0.05,0.05,0.0,0.0,0.0,1wk
1962-02-12,0.25,0.25,0.24,0.24,3456000.0,0.05,0.05,-0.0,-0.03,-3.16,1wk
1962-02-19,0.24,0.24,0.24,0.24,2534400.0,0.05,0.05,-0.0,-0.01,-0.54,1wk
1962-02-26,0.24,0.24,0.23,0.24,22233600.0,0.05,0.05,0.0,0.01,0.82,1wk
1962-03-05,0.24,0.24,0.24,0.24,4224000.0,0.05,0.05,-0.0,-0.01,-1.35,1wk
1962-03-12,0.24,0.25,0.24,0.24,5683200.0,0.05,0.05,0.0,0.03,2.75,1wk
1962-03-13,,,,,,,0.05,,,,1wk
1962-03-19,0.24,0.26,0.24,0.26,7257600.0,0.05,,,,,1wk
1962-03-26,0.26,0.26,0.25,0.25,5145600.0,0.05,0.05,-0.0,-0.04,-4.04,1wk
1962-04-02,0.25,0.25,0.24,0.25,5606400.0,0.05,0.05,0.0,0.01,1.05,1wk
1962-04-09,0.25,0.25,0.24,0.25,4915200.0,0.05,0.05,-0.0,-0.01,-1.04,1wk
1962-04-16,0.25,0.25,0.25,0.25,4876800.0,0.05,0.05,0.0,0.01,1.45,1wk
1962-04-23,0.25,0.25,0.25,0.25,3686400.0,0.05,0.05,-0.0,-0.0,-0.13,1wk
1962-04-30,0.25,0.25,0.24,0.25,5644800.0,0.05,0.05,-0.0,-0.01,-1.04,1wk
1962-05-07,0.25,0.25,0.23,0.23,7449600.0,0.04,0.05,-0.0,-0.08,-8.14,1wk
