Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-09,53.17,53.28,52.81,53.18,10828200,51.59,,,,,1yr,0,52.97
2021-04-12,53.33,53.55,53.1,53.35,8565300,51.75,51.59,0.16,0.0,0.32,1yr,1,53.0
2021-04-13,53.04,53.29,52.81,53.09,11071700,51.5,51.75,-0.25,-0.0,-0.49,1yr,2,53.03
2021-04-14,52.98,53.19,52.65,53.08,9787600,51.49,51.5,-0.01,-0.0,-0.02,1yr,3,53.06
2021-04-15,53.13,53.66,53.12,53.33,13078100,51.73,51.49,0.24,0.0,0.47,1yr,4,53.09
2021-04-16,53.74,53.8,53.38,53.68,17974100,52.07,51.73,0.34,0.01,0.66,1yr,5,53.12
2021-04-19,54.0,54.36,53.3,54.0,19352900,52.38,52.07,0.31,0.01,0.6,1yr,6,53.15
2021-04-20,53.84,54.59,53.81,54.17,14419200,52.55,52.38,0.16,0.0,0.31,1yr,7,53.18
2021-04-21,54.24,54.74,54.24,54.61,13866500,52.98,52.55,0.43,0.01,0.81,1yr,8,53.21
2021-04-22,54.47,54.87,54.32,54.44,12558900,52.81,52.98,-0.16,-0.0,-0.31,1yr,9,53.24
2021-04-23,54.4,54.59,54.17,54.47,9020500,52.84,52.81,0.03,0.0,0.06,1yr,10,53.27
2021-04-26,54.47,54.51,53.58,53.66,11684600,52.05,52.84,-0.79,-0.01,-1.49,1yr,11,53.31
2021-04-27,53.56,53.7,53.32,53.58,9852400,51.98,52.05,-0.08,-0.0,-0.15,1yr,12,53.34
2021-04-28,53.98,54.05,53.44,53.59,10868100,51.99,51.98,0.01,0.0,0.02,1yr,13,53.37
2021-04-29,53.54,54.36,53.43,54.26,15391000,52.64,51.99,0.65,0.01,1.25,1yr,14,53.4
2021-04-30,54.25,54.27,53.69,53.98,14912600,52.36,52.64,-0.27,-0.01,-0.52,1yr,15,53.43
2021-05-03,54.27,54.8,54.16,54.48,10417900,52.85,52.36,0.49,0.01,0.93,1yr,16,53.46
2021-05-04,54.57,54.62,53.94,54.14,14151000,52.52,52.85,-0.33,-0.01,-0.62,1yr,17,53.49
2021-05-05,54.14,54.24,53.71,54.0,9665900,52.38,52.52,-0.14,-0.0,-0.26,1yr,18,53.52
2021-05-06,54.12,54.61,54.05,54.54,11572700,52.91,52.38,0.52,0.01,1.0,1yr,19,53.55
2021-05-07,54.44,54.77,54.16,54.51,10637500,52.88,52.91,-0.03,-0.0,-0.06,1yr,20,53.58
2021-05-10,54.88,55.5,54.83,54.91,15545800,53.27,52.88,0.39,0.01,0.73,1yr,21,53.61
2021-05-11,55.03,55.14,54.05,54.32,12986700,52.69,53.27,-0.57,-0.01,-1.07,1yr,22,53.64
2021-05-12,54.36,54.56,53.88,54.04,15836500,52.42,52.69,-0.27,-0.01,-0.52,1yr,23,53.67
2021-05-13,53.97,54.78,53.83,54.51,15475800,52.88,52.42,0.46,0.01,0.87,1yr,24,53.71
2021-05-14,54.9,55.1,54.69,54.73,11725300,53.09,52.88,0.21,0.0,0.4,1yr,25,53.74
2021-05-17,54.84,55.02,54.5,54.64,12119800,53.01,53.09,-0.09,-0.0,-0.16,1yr,26,53.77
2021-05-18,54.39,54.56,54.1,54.34,13232500,52.71,53.01,-0.29,-0.01,-0.55,1yr,27,53.8
