Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-08 09:30:00,63.48,63.69,63.27,63.56,1088582,63.56,,,,,30min
2022-04-08 10:00:00,63.57,63.7,63.16,63.22,655459,63.22,63.56,-0.34,-0.01,-0.53,30min
2022-04-08 10:30:00,63.22,63.69,63.19,63.67,756269,63.67,63.22,0.44,0.01,0.7,30min
2022-04-08 11:00:00,63.68,63.81,63.66,63.76,682232,63.76,63.67,0.09,0.0,0.14,30min
2022-04-08 11:30:00,63.76,63.81,63.58,63.6,456298,63.6,63.76,-0.16,-0.0,-0.25,30min
2022-04-08 12:00:00,63.59,63.8,63.58,63.78,834003,63.78,63.6,0.19,0.0,0.3,30min
2022-04-08 12:30:00,63.79,63.83,63.69,63.81,588756,63.81,63.78,0.02,0.0,0.03,30min
2022-04-08 13:00:00,63.81,63.89,63.76,63.87,730554,63.87,63.81,0.06,0.0,0.1,30min
2022-04-08 13:30:00,63.87,63.94,63.78,63.88,548444,63.88,63.87,0.01,0.0,0.02,30min
2022-04-08 14:00:00,63.89,63.98,63.84,63.92,570296,63.92,63.88,0.03,0.0,0.05,30min
2022-04-08 14:30:00,63.92,64.04,63.89,63.99,701351,63.99,63.92,0.07,0.0,0.11,30min
2022-04-08 15:00:00,63.99,64.04,63.92,63.94,696310,63.94,63.99,-0.05,-0.0,-0.08,30min
2022-04-08 15:30:00,63.95,64.0,63.69,63.84,2168340,63.84,63.94,-0.1,-0.0,-0.16,30min
2022-04-08 16:00:00,63.83,63.83,63.83,63.83,0,63.83,63.84,-0.01,-0.0,-0.02,30min
