Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-10,60.55,60.82,60.18,60.43,20954300,59.97,,,,,3mo,0,60.46
2022-01-11,60.43,60.49,59.84,60.45,19369600,59.99,59.97,0.02,0.0,0.03,3mo,1,60.48
2022-01-12,60.53,60.69,60.19,60.54,15753800,60.08,59.99,0.09,0.0,0.15,3mo,2,60.5
2022-01-13,60.54,61.04,60.39,60.9,14318000,60.44,60.08,0.36,0.01,0.59,3mo,3,60.52
2022-01-14,60.94,61.45,60.36,61.39,19729600,60.92,60.44,0.49,0.01,0.8,3mo,4,60.54
2022-01-18,61.06,61.19,60.45,60.9,21976700,60.44,60.92,-0.49,-0.01,-0.8,3mo,5,60.56
2022-01-19,60.66,61.18,60.56,61.0,18654700,60.54,60.44,0.1,0.0,0.16,3mo,6,60.58
2022-01-20,61.0,61.44,60.72,60.75,23002400,60.29,60.54,-0.25,-0.0,-0.41,3mo,7,60.6
2022-01-21,61.08,61.3,60.4,60.45,26643200,59.99,60.29,-0.3,-0.0,-0.49,3mo,8,60.62
2022-01-24,59.9,60.35,58.57,59.96,30185100,59.5,59.99,-0.49,-0.01,-0.81,3mo,9,60.64
2022-01-25,59.36,60.05,58.69,59.82,19027100,59.37,59.5,-0.14,-0.0,-0.23,3mo,10,60.66
2022-01-26,59.79,60.35,59.21,59.6,19190200,59.15,59.37,-0.22,-0.0,-0.37,3mo,11,60.68
2022-01-27,59.88,60.93,59.5,59.65,18893800,59.2,59.15,0.05,0.0,0.08,3mo,12,60.7
2022-01-28,59.39,60.89,58.94,60.84,19101500,60.38,59.2,1.18,0.02,1.99,3mo,13,60.72
2022-01-31,60.3,61.14,60.15,61.01,22045300,60.55,60.38,0.17,0.0,0.28,3mo,14,60.74
2022-02-01,60.91,61.14,60.16,60.56,20841700,60.1,60.55,-0.45,-0.01,-0.74,3mo,15,60.76
2022-02-02,60.62,61.27,60.56,61.18,20225600,60.72,60.1,0.62,0.01,1.02,3mo,16,60.78
2022-02-03,60.94,61.78,60.59,61.61,19440500,61.14,60.72,0.43,0.01,0.7,3mo,17,60.8
2022-02-04,61.49,61.68,60.57,60.96,17403700,60.5,61.14,-0.65,-0.01,-1.06,3mo,18,60.82
2022-02-07,61.38,61.72,60.86,61.6,17846400,61.13,60.5,0.64,0.01,1.05,3mo,19,60.84
