Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2006-05-25,4.03,4.61,4.02,4.6,395343000,4.27,,,,,1d
2006-05-26,4.63,4.67,4.41,4.49,103044000,4.17,4.27,-0.1,-0.02,-2.33,1d
2006-05-30,4.5,4.5,4.28,4.4,49898000,4.08,4.17,-0.09,-0.02,-2.07,1d
2006-05-31,4.43,4.54,4.43,4.49,30002000,4.17,4.08,0.09,0.02,2.14,1d
2006-06-01,4.49,4.81,4.49,4.75,62344000,4.41,4.17,0.24,0.06,5.72,1d
2006-06-02,4.85,4.87,4.68,4.7,37253000,4.36,4.41,-0.05,-0.01,-1.09,1d
2006-06-05,4.7,4.93,4.7,4.91,37188000,4.56,4.36,0.2,0.05,4.6,1d
2006-06-06,5.0,5.06,4.78,4.83,49045000,4.48,4.56,-0.08,-0.02,-1.73,1d
2006-06-07,4.83,4.84,4.68,4.76,25013000,4.42,4.48,-0.06,-0.01,-1.45,1d
2006-06-08,4.76,4.77,4.55,4.77,34439000,4.43,4.42,0.01,0.0,0.25,1d
2006-06-09,4.88,4.88,4.77,4.78,13372000,4.43,4.43,0.01,0.0,0.13,1d
2006-06-12,4.8,4.82,4.63,4.7,14546000,4.36,4.43,-0.08,-0.02,-1.74,1d
2006-06-13,4.62,4.74,4.53,4.55,16716000,4.22,4.36,-0.13,-0.03,-3.09,1d
2006-06-14,4.49,4.55,4.44,4.51,15971000,4.19,4.22,-0.04,-0.01,-0.84,1d
2006-06-15,4.54,4.61,4.51,4.59,16500000,4.26,4.19,0.08,0.02,1.84,1d
2006-06-16,4.55,4.6,4.5,4.5,12280000,4.18,4.26,-0.09,-0.02,-2.02,1d
2006-06-19,4.55,4.55,4.41,4.43,11509000,4.11,4.18,-0.06,-0.02,-1.51,1d
2006-06-20,4.47,4.5,4.35,4.4,23792000,4.08,4.11,-0.03,-0.01,-0.72,1d
2006-06-21,4.4,4.59,4.4,4.53,18063000,4.2,4.08,0.12,0.03,2.91,1d
2006-06-22,4.64,4.7,4.59,4.66,13038000,4.32,4.2,0.12,0.03,2.87,1d
2006-06-23,4.7,4.79,4.69,4.7,11612000,4.36,4.32,0.03,0.01,0.75,1d
2006-06-26,4.7,4.75,4.64,4.75,8565000,4.41,4.36,0.05,0.01,1.17,1d
2006-06-27,4.75,4.8,4.72,4.73,9826000,4.39,4.41,-0.02,-0.0,-0.4,1d
2006-06-28,4.68,4.74,4.65,4.7,8756000,4.36,4.39,-0.03,-0.01,-0.74,1d
2006-06-29,4.7,4.81,4.7,4.8,14470000,4.45,4.36,0.1,0.02,2.21,1d
2006-06-30,4.76,4.8,4.66,4.8,25964000,4.45,4.45,0.0,0.0,0.0,1d
2006-07-03,4.79,4.8,4.68,4.73,7029000,4.39,4.45,-0.06,-0.01,-1.46,1d
2006-07-05,4.74,4.78,4.67,4.76,13266000,4.42,4.39,0.03,0.01,0.63,1d
2006-07-06,4.72,4.74,4.68,4.68,8097000,4.34,4.42,-0.07,-0.02,-1.68,1d
2006-07-07,4.68,4.68,4.57,4.61,8380000,4.28,4.34,-0.06,-0.01,-1.45,1d
2006-07-10,4.62,4.66,4.61,4.65,4978000,4.31,4.28,0.03,0.01,0.8,1d
2006-07-11,4.65,4.65,4.53,4.64,8079000,4.3,4.31,-0.01,-0.0,-0.3,1d
2006-07-12,4.64,4.64,4.55,4.55,7672000,4.23,4.3,-0.07,-0.02,-1.73,1d
2006-07-13,4.52,4.52,4.43,4.47,16625000,4.15,4.23,-0.08,-0.02,-1.82,1d
2006-07-14,4.46,4.47,4.39,4.39,9663000,4.08,4.15,-0.07,-0.02,-1.72,1d
2006-07-17,4.39,4.42,4.38,4.4,6458000,4.08,4.08,0.0,0.0,0.09,1d
2006-07-18,4.4,4.41,4.37,4.39,12483000,4.07,4.08,-0.01,-0.0,-0.2,1d
2006-07-19,4.39,4.55,4.38,4.53,15840000,4.2,4.07,0.13,0.03,3.14,1d
2006-07-20,4.54,4.58,4.51,4.55,8829000,4.23,4.2,0.03,0.01,0.6,1d
2006-07-21,4.55,4.55,4.48,4.53,8510000,4.2,4.23,-0.03,-0.01,-0.59,1d
2006-07-24,4.55,4.55,4.5,4.5,5017000,4.17,4.2,-0.03,-0.01,-0.62,1d
2006-07-25,4.52,4.64,4.52,4.61,6900000,4.28,4.17,0.1,0.02,2.4,1d
2006-07-26,4.61,4.78,4.58,4.67,10338000,4.33,4.28,0.06,0.01,1.3,1d
2006-07-27,4.69,4.72,4.65,4.65,6009000,4.32,4.33,-0.01,-0.0,-0.34,1d
2006-07-28,4.65,4.68,4.63,4.63,4339000,4.3,4.32,-0.02,-0.0,-0.47,1d
2006-07-31,4.63,4.64,4.59,4.59,4616000,4.26,4.3,-0.04,-0.01,-0.93,1d
2006-08-01,4.59,4.59,4.47,4.5,7390000,4.17,4.26,-0.08,-0.02,-1.9,1d
2006-08-02,4.8,5.01,4.73,5.0,53372000,4.64,4.17,0.47,0.11,11.16,1d
2006-08-03,4.91,5.02,4.86,5.0,21689000,4.64,4.64,-0.0,-0.0,-0.06,1d
2006-08-04,5.03,5.15,5.0,5.01,14216000,4.64,4.64,0.01,0.0,0.12,1d
2006-08-07,5.05,5.13,5.03,5.11,6918000,4.74,4.64,0.1,0.02,2.1,1d
2006-08-08,5.11,5.27,5.11,5.26,14073000,4.88,4.74,0.14,0.03,2.88,1d
2006-08-09,5.3,5.45,5.2,5.28,15043000,4.9,4.88,0.03,0.01,0.53,1d
2006-08-10,5.22,5.39,5.21,5.36,8725000,4.97,4.9,0.07,0.01,1.34,1d
2006-08-11,5.35,5.45,5.32,5.37,9078000,4.98,4.97,0.01,0.0,0.22,1d
2006-08-14,5.38,5.45,5.35,5.42,6314000,5.03,4.98,0.05,0.01,1.02,1d
2006-08-15,5.47,5.49,5.43,5.45,8553000,5.06,5.03,0.02,0.0,0.48,1d
2006-08-16,5.47,5.54,5.42,5.43,15344000,5.03,5.06,-0.02,-0.0,-0.4,1d
2006-08-17,5.42,5.42,5.32,5.35,10216000,4.96,5.03,-0.08,-0.01,-1.49,1d
2006-08-18,5.31,5.36,5.25,5.34,9343000,4.96,4.96,-0.0,-0.0,-0.02,1d
2006-08-21,5.33,5.55,5.28,5.43,12487000,5.03,4.96,0.08,0.02,1.52,1d
2006-08-22,5.42,5.55,5.42,5.52,9761000,5.12,5.03,0.09,0.02,1.79,1d
2006-08-23,5.55,5.57,5.45,5.46,10439000,5.07,5.12,-0.06,-0.01,-1.14,1d
2006-08-24,5.49,5.59,5.48,5.57,5420000,5.16,5.07,0.1,0.02,1.92,1d
2006-08-25,5.57,5.59,5.49,5.5,8016000,5.1,5.16,-0.06,-0.01,-1.17,1d
2006-08-28,5.49,5.55,5.48,5.5,3748000,5.1,5.1,0.0,0.0,0.04,1d
2006-08-29,5.53,5.57,5.52,5.53,3211000,5.14,5.1,0.03,0.01,0.6,1d
2006-08-30,5.55,5.58,5.52,5.53,5801000,5.13,5.14,-0.01,-0.0,-0.18,1d
2006-08-31,5.53,5.62,5.53,5.59,7023000,5.19,5.13,0.06,0.01,1.18,1d
2006-09-01,5.6,5.75,5.6,5.66,20559000,5.25,5.19,0.06,0.01,1.16,1d
2006-09-05,5.69,5.72,5.62,5.68,4618000,5.27,5.25,0.03,0.01,0.53,1d
2006-09-06,5.69,5.89,5.66,5.89,15694000,5.46,5.27,0.19,0.04,3.57,1d
2006-09-07,5.85,6.09,5.85,6.01,26549000,5.58,5.46,0.12,0.02,2.11,1d
2006-09-08,6.1,6.12,5.93,5.97,15176000,5.54,5.58,-0.03,-0.01,-0.62,1d
2006-09-11,5.97,6.2,5.96,6.19,17064000,5.74,5.54,0.2,0.04,3.55,1d
2006-09-12,6.1,6.22,6.1,6.21,16992000,5.76,5.74,0.02,0.0,0.37,1d
2006-09-13,6.2,6.23,6.09,6.14,12355000,5.69,5.76,-0.07,-0.01,-1.21,1d
2006-09-14,6.09,6.32,6.07,6.28,13010000,5.83,5.69,0.13,0.02,2.35,1d
2006-09-15,6.28,6.52,6.28,6.5,19314000,6.03,5.83,0.2,0.03,3.47,1d
2006-09-18,6.57,6.76,6.43,6.51,23656000,6.04,6.03,0.01,0.0,0.23,1d
2006-09-19,6.5,6.61,6.43,6.48,17263000,6.02,6.04,-0.03,-0.0,-0.43,1d
2006-09-20,6.51,6.67,6.45,6.66,13476000,6.17,6.02,0.16,0.03,2.64,1d
2006-09-21,6.75,6.96,6.7,6.91,29063000,6.41,6.17,0.23,0.04,3.76,1d
2006-09-22,6.9,6.95,6.51,6.59,29874000,6.12,6.41,-0.29,-0.05,-4.52,1d
